WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MinimumTemperature,MeanSeaLevelPressure,WindSpeed,VaporPressure,AirTemperature,WindDirection,DewPoint,RelativeHumidity,Rainfall24Hr,LandVisibility,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-07-2019,07:00:00,24.2,1007.78,0.0,29.52,25.0,000,23.8,93,0.90,10.00,976.74
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-07-2019,07:00:00,17.9,1006.33,18.5,19.99,18.0,280,17.5,97,0.00,8.00,844.78
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-07-2019,07:00:00,24.1,1006.68,3.7,29.99,25.4,210,24.1,92,6.50,10.00,963.05
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-07-2019,07:00:00,22.6,1007.36,0.0,30.03,24.7,000,24.1,97,25.80,15.00,961.68
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-07-2019,07:00:00,24.3,1007.47,0.0,30.65,24.6,000,24.4,99,0.00,10.00,969.68
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-07-2019,07:00:00,23.2,1006.37,0.0,29.52,25.0,000,23.8,93,0.00,12.00,961.23
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-07-2019,07:00:00,25.0,1007.92,0.0,29.91,25.5,000,24.0,92,0.00,10.00,981.13
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-07-2019,07:00:00,23.9,1007.84,0.0,28.36,24.2,000,23.2,94,0.00,13.00,985.91
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1.00,09-07-2019,07:00:00,22.0,1008.49,0.0,28.53,24.0,000,23.3,96,1.80,6.00,984.17
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-07-2019,07:00:00,24.9,1007.47,0.0,27.72,25.3,000,22.8,86,0.00,10.00,972.86
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-07-2019,07:00:00,24.2,1007.71,0.0,28.64,24.8,000,23.3,92,0.00,10.00,980.03
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-07-2019,07:00:00,24.3,1007.53,0.0,28.37,24.5,000,23.2,92,0.40,10.00,973.77
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-07-2019,07:00:00,24.5,1007.65,1.9,29.00,25.0,240,23.5,92,0.00,10.00,989.04
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-07-2019,07:00:00,24.6,1007.46,0.0,29.82,25.6,000,24.0,91,0.00,10.00,984.57
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-07-2019,07:00:00,24.2,1007.55,0.0,29.36,25.2,000,23.7,92,0.00,9.00,977.54
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-07-2019,07:00:00,23.0,1007.73,0.0,27.66,23.5,000,22.8,96,0.00,7.00,971.90
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-07-2019,07:00:00,23.4,1006.88,0.0,29.04,24.0,000,23.6,97,3.20,12.00,976.94
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-07-2019,07:00:00,25.5,1007.86,0.0,30.81,25.7,000,24.5,93,0.00,10.00,1000.52
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-07-2019,07:00:00,26.4,1006.93,3.7,34.19,27.0,240,26.3,96,0.40,15.00,987.05
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-07-2019,07:00:00,24.9,1007.11,0.0,29.00,25.0,000,23.5,92,0.40,15.00,978.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-07-2019,07:00:00,25.3,1007.23,0.0,31.65,26.0,000,25.0,94,7.10,12.00,987.01
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-07-2019,07:00:00,25.7,1007.12,0.0,30.97,26.5,000,24.6,89,0.00,10.00,985.37
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-07-2019,07:00:00,25.4,1006.70,0.0,31.22,26.2,000,24.8,92,0.00,12.00,987.18
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.50,09-07-2019,07:00:00,25.7,1007.49,0.0,28.80,26.2,000,23.4,85,0.50,10.00,990.70
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.10,09-07-2019,07:00:00,24.2,1007.91,0.0,31.27,25.8,000,24.8,94,0.90,12.00,990.43
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-07-2019,07:00:00,25.2,1006.32,0.0,31.79,25.5,000,25.1,97,9.00,12.00,980.45
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-07-2019,07:00:00,24.3,1007.15,5.6,30.20,27.1,270,24.2,84,0.00,10.00,1001.36
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-07-2019,07:00:00,25.5,1007.62,0.0,32.76,26.0,000,25.6,98,0.00,12.00,1001.41
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-07-2019,07:00:00,25.0,1009.19,0.0,29.91,25.5,000,24.0,92,0.00,10.00,992.64
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.80,09-07-2019,07:00:00,23.0,1000.61,0.0,28.10,23.9,000,23.0,95,11.40,8.00,978.21
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-07-2019,07:00:00,26.2,1008.58,5.6,27.44,26.9,210,22.6,77,0.00,8.00,994.17
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-07-2019,07:00:00,25.8,1008.03,0.0,28.01,26.2,000,23.0,82,0.00,8.00,991.59
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-07-2019,07:00:00,25.6,1008.09,0.0,33.10,26.6,000,25.7,95,0.01,10.00,1002.85
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-07-2019,07:00:00,24.9,1006.87,0.0,30.09,25.6,000,24.1,92,0.00,8.00,993.61
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-07-2019,07:00:00,25.3,1008.11,0.0,31.19,25.9,000,24.7,93,1.40,11.00,998.75
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-07-2019,07:00:00,24.9,1007.47,5.6,30.50,25.1,220,24.4,96,8.60,8.00,985.64
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-07-2019,07:00:00,23.5,1006.57,0.0,30.02,27.0,000,24.1,84,2.20,8.00,989.08
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-07-2019,07:00:00,25.3,1006.48,3.7,32.07,26.5,210,25.2,93,8.50,10.00,990.63
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-07-2019,07:00:00,25.5,1006.44,1.9,29.13,25.8,240,23.6,88,0.90,8.00,987.49
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1.90,09-07-2019,07:00:00,22.1,1010.69,0.0,26.25,22.8,000,21.9,95,25.10,6.00,958.80
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-07-2019,07:00:00,25.7,1007.94,7.4,33.62,27.0,140,26.0,94,3.10,5.00,1003.98
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.50,09-07-2019,07:00:00,19.6,1009.12,9.3,23.64,20.5,240,20.2,98,6.70,.50,913.53
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-07-2019,07:00:00,25.5,1007.16,3.7,30.51,26.4,230,24.4,89,0.40,8.00,991.15
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,09-07-2019,07:00:00,25.6,1008.13,0.0,30.24,26.4,000,24.2,88,0.01,9.00,1004.08
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-07-2019,07:00:00,24.9,1009.18,0.0,29.64,25.5,000,23.9,91,4.00,7.00,998.43
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-07-2019,07:00:00,25.0,1008.85,0.0,29.84,25.9,000,24.0,89,7.90,8.00,1006.91
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-07-2019,07:00:00,24.5,1008.39,0.0,27.88,25.1,000,22.9,88,0.00,10.00,987.37
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-07-2019,07:00:00,25.5,1007.25,5.6,29.17,26.4,250,23.6,85,0.20,10.00,989.55
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-07-2019,07:00:00,25.6,1007.18,5.6,32.26,26.6,210,25.3,93,0.01,10.00,991.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-07-2019,07:00:00,26.4,1007.73,3.7,30.91,26.9,220,24.6,87,0.00,10.00,993.69
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-07-2019,07:00:00,25.4,1008.22,0.0,31.57,26.1,000,24.9,93,0.90,9.00,993.33
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-07-2019,07:00:00,25.5,1007.99,9.3,32.07,26.5,240,25.2,93,0.00,8.00,993.28
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-07-2019,07:00:00,25.2,1007.65,0.0,30.53,26.7,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.4,87,0.00,10.00,1004.62
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-07-2019,07:00:00,24.9,1008.42,0.0,30.36,25.6,000,24.3,93,1.00,10.00,1000.42
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-07-2019,07:00:00,26.3,1008.71,5.6,30.18,26.8,170,24.2,86,0.00,7.00,1007.60
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-07-2019,07:00:00,25.2,1008.03,0.0,31.88,26.4,000,25.1,93,0.00,8.00,993.30
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.20,09-07-2019,07:00:00,18.7,1010.63,9.3,21.73,19.0,280,18.8,99,9.00,.10,874.95
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-07-2019,07:00:00,24.0,1008.50,0.0,30.32,25.0,000,24.3,96,19.40,10.00,1002.58
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-07-2019,07:00:00,26.1,1009.16,1.9,30.02,27.0,230,24.1,84,4.00,8.00,1008.36
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-07-2019,07:00:00,27.2,1009.06,0.0,31.77,27.2,000,25.1,88,6.70,10.00,1008.62
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.00,09-07-2019,07:00:00,24.3,1010.16,0.0,29.67,24.5,000,23.9,97,9.20,3.00,998.73
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-07-2019,07:00:00,26.4,1009.13,0.0,29.93,27.1,000,24.1,84,0.00,10.00,1008.12
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-07-2019,07:00:00,25.9,1008.69,0.0,29.33,26.2,000,23.7,86,4.20,7.00,1006.86
