WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,AirTemperature,RelativeHumidity,Rainfall24Hr,Rainfall,WindDirection,DewPoint,StationPressure,VaporPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1016.02,10-18-2019,10:00:00,10.00,26.5,86,7.50,0.01,000,23.9,984.88,29.62,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1015.95,10-18-2019,10:00:00,8.00,17.9,99,0.00,0.00,000,17.7,852.81,20.28,0.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1016.53,10-18-2019,10:00:00,10.00,25.6,85,1.20,1.20,010,22.8,972.49,27.73,5.6
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1016.63,10-18-2019,10:00:00,9.00,25.1,87,0.20,0.20,040,22.7,970.60,27.62,9.3
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1017.33,10-18-2019,10:00:00,12.00,24.4,96,0.30,0.00,000,23.7,979.15,29.23,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1016.12,10-18-2019,10:00:00,6.00,26.5,84,0.00,0.00,000,23.6,970.77,29.08,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1017.24,10-18-2019,10:00:00,8.00,27.6,78,11.70,0.50,000,23.4,990.38,28.71,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1014.66,10-18-2019,10:00:00,10.00,30.0,69,0.00,0.00,190,23.6,993.00,29.19,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1015.64,10-18-2019,10:00:00,10.00,27.2,77,0.00,0.00,000,22.8,991.41,27.72,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1015.73,10-18-2019,10:00:00,10.00,29.7,65,0.01,0.00,360,22.3,981.34,26.96,3.7
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1015.76,10-18-2019,10:00:00,10.00,29.8,68,0.00,0.00,000,23.3,988.31,28.53,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1015.43,10-18-2019,10:00:00,10.00,27.5,78,2.20,0.00,000,23.3,981.74,28.53,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1014.92,10-18-2019,10:00:00,5.00,30.1,76,0.00,0.00,080,25.4,996.49,32.50,3.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,1016.17,10-18-2019,10:00:00,10.00,29.1,72,0.01,0.00,000,23.6,993.35,29.11,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1016.74,10-18-2019,10:00:00,10.00,28.5,72,1.10,0.40,000,22.9,986.78,27.97,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1015.76,10-18-2019,10:00:00,8.00,28.2,76,0.00,0.00,000,23.5,980.19,29.03,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1014.65,10-18-2019,10:00:00,9.00,29.1,65,0.00,0.00,070,21.8,984.98,26.16,3.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1014.09,10-18-2019,10:00:00,10.00,31.0,61,0.00,0.00,000,22.7,1006.84,27.54,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1016.01,10-18-2019,10:00:00,15.00,31.0,58,0.00,0.00,090,21.7,996.21,25.92,9.3
48353,LOEI,เลย,เลย,17.45000,101.73333,1015.10,10-18-2019,10:00:00,8.00,30.1,55,0.10,0.00,100,20.1,986.54,23.52,5.6
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1014.80,10-18-2019,10:00:00,15.00,29.6,57,0.00,0.00,060,20.2,994.66,23.67,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1015.22,10-18-2019,10:00:00,12.00,29.1,59,0.00,0.00,020,20.3,993.48,23.83,7.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1014.27,10-18-2019,10:00:00,9.00,29.5,60,0.00,0.00,090,21.0,994.82,24.78,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1014.67,10-18-2019,10:00:00,11.00,31.0,52,0.00,0.00,070,20.1,998.02,23.55,3.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1014.68,10-18-2019,10:00:00,12.00,31.1,57,0.00,0.00,040,21.5,997.39,25.57,3.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1014.59,10-18-2019,10:00:00,9.00,29.5,56,0.00,0.00,080,19.7,988.84,23.00,11.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1013.89,10-18-2019,10:00:00,8.00,32.2,66,0.00,0.00,350,25.1,1008.16,31.94,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1014.43,10-18-2019,10:00:00,12.00,31.0,63,0.00,0.00,040,23.2,1008.27,28.37,7.4
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1014.88,10-18-2019,10:00:00,12.00,30.3,55,0.00,0.00,020,20.2,998.50,23.61,7.4
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1012.85,10-18-2019,10:00:00,10.00,29.3,70,0.00,0.00,050,23.3,990.57,28.67,9.3
48376,TAK,ตาก,ตาก,16.87833,99.14333,1015.32,10-18-2019,10:00:00,10.00,30.3,72,0.00,0.00,130,24.7,1000.98,31.19,3.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1014.47,10-18-2019,10:00:00,9.00,31.0,63,0.00,0.00,000,23.0,998.18,28.09,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1014.28,10-18-2019,10:00:00,10.00,31.5,57,0.00,0.00,030,21.9,1009.09,26.32,13.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1012.70,10-18-2019,10:00:00,12.00,32.0,52,0.00,0.00,030,20.8,999.64,24.57,7.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1014.43,10-18-2019,10:00:00,12.00,31.1,68,0.00,0.00,250,24.5,1005.17,30.82,1.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1014.36,10-18-2019,10:00:00,9.00,29.6,61,0.00,0.00,070,21.2,992.70,25.22,9.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1013.96,10-18-2019,10:00:00,10.00,30.6,60,0.00,0.00,040,22.1,996.55,26.52,13.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1013.22,10-18-2019,10:00:00,12.00,30.7,59,0.00,0.00,020,21.8,997.49,26.17,14.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1013.25,10-18-2019,10:00:00,10.00,30.0,59,0.00,0.00,050,21.0,994.44,24.89,11.1
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1013.04,10-18-2019,10:00:00,10.00,27.2,71,0.00,0.00,000,21.5,961.77,25.64,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1014.01,10-18-2019,10:00:00,5.00,31.6,59,0.00,0.00,070,22.7,1010.08,27.60,3.7
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1014.37,10-18-2019,10:00:00,9.00,24.5,75,0.00,0.00,070,19.9,919.49,23.17,11.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1014.30,10-18-2019,10:00:00,12.00,29.2,64,0.00,0.00,070,21.8,998.31,26.07,9.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1014.07,10-18-2019,10:00:00,8.00,31.7,57,0.00,0.00,090,22.2,1010.07,26.69,7.4
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1014.55,10-18-2019,10:00:00,10.00,30.7,52,0.00,0.00,040,19.8,1003.93,23.03,13.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1013.97,10-18-2019,10:00:00,13.00,31.0,52,0.00,0.00,360,19.9,1012.05,23.29,7.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1014.35,10-18-2019,10:00:00,10.00,30.2,52,0.00,0.00,030,19.2,993.56,22.17,13.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1013.78,10-18-2019,10:00:00,10.00,30.0,59,0.00,0.00,090,21.0,996.18,24.89,22.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1013.51,10-18-2019,10:00:00,10.00,30.1,61,0.00,0.00,060,21.8,997.41,26.13,11.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1012.97,10-18-2019,10:00:00,10.00,30.8,55,0.00,0.00,060,20.6,999.03,24.24,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1013.07,10-18-2019,10:00:00,12.00,30.5,59,0.00,0.00,080,21.6,998.32,25.80,5.6
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1013.96,10-18-2019,10:00:00,10.00,30.0,65,0.00,0.00,050,22.7,999.34,27.55,11.1
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1013.89,10-18-2019,10:00:00,10.00,31.6,52,0.00,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",20.5,1010.90,24.10,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1013.66,10-18-2019,10:00:00,10.00,31.7,52,0.00,0.00,030,20.6,1005.78,24.28,24.1
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1012.47,10-18-2019,10:00:00,9.00,31.3,58,0.00,0.00,030,22.0,1011.37,26.48,24.1
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1010.56,10-18-2019,10:00:00,9.00,28.9,91,0.00,0.00,100,27.2,995.91,36.14,3.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1011.50,10-18-2019,10:00:00,8.00,24.4,71,0.00,0.00,030,18.7,877.95,21.60,5.6
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1013.66,10-18-2019,10:00:00,10.00,30.5,53,0.00,0.00,080,19.9,1007.82,23.19,11.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1012.74,10-18-2019,10:00:00,8.00,35.0,47,0.10,0.00,050,21.9,1011.96,26.19,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1012.47,10-18-2019,10:00:00,10.00,31.0,57,0.00,0.00,120,21.5,1012.02,25.65,18.5
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1013.23,10-18-2019,10:00:00,10.00,31.5,57,0.00,0.00,000,21.9,1002.02,26.32,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1013.35,10-18-2019,10:00:00,10.00,31.3,56,0.00,0.00,090,21.4,1012.35,25.41,9.3
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1012.94,10-18-2019,10:00:00,10.00,30.7,55,0.00,0.00,070,20.6,1011.13,24.32,7.4
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1013.18,10-18-2019,10:00:00,9.00,30.5,59,1.80,0.00,040,21.6,1012.41,25.80,7.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1012.55,10-18-2019,10:00:00,10.00,30.2,58,0.01,0.00,070,20.9,1011.85,24.73,16.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1012.09,10-18-2019,10:00:00,10.00,31.8,50,0.00,0.00,070,20.0,1011.40,23.42,7.4
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1014.04,10-18-2019,10:00:00,10.00,29.2,62,0.00,0.00,080,21.1,992.89,25.03,9.3
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1013.43,10-18-2019,10:00:00,8.00,29.8,60,0.00,0.00,060,21.1,996.76,25.06,9.3
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1013.83,10-18-2019,10:00:00,9.00,29.6,64,0.00,0.00,050,22.1,997.43,26.54,7.4
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1013.54,10-18-2019,10:00:00,9.00,29.2,64,0.00,0.00,030,21.8,991.70,26.07,9.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1013.57,10-18-2019,10:00:00,10.00,28.0,58,0.00,0.00,060,19.0,970.20,21.99,16.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1013.15,10-18-2019,10:00:00,10.00,28.7,63,0.00,0.00,050,20.9,992.58,24.67,7.4
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1015.29,10-18-2019,10:00:00,9.00,29.1,72,0.00,0.00,050,23.6,994.44,29.11,25.9
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1012.59,10-18-2019,10:00:00,10.00,30.8,69,0.00,0.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.4,1012.16,30.49,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1012.42,10-18-2019,10:00:00,11.00,29.7,63,1.40,0.00,000,22.0,1011.01,26.46,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1012.45,10-18-2019,10:00:00,8.00,30.7,64,7.30,0.00,100,23.1,1007.55,28.34,7.4
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1013.29,10-18-2019,10:00:00,12.00,31.6,52,0.20,0.00,000,20.5,1010.03,24.10,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1013.09,10-18-2019,10:00:00,10.00,30.8,58,5.20,0.00,030,21.6,1011.99,25.82,3.7
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1012.55,10-18-2019,10:00:00,10.00,31.5,57,0.01,0.00,050,21.9,1012.25,26.32,11.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,1012.25,10-18-2019,10:00:00,10.00,33.5,51,0.00,0.00,120,21.9,1011.57,26.31,7.4
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1012.30,10-18-2019,10:00:00,10.00,32.0,57,0.00,0.00,120,22.5,1011.81,27.27,1.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1013.01,10-18-2019,10:00:00,10.00,31.8,54,0.00,0.00,110,21.4,1011.62,25.53,9.3
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,1012.65,10-18-2019,10:00:00,10.00,29.8,68,0.00,0.00,050,23.3,1010.98,28.53,25.9
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1014.48,10-18-2019,10:00:00,10.00,30.0,63,0.00,0.00,240,22.2,1006.49,26.74,3.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1012.05,10-18-2019,10:00:00,6.00,31.2,68,4.00,0.00,040,24.5,1011.76,30.73,18.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1011.16,10-18-2019,10:00:00,12.00,31.5,60,0.00,0.00,250,22.8,1008.07,27.68,9.3
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1012.01,10-18-2019,10:00:00,10.00,30.8,62,2.60,0.00,060,22.6,1005.12,27.43,11.1
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1013.23,10-18-2019,10:00:00,8.00,31.0,61,0.00,0.00,060,22.7,1007.67,27.54,5.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,1012.91,10-18-2019,10:00:00,10.00,31.3,63,1.00,0.00,090,23.3,1003.68,28.68,14.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1013.21,10-18-2019,10:00:00,12.00,29.7,77,37.90,0.00,020,25.2,1011.95,31.97,7.4
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1012.69,10-18-2019,10:00:00,11.00,31.0,71,0.00,0.00,010,25.2,1012.26,32.05,13.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1012.71,10-18-2019,10:00:00,6.00,30.5,72,0.00,0.00,050,24.8,1000.52,31.31,11.1
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1012.61,10-18-2019,10:00:00,9.00,31.8,72,0.00,0.00,000,26.2,1011.91,34.05,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1012.22,10-18-2019,10:00:00,10.00,32.6,60,4.10,0.00,020,23.9,1009.82,29.58,7.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1011.96,10-18-2019,10:00:00,10.00,32.0,60,0.00,0.00,050,23.3,1011.44,28.66,9.3
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.93,10-18-2019,10:00:00,13.00,31.1,59,12.10,0.00,010,22.1,1006.82,26.65,5.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1012.27,10-18-2019,10:00:00,9.00,31.2,65,0.00,0.00,040,23.7,1011.86,29.32,9.3
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1012.49,10-18-2019,10:00:00,10.00,30.5,68,0.00,0.00,000,24.0,1009.73,29.89,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1012.36,10-18-2019,10:00:00,10.00,29.8,75,0.50,0.00,050,24.8,1011.57,31.32,11.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1011.41,10-18-2019,10:00:00,10.00,30.0,78,8.20,0.00,070,25.8,1010.95,33.17,13.0
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1012.81,10-18-2019,10:00:00,6.00,24.6,95,31.60,1.40,170,23.7,1012.12,29.33,3.7
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1013.00,10-18-2019,10:00:00,7.00,23.4,93,30.40,10.00,290,22.2,1011.44,26.75,1.9
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1012.86,10-18-2019,10:00:00,7.00,25.5,88,5.00,0.60,060,23.3,1011.94,28.59,3.7
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1012.17,10-18-2019,10:00:00,8.00,26.0,94,17.30,4.80,000,25.0,1011.48,31.65,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.88,10-18-2019,10:00:00,10.00,28.2,83,14.10,1.20,010,25.1,1012.08,31.79,5.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1011.18,10-18-2019,10:00:00,10.00,25.3,94,23.70,0.90,150,24.3,1010.54,30.34,9.3
