WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,LandVisibility,WindSpeed,AirTemperature,Rainfall24Hr,StationPressure,MeanSeaLevelPressure,RelativeHumidity,WindDirection,Rainfall,MinimumTemperature,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.02,07-19-2019,07:00:00,10.00,0.0,27.0,0.00,974.05,1004.80,84,000,0.00,24.5,24.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,20.87,07-19-2019,07:00:00,8.00,7.4,19.0,4.00,842.84,1003.43,95,270,0.00,18.8,18.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,29.44,07-19-2019,07:00:00,15.00,0.0,27.7,0.00,959.49,1002.62,79,000,0.00,26.6,23.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,30.22,07-19-2019,07:00:00,15.00,0.0,26.1,0.00,957.55,1002.81,89,000,0.00,24.4,24.2
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,30.32,07-19-2019,07:00:00,12.00,0.0,25.0,0.00,966.54,1004.15,96,000,0.00,24.0,24.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,30.42,07-19-2019,07:00:00,10.00,5.6,28.5,0.00,958.50,1002.98,78,160,0.00,26.5,24.3
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,30.67,07-19-2019,07:00:00,12.00,0.0,26.2,0.00,977.46,1004.10,90,000,0.00,25.5,24.5
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.09,07-19-2019,07:00:00,10.00,3.7,27.6,0.00,982.21,1003.81,71,270,0.00,26.8,21.8
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,29.17,07-19-2019,07:00:00,8.00,0.0,26.4,0.00,981.98,1006.05,85,000,0.00,24.5,23.6
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.75,07-19-2019,07:00:00,10.00,0.0,27.8,0.00,969.44,1003.63,74,000,0.00,27.2,22.8
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.67,07-19-2019,07:00:00,10.00,0.0,27.0,0.00,976.61,1003.99,80,000,0.00,26.5,23.3
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.88,07-19-2019,07:00:00,12.00,0.0,27.4,0.00,970.24,1003.54,79,000,0.00,27.0,23.5
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,29.46,07-19-2019,07:00:00,12.00,5.6,28.0,0.00,984.82,1003.16,78,270,0.00,27.8,23.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.70,07-19-2019,07:00:00,10.00,0.0,26.5,0.00,980.93,1003.67,89,000,0.00,25.6,24.5
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.91,07-19-2019,07:00:00,9.00,0.0,25.5,0.00,973.96,1003.83,92,000,0.00,24.5,24.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,31.22,07-19-2019,07:00:00,6.00,0.0,26.2,0.00,968.55,1003.94,92,000,0.00,25.4,24.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,30.05,07-19-2019,07:00:00,3.00,0.0,25.0,0.50,973.87,1003.61,95,000,0.00,23.7,24.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.15,07-19-2019,07:00:00,12.00,0.0,28.5,0.00,996.90,1004.14,78,000,0.00,28.5,24.2
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.12,07-19-2019,07:00:00,12.00,0.0,28.3,0.00,982.94,1002.66,86,000,0.00,28.0,25.8
48353,LOEI,เลย,เลย,17.45000,101.73333,29.00,07-19-2019,07:00:00,10.00,3.7,25.0,0.00,976.03,1004.76,92,320,0.00,24.6,23.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,32.35,07-19-2019,07:00:00,15.00,5.6,28.2,0.00,983.14,1003.13,85,190,0.00,27.0,25.4
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,30.28,07-19-2019,07:00:00,12.00,0.0,28.0,0.00,981.65,1003.21,80,000,0.00,27.5,24.3
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,30.78,07-19-2019,07:00:00,12.00,1.9,28.4,0.00,983.66,1002.96,80,200,0.00,27.5,24.5
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,31.46,07-19-2019,07:00:00,10.00,3.7,28.6,0.00,987.25,1003.85,80,120,0.00,28.2,24.9
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,32.84,07-19-2019,07:00:00,12.00,0.0,27.6,0.00,987.02,1004.34,89,000,0.00,25.9,25.6
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,31.79,07-19-2019,07:00:00,12.00,0.0,26.5,0.00,976.71,1002.40,92,000,0.00,25.8,25.1
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.73,07-19-2019,07:00:00,10.00,0.0,28.8,0.00,997.61,1003.34,70,000,0.00,26.3,22.8
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,28.92,07-19-2019,07:00:00,12.00,5.6,26.7,0.00,997.49,1003.67,83,180,0.00,26.5,23.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,31.08,07-19-2019,07:00:00,10.00,0.0,26.7,0.00,988.07,1004.48,89,000,0.00,25.7,24.7
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,30.07,07-19-2019,07:00:00,10.00,3.7,25.3,0.00,981.42,1003.79,93,180,0.00,24.5,24.1
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.63,07-19-2019,07:00:00,10.00,13.0,28.6,0.00,990.05,1004.31,71,260,0.00,20.5,22.7
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.06,07-19-2019,07:00:00,7.00,9.3,27.0,0.00,987.17,1003.49,73,250,0.00,26.5,21.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.11,07-19-2019,07:00:00,10.00,3.7,27.0,0.00,998.61,1003.82,87,170,0.00,26.8,24.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,30.59,07-19-2019,07:00:00,12.00,0.0,27.3,0.00,989.47,1002.59,84,000,0.00,26.2,24.4
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,28.21,07-19-2019,07:00:00,12.00,5.6,26.6,0.00,994.24,1003.54,81,320,0.00,25.9,23.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,31.05,07-19-2019,07:00:00,9.00,5.6,27.4,15.30,981.92,1003.50,85,240,0.00,26.4,24.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,30.97,07-19-2019,07:00:00,10.00,0.0,27.5,2.30,986.20,1003.61,84,000,0.00,27.0,24.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,30.72,07-19-2019,07:00:00,10.00,0.0,27.8,0.00,987.50,1003.23,82,000,0.00,27.2,24.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,29.05,07-19-2019,07:00:00,10.00,1.9,28.5,0.01,983.78,1002.48,75,180,0.00,27.7,23.6
