WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,WindSpeed,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,LandVisibility,DewPoint,Rainfall,StationPressure,WindDirection,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,27.08,10-17-2019,04:00:00,0.0,1014.03,23.6,93,5.00,22.4,0.00,982.65,000,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.81,10-17-2019,04:00:00,5.6,1012.37,17.7,98,8.00,17.4,0.00,849.70,140,1.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.52,10-17-2019,04:00:00,0.0,1014.17,23.1,90,10.00,21.4,0.00,969.88,000,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.69,10-17-2019,04:00:00,0.0,1014.31,22.3,95,10.00,21.5,0.00,967.96,000,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.85,10-17-2019,04:00:00,0.0,1014.58,21.0,100,5.00,21.0,0.00,976.07,000,2.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.01,10-17-2019,04:00:00,0.0,1013.17,22.5,95,6.00,21.7,0.00,967.35,000,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.41,10-17-2019,04:00:00,0.0,1014.36,23.2,93,6.00,22.0,0.00,987.18,000,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,29.30,10-17-2019,04:00:00,0.0,1013.46,24.0,98,8.00,23.7,0.00,991.39,000,2.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,28.53,10-17-2019,04:00:00,0.0,1013.23,24.0,96,6.00,23.3,0.00,988.80,000,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.84,10-17-2019,04:00:00,0.0,1014.11,24.5,87,10.00,22.3,0.00,979.19,000,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,28.52,10-17-2019,04:00:00,0.0,1013.88,23.7,97,10.00,23.3,0.00,985.93,000,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.07,10-17-2019,04:00:00,0.0,1014.28,23.0,96,7.00,22.4,0.00,980.13,000,18.20
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,28.88,10-17-2019,04:00:00,0.0,1012.78,24.2,96,6.00,23.5,0.00,994.03,000,4.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,27.58,10-17-2019,04:00:00,0.0,1013.84,23.6,95,10.00,22.7,0.00,990.65,000,1.60
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.09,10-17-2019,04:00:00,0.0,1014.09,22.7,95,6.00,21.8,0.00,983.64,000,2.40
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.83,10-17-2019,04:00:00,0.0,1013.61,23.0,96,4.00,22.2,0.00,977.51,000,3.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.59,10-17-2019,04:00:00,0.0,1013.51,21.6,95,8.00,20.8,0.00,983.13,000,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,28.59,10-17-2019,04:00:00,0.0,1012.28,25.5,88,8.00,23.3,0.00,1004.90,000,2.70
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.26,10-17-2019,04:00:00,5.6,1013.36,24.3,86,10.00,21.9,0.00,993.17,030,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,25.12,10-17-2019,04:00:00,0.0,1013.97,22.7,91,3.00,21.2,0.00,984.74,000,0.10
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,25.60,10-17-2019,04:00:00,0.0,1013.75,23.0,91,10.00,21.5,0.00,993.19,000,8.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.13,10-17-2019,04:00:00,0.0,1013.97,22.1,95,12.00,21.2,0.00,991.75,000,0.40
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.42,10-17-2019,04:00:00,0.0,1013.39,23.5,91,10.00,22.0,0.00,993.56,000,2.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.78,10-17-2019,04:00:00,0.0,1013.84,24.3,82,10.00,20.9,0.00,996.84,000,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.44,10-17-2019,04:00:00,0.0,1014.21,22.6,93,10.00,21.4,0.00,996.43,000,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.68,10-17-2019,04:00:00,0.0,1012.13,24.7,86,10.00,22.2,0.00,986.05,000,0.01
