WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,MeanSeaLevelPressure,RelativeHumidity,AirTemperature,DewPoint,Rainfall24Hr,StationPressure,Rainfall,VaporPressure,LandVisibility,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.7,08-05-2019,13:00:00,999.49,85,28.2,25.4,14.40,969.03,0.40,32.35,6.00,160
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,29.6,08-05-2019,13:00:00,999.37,100,19.5,19.5,55.00,839.67,2.20,22.65,.10,150
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,9.3,08-05-2019,13:00:00,1001.84,83,26.7,23.5,62.10,958.60,0.70,28.92,10.00,120
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.7,08-05-2019,13:00:00,1001.84,83,26.3,23.2,53.20,956.66,0.01,28.46,10.00,100
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,13.0,08-05-2019,13:00:00,1003.57,96,25.5,24.8,61.70,966.04,2.70,31.25,7.00,130
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,5.6,08-05-2019,13:00:00,1001.95,88,26.5,24.3,29.60,957.23,0.10,30.43,6.00,130
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,7.4,08-05-2019,13:00:00,1003.89,90,26.0,24.3,78.70,977.24,2.10,30.30,8.00,180
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,08-05-2019,13:00:00,1002.73,83,27.7,24.5,17.70,981.16,0.10,30.81,12.00,150
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-05-2019,13:00:00,1001.78,96,25.1,24.4,18.90,977.71,7.60,30.50,5.00,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,08-05-2019,13:00:00,1001.99,92,25.7,24.2,22.70,967.62,4.50,30.28,7.00,150
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-05-2019,13:00:00,1002.97,94,25.7,24.7,57.30,975.50,1.50,31.08,5.00,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-05-2019,13:00:00,1001.55,88,26.5,24.3,31.10,968.21,1.20,30.43,10.00,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,5.6,08-05-2019,13:00:00,1002.75,74,29.0,23.8,13.90,984.48,0.00,29.46,12.00,270
48331,NAN,น่าน,น่าน,18.77972,100.77778,5.6,08-05-2019,13:00:00,1003.34,87,27.3,24.9,43.20,980.67,0.20,31.41,10.00,220
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-05-2019,13:00:00,1003.70,91,25.7,24.1,43.40,973.86,2.00,30.01,8.00,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-05-2019,13:00:00,1002.27,94,25.2,24.2,45.40,966.83,10.20,30.15,6.00,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,5.6,08-05-2019,13:00:00,1002.22,73,29.8,24.4,3.30,972.99,0.20,30.47,12.00,140
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,7.4,08-05-2019,13:00:00,1003.75,75,29.5,24.5,13.30,996.53,0.00,30.72,8.00,190
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,3.7,08-05-2019,13:00:00,1003.35,70,30.5,24.5,0.40,983.77,0.00,30.74,20.00,250
48353,LOEI,เลย,เลย,17.45000,101.73333,5.6,08-05-2019,13:00:00,1002.93,74,29.6,24.4,2.10,974.67,0.60,30.63,12.00,360
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,7.4,08-05-2019,13:00:00,1003.26,66,32.2,25.0,0.20,983.51,0.01,31.65,13.00,180
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,3.7,08-05-2019,13:00:00,1003.25,62,32.1,23.9,1.40,981.98,0.00,29.71,15.00,210
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.0,08-05-2019,13:00:00,1002.77,63,31.5,23.6,2.40,983.66,0.00,29.07,18.00,000
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.0,08-05-2019,13:00:00,1003.48,67,30.8,23.9,12.30,987.01,0.00,29.65,12.00,000
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-05-2019,13:00:00,1003.47,64,31.5,23.9,12.90,986.39,0.00,29.63,12.00,000
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-05-2019,13:00:00,1001.51,54,32.0,21.5,0.00,976.30,0.00,25.64,15.00,000
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,5.6,08-05-2019,13:00:00,1002.91,82,29.6,26.1,16.30,997.20,0.00,33.79,6.00,130
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.0,08-05-2019,13:00:00,1002.99,85,28.7,25.9,14.70,996.86,0.01,33.37,10.00,000
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,11.1,08-05-2019,13:00:00,1003.95,62,31.6,23.5,3.80,987.81,0.00,28.99,10.00,180
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,9.3,08-05-2019,13:00:00,1001.87,80,27.0,23.3,54.10,979.67,0.20,28.67,10.00,160
48376,TAK,ตาก,ตาก,16.87833,99.14333,3.7,08-05-2019,13:00:00,1003.46,78,29.0,24.7,13.70,989.22,0.00,31.13,8.00,200
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-05-2019,13:00:00,1002.65,95,27.0,26.1,12.90,986.34,2.20,33.91,6.00,000
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,5.6,08-05-2019,13:00:00,1003.60,66,31.0,24.0,6.80,998.46,0.00,29.76,10.00,250
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,08-05-2019,13:00:00,1002.98,66,31.7,24.6,15.70,990.04,0.00,30.90,12.00,000
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,3.7,08-05-2019,13:00:00,1003.05,65,30.5,23.2,4.80,993.87,0.00,28.50,10.00,090
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,9.3,08-05-2019,13:00:00,1003.29,59,31.0,22.0,0.01,981.97,0.00,26.46,10.00,210
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.0,08-05-2019,13:00:00,1003.37,66,31.5,24.4,0.01,986.19,0.00,30.49,12.00,000
