WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,VaporPressure,WindDirection,MeanSeaLevelPressure,StationPressure,LandVisibility,Rainfall24Hr,Rainfall,AirTemperature,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.8,08-15-2019,22:00:00,88,31.38,000,1005.26,974.50,10.00,0.40,0.01,27.0,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.5,08-15-2019,22:00:00,100,22.65,300,1004.10,843.65,.10,22.50,0.00,19.5,18.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,23.3,08-15-2019,22:00:00,94,28.54,180,1004.57,960.86,10.00,6.60,1.20,24.3,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.3,08-15-2019,22:00:00,96,28.53,000,1004.65,958.99,6.00,5.30,1.00,24.0,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.3,08-15-2019,22:00:00,96,28.53,000,1007.03,969.18,5.00,20.80,20.50,24.0,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.4,08-15-2019,22:00:00,97,28.78,160,1005.84,960.57,7.00,11.10,8.20,24.0,3.7
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,25.0,08-15-2019,22:00:00,96,31.63,000,1004.93,978.23,7.00,12.60,0.40,25.7,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.1,08-15-2019,22:00:00,73,28.24,210,1004.89,983.33,15.00,0.00,0.00,28.5,7.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.0,08-15-2019,22:00:00,92,29.91,000,1006.41,982.27,6.00,0.80,0.00,25.5,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,22.4,08-15-2019,22:00:00,74,27.03,000,1005.83,971.52,10.00,1.00,0.00,27.4,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.4,08-15-2019,22:00:00,88,32.36,000,1004.98,977.62,10.00,0.60,0.00,27.5,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.1,08-15-2019,22:00:00,83,31.79,000,1004.31,971.06,10.00,0.00,0.00,28.2,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.2,08-15-2019,22:00:00,94,34.03,000,1004.28,985.87,12.00,0.40,0.00,27.2,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.7,08-15-2019,22:00:00,87,29.23,000,1004.59,981.80,6.00,11.40,1.90,26.0,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,23.3,08-15-2019,22:00:00,88,28.67,000,1004.56,974.66,8.00,9.50,1.20,25.4,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.5,08-15-2019,22:00:00,93,32.54,000,1004.75,969.38,6.00,0.00,0.00,26.6,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.8,08-15-2019,22:00:00,82,31.23,000,1003.60,974.17,12.00,0.00,0.00,28.2,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.8,08-15-2019,22:00:00,72,29.49,000,1004.41,997.18,9.00,0.00,0.00,29.3,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,26.3,08-15-2019,22:00:00,83,34.16,180,1003.11,983.47,10.00,8.40,0.00,29.5,5.6
48353,LOEI,เลย,เลย,17.45000,101.73333,23.7,08-15-2019,22:00:00,75,29.33,000,1004.12,975.73,12.00,0.00,0.00,28.5,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.7,08-15-2019,22:00:00,82,31.03,170,1004.09,984.06,12.00,0.01,0.00,28.1,5.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.3,08-15-2019,22:00:00,92,30.46,000,1005.37,983.61,12.00,4.70,2.10,25.8,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,24.1,08-15-2019,22:00:00,93,30.07,170,1004.25,984.72,10.00,7.40,5.00,25.3,9.3
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,25.7,08-15-2019,22:00:00,93,33.06,000,1005.20,988.50,10.00,29.10,3.40,27.0,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.3,08-15-2019,22:00:00,91,30.38,320,1006.05,988.61,1.00,97.40,43.20,25.9,9.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,24.0,08-15-2019,22:00:00,89,29.76,000,1005.74,979.93,10.00,0.80,0.00,26.0,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,24.4,08-15-2019,22:00:00,76,30.57,270,1004.84,999.10,10.00,0.20,0.00,29.0,5.6
