WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,VaporPressure,WindSpeed,Rainfall24Hr,DewPoint,StationPressure,AirTemperature,LandVisibility,Rainfall,RelativeHumidity,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,180,08-31-2019,16:00:00,32.58,5.6,43.70,25.5,968.94,26.9,5.00,8.10,92,999.53
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,140,08-31-2019,16:00:00,20.93,14.8,5.40,18.2,839.27,18.4,.10,2.80,99,999.54
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,070,08-31-2019,16:00:00,28.26,3.7,1.00,23.1,955.83,30.8,10.00,0.00,64,998.35
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,08-31-2019,16:00:00,30.15,0.0,0.60,24.2,954.16,28.5,15.00,0.40,78,998.89
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,100,08-31-2019,16:00:00,33.34,11.1,8.00,25.9,962.96,27.0,12.00,0.20,94,1000.18
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,08-31-2019,16:00:00,27.66,0.0,50.30,22.8,954.87,23.5,8.00,20.00,96,999.94
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,210,08-31-2019,16:00:00,30.18,18.5,12.60,24.2,973.94,26.8,6.00,0.40,86,1000.43
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,08-31-2019,16:00:00,31.47,0.0,97.80,24.9,979.29,27.9,12.00,0.90,84,1000.81
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,08-31-2019,16:00:00,30.30,0.0,48.40,24.3,977.51,26.0,6.00,0.80,90,1001.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,200,08-31-2019,16:00:00,30.24,3.7,10.30,24.2,966.19,26.4,10.00,4.90,88,1000.43
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,08-31-2019,16:00:00,29.41,0.0,38.50,23.8,987.36,24.5,5.00,10.00,96,1015.27
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,240,08-31-2019,16:00:00,29.33,3.7,132.40,23.7,967.15,24.6,10.00,95.80,95,1000.67
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,250,08-31-2019,16:00:00,30.59,3.7,71.40,24.4,982.18,26.3,9.00,13.90,89,1000.58
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,08-31-2019,16:00:00,30.34,0.0,26.50,24.3,978.07,25.3,8.00,22.60,94,1000.83
