WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,RelativeHumidity,Rainfall,AirTemperature,WindSpeed,WindDirection,MaximumTemperature,StationPressure,VaporPressure,Rainfall24Hr,DewPoint,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1011.38,10-15-2019,19:00:00,77,0.00,27.5,5.6,090,32.2,980.49,28.26,0.00,23.1,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1012.53,10-15-2019,19:00:00,93,0.00,18.7,5.6,140,20.2,850.33,20.05,6.60,17.5,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1012.46,10-15-2019,19:00:00,73,0.00,28.3,0.0,000,32.7,968.98,28.14,0.00,23.0,12.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1012.69,10-15-2019,19:00:00,80,0.00,27.0,0.0,000,31.9,967.12,28.67,0.00,23.3,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1013.39,10-15-2019,19:00:00,100,0.60,24.8,0.0,000,31.0,975.41,31.28,14.40,24.8,8.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1013.18,10-15-2019,19:00:00,89,0.50,26.7,0.0,000,31.3,967.99,31.08,0.50,24.7,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1014.43,10-15-2019,19:00:00,91,0.70,24.5,0.0,000,34.3,987.37,28.11,0.80,23.0,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1011.84,10-15-2019,19:00:00,83,0.00,26.7,1.9,350,32.8,990.00,28.92,0.00,23.5,12.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1011.82,10-15-2019,19:00:00,86,0.00,27.4,0.0,000,33.5,987.69,31.33,0.00,24.8,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1012.59,10-15-2019,19:00:00,81,0.01,26.4,0.0,000,32.7,977.94,27.85,0.01,22.9,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1012.81,10-15-2019,19:00:00,84,0.00,26.0,0.0,000,31.8,985.10,28.18,0.00,23.1,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1012.85,10-15-2019,19:00:00,97,2.60,24.1,0.0,000,31.2,978.87,29.22,5.00,23.7,8.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1012.43,10-15-2019,19:00:00,77,0.00,27.0,0.0,000,34.5,993.86,27.62,0.00,22.7,8.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1013.85,10-15-2019,19:00:00,91,6.00,23.7,0.0,000,33.8,990.67,26.75,8.10,22.2,10.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1013.98,10-15-2019,19:00:00,91,29.30,23.1,0.0,000,33.0,983.57,25.76,29.30,21.6,7.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1013.11,10-15-2019,19:00:00,96,11.20,25.0,0.0,000,32.0,977.26,30.32,11.20,24.3,7.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1012.53,10-15-2019,19:00:00,95,0.00,23.6,0.0,000,33.5,982.39,27.58,4.90,22.7,10.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1011.28,10-15-2019,19:00:00,77,3.60,28.6,0.0,000,36.0,1003.99,30.07,3.60,24.1,8.00
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1012.18,10-15-2019,19:00:00,68,0.00,29.0,7.4,080,33.7,992.33,27.03,0.00,22.4,5.00
48353,LOEI,เลย,เลย,17.45000,101.73333,1012.50,10-15-2019,19:00:00,87,0.01,25.6,3.7,170,33.6,983.60,28.51,0.01,23.2,12.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1012.65,10-15-2019,19:00:00,62,0.00,28.9,5.6,140,33.0,992.50,24.76,0.00,20.9,12.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1013.91,10-15-2019,19:00:00,91,0.00,25.4,0.0,000,32.5,991.94,29.46,11.50,23.8,10.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1012.66,10-15-2019,19:00:00,79,0.00,26.7,3.7,110,32.5,993.06,27.60,2.00,22.7,10.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1013.88,10-15-2019,19:00:00,62,0.00,28.0,0.0,000,32.6,997.08,23.47,0.00,20.1,12.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1014.00,10-15-2019,19:00:00,76,0.00,26.0,3.7,090,31.5,996.42,25.61,1.00,21.5,10.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1012.55,10-15-2019,19:00:00,73,0.00,27.5,9.3,120,33.2,986.69,26.95,0.00,22.3,10.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1010.57,10-15-2019,19:00:00,75,0.00,31.0,5.6,330,35.4,1004.84,33.52,0.00,26.0,8.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1011.34,10-15-2019,19:00:00,73,0.00,30.0,0.0,000,35.2,1005.19,30.87,0.00,24.6,7.00
