WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,DewPoint,WindSpeed,StationPressure,Rainfall,MeanSeaLevelPressure,Rainfall24Hr,LandVisibility,VaporPressure,WindDirection,RelativeHumidity
48300,MAE HONG SON,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,19.29897,97.97578,25.6,07-07-2019,22:00:00,24.0,0.0,976.59,0.00,1007.56,1.80,10.00,29.82,000,91
48302,DOI ANG KANG,\u0e14\u0e2d\u0e22\u0e2d\u0e48\u0e32\u0e07\u0e02\u0e32\u0e07,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,19.93139,99.04833,19.1,07-07-2019,22:00:00,17.5,37.0,844.34,0.00,1005.16,1.50,8.00,19.93,300,90
48303,CHIANG RAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.96139,99.88139,27.2,07-07-2019,22:00:00,21.7,9.3,962.01,0.00,1005.33,0.00,12.00,25.90,270,72
48304,CHAING RAI AGROMET.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22 \u0e2a\u0e01\u0e29.,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e23\u0e32\u0e22,19.87083,99.78278,26.3,07-07-2019,22:00:00,22.9,9.3,960.10,0.00,1005.45,2.00,15.00,27.93,230,82
48307,THUNG CHANG,\u0e17\u0e38\u0e48\u0e07\u0e0a\u0e49\u0e32\u0e07,\u0e19\u0e48\u0e32\u0e19,19.41194,100.88353,26.1,07-07-2019,22:00:00,24.2,0.0,968.97,0.00,1006.53,0.01,8.00,30.22,000,89
48310,PHAYAO,\u0e1e\u0e30\u0e40\u0e22\u0e32,\u0e1e\u0e30\u0e40\u0e22\u0e32,19.13333,99.90000,29.0,07-07-2019,22:00:00,23.6,0.0,961.21,0.00,1005.74,0.00,10.00,29.19,000,73
48315,THA WANGPHA,\u0e17\u0e48\u0e32\u0e27\u0e31\u0e07\u0e1c\u0e32,\u0e19\u0e48\u0e32\u0e19,19.11056,100.80250,26.2,07-07-2019,22:00:00,25.0,0.0,980.03,0.00,1006.74,7.90,7.00,31.76,000,93
48324,THOEN,\u0e40\u0e16\u0e34\u0e19,\u0e25\u0e33\u0e1b\u0e32\u0e07,17.63661,99.24475,28.0,07-07-2019,22:00:00,22.2,7.4,986.53,0.00,1008.19,0.00,12.00,26.80,220,71
48325,MAE SARIANG,\u0e41\u0e21\u0e48\u0e2a\u0e30\u0e40\u0e23\u0e35\u0e22\u0e07,\u0e41\u0e21\u0e48\u0e2e\u0e48\u0e2d\u0e07\u0e2a\u0e2d\u0e19,18.16667,97.93333,23.8,07-07-2019,22:00:00,23.4,0.0,984.88,1.30,1009.23,23.30,6.00,28.69,000,97
48327,CHIANG MAI,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,\u0e40\u0e0a\u0e35\u0e22\u0e07\u0e43\u0e2b\u0e21\u0e48,18.79000,98.97694,27.5,07-07-2019,22:00:00,21.8,9.3,972.82,0.01,1007.17,0.01,10.00,26.17,210,71
