WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,Rainfall24Hr,LandVisibility,RelativeHumidity,AirTemperature,WindDirection,MeanSeaLevelPressure,Rainfall,MaximumTemperature,WindSpeed,VaporPressure,DewPoint,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,09-13-2019,19:00:00,1.50,12.00,80,28.6,000,1006.35,0.01,32.6,0.0,31.46,24.9,975.72
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,09-13-2019,19:00:00,8.80,8.00,88,20.9,270,1005.57,0.00,25.5,3.7,21.73,18.8,845.56
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,09-13-2019,19:00:00,0.00,15.00,64,31.1,000,1004.29,0.00,33.7,0.0,29.12,23.6,961.56
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,09-13-2019,19:00:00,0.00,15.00,77,30.5,000,1004.92,0.00,34.0,0.0,33.63,26.0,960.21
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,09-13-2019,19:00:00,0.00,8.00,85,28.0,000,1005.69,0.00,34.5,0.0,31.95,25.1,968.39
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,09-13-2019,19:00:00,0.00,10.00,77,28.0,000,1005.32,0.00,33.0,0.0,29.19,23.6,960.67
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,09-13-2019,19:00:00,0.00,10.00,82,29.0,000,1005.86,0.00,35.0,0.0,32.83,25.6,979.42
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,09-13-2019,19:00:00,3.70,15.00,92,25.6,090,1006.84,0.50,33.6,3.7,30.09,24.1,985.04
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,09-13-2019,19:00:00,3.30,10.00,85,28.0,000,1007.29,0.00,32.0,0.0,31.95,25.1,983.32
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,09-13-2019,19:00:00,29.70,10.00,89,26.4,000,1006.14,29.70,34.5,0.0,30.51,24.4,971.71
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,09-13-2019,19:00:00,19.10,10.00,80,29.3,000,1006.00,0.00,35.0,0.0,32.59,25.5,978.78
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,09-13-2019,19:00:00,1.70,10.00,86,27.1,320,1005.85,0.80,35.6,5.6,30.75,24.5,972.44
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,09-13-2019,19:00:00,1.80,10.00,79,28.3,000,1005.73,0.01,33.5,0.0,30.31,24.3,987.36
48331,NAN,น่าน,น่าน,18.77972,100.77778,09-13-2019,19:00:00,0.00,10.00,86,28.7,000,1005.60,0.00,35.1,0.0,33.95,26.2,982.99
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,09-13-2019,19:00:00,0.00,10.00,72,29.2,000,1005.28,0.00,33.5,0.0,29.02,23.5,975.73
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,09-13-2019,19:00:00,3.80,8.00,75,29.5,000,1005.36,0.00,33.0,0.0,30.72,24.5,970.30
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,09-13-2019,19:00:00,4.30,15.00,91,25.9,000,1005.86,0.00,34.1,0.0,30.38,24.3,976.14
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,09-13-2019,19:00:00,16.70,10.00,88,28.0,000,1006.18,6.70,36.5,0.0,33.37,25.9,998.91
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,09-13-2019,19:00:00,10.20,10.00,74,31.2,000,1004.85,0.00,34.3,0.0,33.65,26.0,985.28
48353,LOEI,เลย,เลย,17.45000,101.73333,09-13-2019,19:00:00,3.60,14.00,80,27.8,000,1006.03,0.00,34.6,0.0,29.90,24.0,977.52
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,09-13-2019,19:00:00,3.40,13.00,74,30.5,000,1005.81,0.00,34.0,0.0,32.17,25.3,985.91
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,09-13-2019,19:00:00,0.00,12.00,83,29.0,000,1005.99,0.00,33.0,0.0,33.41,25.9,984.45
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,09-13-2019,19:00:00,0.00,13.00,73,30.0,130,1005.53,0.00,32.6,7.4,31.15,24.7,986.27
