WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,LandVisibility,WindDirection,MaximumTemperature,WindSpeed,AirTemperature,Rainfall,MeanSeaLevelPressure,RelativeHumidity,DewPoint,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,973.71,08-22-2019,19:00:00,10.00,000,31.8,0.0,26.6,0.01,1004.49,85,23.8,29.54,6.90
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,842.94,08-22-2019,19:00:00,8.00,180,20.2,7.4,18.6,0.00,1003.78,98,18.3,20.98,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,961.13,08-22-2019,19:00:00,10.00,000,30.9,0.0,25.3,29.40,1004.69,92,23.8,29.54,105.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,959.29,08-22-2019,19:00:00,6.00,000,31.4,0.0,25.9,2.60,1004.67,91,24.3,30.38,3.80
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,967.76,08-22-2019,19:00:00,8.00,000,29.5,0.0,26.5,0.00,1005.23,94,25.5,32.63,13.60
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,959.73,08-22-2019,19:00:00,9.00,150,31.5,3.7,27.5,0.00,1004.42,84,24.6,30.97,0.60
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,979.04,08-22-2019,19:00:00,10.00,190,32.3,7.4,28.4,0.00,1005.52,85,25.7,33.04,14.60
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.35,08-22-2019,19:00:00,13.00,000,33.2,0.0,28.7,0.00,1004.89,69,22.5,27.28,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,981.97,08-22-2019,19:00:00,8.00,000,30.7,0.0,26.5,0.10,1006.03,88,24.3,30.43,1.70
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.78,08-22-2019,19:00:00,3.00,180,33.6,3.7,25.4,38.70,1005.30,92,23.9,29.72,39.30
