WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,RelativeHumidity,AirTemperature,MeanSeaLevelPressure,Rainfall24Hr,Rainfall,StationPressure,LandVisibility,VaporPressure,WindDirection,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,10-10-2019,13:00:00,60,31.5,1009.70,0.00,0.00,979.25,15.00,27.96,000,22.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,7.4,10-10-2019,13:00:00,91,20.5,1009.23,0.00,0.00,848.44,8.00,21.83,120,18.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,5.6,10-10-2019,13:00:00,55,31.3,1009.53,0.00,0.00,966.59,10.00,25.14,160,21.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,10-10-2019,13:00:00,52,32.5,1009.05,0.00,0.00,964.43,15.00,25.49,000,21.4
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,10-10-2019,13:00:00,52,33.2,1009.58,0.00,0.00,972.76,12.00,26.28,000,21.9
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.0,10-10-2019,13:00:00,54,33.2,1009.99,0.00,0.00,965.87,9.00,27.67,000,22.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,3.7,10-10-2019,13:00:00,56,34.0,1010.04,0.00,0.00,983.92,12.00,29.87,180,24.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,7.4,10-10-2019,13:00:00,66,32.0,1009.81,1.40,0.00,988.40,8.00,31.52,080,24.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,10-10-2019,13:00:00,69,31.5,1009.56,10.10,0.00,985.80,10.00,31.93,000,25.1
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,10-10-2019,13:00:00,49,33.1,1009.56,0.00,0.00,975.75,12.00,25.00,180,21.1
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,10-10-2019,13:00:00,56,33.5,1010.09,0.00,0.00,983.12,10.00,28.84,000,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,10-10-2019,13:00:00,59,31.7,1009.75,0.00,0.00,976.71,12.00,27.52,000,22.7
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,10-10-2019,13:00:00,51,34.0,1009.35,0.00,0.00,991.26,10.00,27.01,180,22.4
