WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,LandVisibility,RelativeHumidity,StationPressure,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,DewPoint,Rainfall,WindSpeed,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.8,08-07-2019,01:00:00,6.00,93,975.42,1006.44,29.16,13.20,23.6,0.80,0.0,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.3,08-07-2019,01:00:00,8.00,98,843.15,1004.21,20.58,16.10,18.0,0.00,3.7,150
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.6,08-07-2019,01:00:00,12.00,88,961.97,1005.53,29.03,10.30,23.5,0.00,0.0,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.8,08-07-2019,01:00:00,15.00,92,959.83,1005.40,28.64,0.00,23.3,0.00,0.0,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.0,08-07-2019,01:00:00,5.00,97,965.87,1003.59,29.04,20.60,23.6,0.00,0.0,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.2,08-07-2019,01:00:00,10.00,82,960.87,1005.81,28.01,0.00,23.0,0.00,5.6,100
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.4,08-07-2019,01:00:00,7.00,86,979.69,1006.37,29.70,17.10,23.9,0.00,3.7,160
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.4,08-07-2019,01:00:00,8.00,96,985.05,1006.87,31.06,2.20,24.7,1.70,0.0,000
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.4,08-07-2019,01:00:00,6.00,97,982.98,1007.23,29.49,20.00,23.8,1.60,0.0,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.0,08-07-2019,01:00:00,10.00,88,972.07,1006.57,29.50,0.60,23.8,0.30,0.0,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.7,08-07-2019,01:00:00,10.00,94,979.09,1006.66,31.08,4.50,24.7,0.00,0.0,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.9,08-07-2019,01:00:00,10.00,93,972.52,1006.07,30.92,2.10,24.6,0.20,0.0,000
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.3,08-07-2019,01:00:00,15.00,89,987.58,1006.08,30.32,4.00,24.3,0.00,9.3,250
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.3,08-07-2019,01:00:00,10.00,90,983.12,1005.92,30.86,2.30,24.6,0.00,0.0,000
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.6,08-07-2019,01:00:00,7.00,95,976.38,1006.41,29.33,2.90,23.7,0.00,0.0,000
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.8,08-07-2019,01:00:00,5.00,97,970.73,1006.37,30.22,2.40,24.2,0.40,0.0,000
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.1,08-07-2019,01:00:00,12.00,85,975.35,1005.12,27.11,1.70,22.4,0.00,0.0,000
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.0,08-07-2019,01:00:00,8.00,84,998.88,1006.18,30.02,27.40,24.1,0.00,0.0,000
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.0,08-07-2019,01:00:00,10.00,81,984.99,1004.76,30.56,0.00,24.4,0.00,0.0,000
