WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,AirTemperature,MaximumTemperature,WindDirection,RelativeHumidity,WindSpeed,LandVisibility,MeanSeaLevelPressure,StationPressure,VaporPressure,Rainfall
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,25.1,09-15-2019,19:00:00,9.70,26.5,34.4,000,92,0.0,6.00,1005.90,994.59,31.79,4.30
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,24.2,09-15-2019,19:00:00,0.00,29.9,36.5,000,71,0.0,10.00,1005.29,1004.29,30.11,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,24.0,09-15-2019,19:00:00,0.50,27.2,35.0,000,83,0.0,8.00,1004.97,1003.15,29.85,0.40
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,23.9,09-15-2019,19:00:00,1.40,27.5,35.6,000,81,0.0,7.00,1005.33,1004.57,29.60,0.40
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,24.7,09-15-2019,19:00:00,2.20,28.6,33.4,190,80,16.7,10.00,1005.45,1004.76,31.18,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.9,09-15-2019,19:00:00,1.10,30.3,33.1,000,78,0.0,7.00,1005.19,1004.49,33.50,0.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,22.2,09-15-2019,19:00:00,0.00,28.6,33.7,120,69,7.4,10.00,1005.98,984.96,26.83,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.9,09-15-2019,19:00:00,0.50,28.6,32.2,000,80,0.0,7.00,1006.45,989.83,31.46,0.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,25.6,09-15-2019,19:00:00,0.20,27.3,32.7,040,90,3.7,7.00,1007.29,990.88,32.81,0.20
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,23.0,09-15-2019,19:00:00,3.00,29.0,34.2,000,70,0.0,10.00,1005.53,983.85,28.10,0.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.5,09-15-2019,19:00:00,15.30,27.4,31.8,070,75,5.6,12.00,1005.71,962.58,27.29,0.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.1,09-15-2019,19:00:00,0.40,27.1,33.4,000,79,0.0,10.00,1006.36,985.83,28.33,0.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.4,09-15-2019,19:00:00,2.20,26.4,32.1,000,100,0.0,10.00,1007.77,986.90,34.40,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,25.3,09-15-2019,19:00:00,6.00,30.4,33.3,210,74,14.8,10.00,1004.82,1004.39,32.26,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.9,09-15-2019,19:00:00,11.70,28.0,34.0,000,88,0.0,8.00,1005.72,1004.31,33.37,0.70
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.3,09-15-2019,19:00:00,4.30,26.2,33.8,000,95,0.0,7.00,1005.91,1000.97,32.32,4.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,24.4,09-15-2019,19:00:00,20.90,30.4,35.5,180,70,7.4,12.00,1005.18,1001.93,30.54,0.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.7,09-15-2019,19:00:00,1.40,29.5,34.5,000,80,0.0,10.00,1005.29,1004.20,33.00,0.30
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.2,09-15-2019,19:00:00,1.90,29.0,33.9,230,80,5.6,10.00,1005.69,1005.39,31.98,0.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,27.0,09-15-2019,19:00:00,11.30,29.2,33.5,250,88,5.6,10.00,1005.32,1004.64,35.59,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.8,09-15-2019,19:00:00,2.50,28.9,32.8,150,83,3.7,10.00,1005.07,1004.59,33.20,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,25.8,09-15-2019,19:00:00,0.20,29.7,34.4,180,79,16.7,9.00,1005.30,1003.91,33.12,0.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,26.7,09-15-2019,19:00:00,0.00,28.5,30.5,210,90,22.2,10.00,1005.43,1003.77,34.99,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,24.5,09-15-2019,19:00:00,42.50,25.2,33.7,000,96,0.0,10.00,1007.61,999.55,30.69,36.90
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,25.7,09-15-2019,19:00:00,35.40,27.7,32.0,180,89,3.7,10.00,1005.43,1005.15,33.05,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,24.8,09-15-2019,19:00:00,35.00,28.0,31.5,320,83,7.4,10.00,1005.46,1002.34,31.39,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.6,09-15-2019,19:00:00,3.40,27.5,30.2,210,84,5.6,10.00,1006.03,999.11,30.97,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,25.0,09-15-2019,19:00:00,2.60,29.0,34.8,030,79,9.3,9.00,1005.79,1000.24,31.69,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,25.0,09-15-2019,19:00:00,17.00,27.7,33.8,240,85,14.8,10.00,1007.40,998.11,31.64,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,25.5,09-15-2019,19:00:00,2.50,29.0,34.8,140,81,3.7,10.00,1005.79,1004.54,32.55,0.00
