WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,Rainfall24Hr,WindSpeed,LandVisibility,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,DewPoint,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,000,10-03-2019,01:00:00,979.54,0.00,0.0,8.00,0.00,25.5,92,1010.61,24.0,29.91
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,000,10-03-2019,01:00:00,848.28,0.00,0.0,8.00,0.00,19.0,91,1009.90,17.5,20.01
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,260,10-03-2019,01:00:00,966.13,0.40,3.7,10.00,0.00,24.8,75,1010.00,20.0,23.40
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,000,10-03-2019,01:00:00,964.43,0.00,0.0,10.00,0.00,24.0,91,1010.35,22.5,27.25
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,000,10-03-2019,01:00:00,972.86,0.00,0.0,5.00,0.00,24.0,99,1010.84,23.8,29.56
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,000,10-03-2019,01:00:00,964.81,0.00,0.0,7.00,0.00,25.0,92,1010.11,23.5,29.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,000,10-03-2019,01:00:00,984.11,0.00,0.0,5.00,0.00,25.5,92,1010.99,24.0,29.91
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,000,10-03-2019,01:00:00,988.66,0.00,0.0,11.00,0.00,25.8,92,1010.53,24.3,30.46
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,000,10-03-2019,01:00:00,986.95,0.00,0.0,6.00,0.00,25.5,92,1011.21,24.0,29.91
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,000,10-03-2019,01:00:00,976.00,0.00,0.0,10.00,0.00,25.7,85,1010.67,22.9,27.90
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,000,10-03-2019,01:00:00,982.66,13.00,0.0,10.00,12.00,25.2,92,1010.38,23.7,29.36
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,000,10-03-2019,01:00:00,976.75,0.00,0.0,10.00,0.00,25.6,87,1010.49,23.2,28.51
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,000,10-03-2019,01:00:00,991.00,0.00,0.0,4.00,0.00,26.2,90,1009.57,24.5,30.67
48331,NAN,น่าน,น่าน,18.77972,100.77778,000,10-03-2019,01:00:00,987.30,0.00,0.0,10.00,0.00,26.2,89,1010.21,24.2,30.13
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,000,10-03-2019,01:00:00,980.12,0.00,0.0,6.00,0.00,26.1,91,1010.12,24.5,30.76
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,000,10-03-2019,01:00:00,974.54,0.00,0.0,8.00,0.00,25.5,84,1010.24,22.5,27.29
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,000,10-03-2019,01:00:00,979.71,0.00,0.0,4.00,0.00,23.8,96,1009.75,23.1,28.18
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,000,10-03-2019,01:00:00,1002.34,0.00,0.0,8.00,0.00,27.5,84,1009.65,24.6,30.97
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,000,10-03-2019,01:00:00,989.29,0.00,0.0,4.00,0.00,27.5,81,1009.19,23.9,29.60
48353,LOEI,เลย,เลย,17.45000,101.73333,000,10-03-2019,01:00:00,981.21,0.00,0.0,4.00,0.00,25.5,84,1010.06,22.7,27.55
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,240,10-03-2019,01:00:00,990.24,0.00,1.9,8.00,0.00,27.1,81,1010.45,23.4,28.86
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,000,10-03-2019,01:00:00,989.02,0.00,0.0,6.00,0.00,25.0,92,1010.96,23.5,29.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,200,10-03-2019,01:00:00,990.44,0.00,3.7,7.00,0.00,26.4,87,1010.01,24.1,29.97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,000,10-03-2019,01:00:00,994.12,0.00,0.0,7.00,0.00,26.8,83,1010.93,23.7,29.37
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,000,10-03-2019,01:00:00,993.41,0.00,0.0,8.00,0.00,25.4,92,1010.97,23.9,29.72
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,080,10-03-2019,01:00:00,983.18,0.00,3.7,7.00,0.00,26.2,85,1009.06,23.6,29.07
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,000,10-03-2019,01:00:00,1003.36,0.00,0.0,6.00,0.00,28.1,94,1009.14,27.0,35.61
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,000,10-03-2019,01:00:00,1003.61,0.00,0.0,6.00,0.00,27.5,92,1009.80,26.1,33.78
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,000,10-03-2019,01:00:00,993.52,0.00,0.0,8.00,0.00,26.5,86,1010.03,24.0,29.89
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,180,10-03-2019,01:00:00,987.48,0.00,5.6,10.00,0.00,25.0,88,1010.01,22.8,27.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,000,10-03-2019,01:00:00,996.53,0.00,0.0,10.00,0.00,28.0,79,1010.92,23.9,29.74
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,000,10-03-2019,01:00:00,993.68,0.00,0.0,7.00,0.00,25.5,90,1010.19,23.7,29.38
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,000,10-03-2019,01:00:00,1005.04,0.00,0.0,6.00,0.00,27.0,91,1010.28,25.4,32.49
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,000,10-03-2019,01:00:00,995.99,0.00,0.0,8.00,0.00,26.7,86,1009.23,24.2,30.26
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,000,10-03-2019,01:00:00,1000.96,0.00,0.0,6.00,0.00,27.3,84,1010.30,24.4,30.59
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,000,10-03-2019,01:00:00,988.76,0.00,0.0,7.00,0.00,27.3,83,1010.49,24.1,30.04
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,000,10-03-2019,01:00:00,993.21,0.00,0.0,10.00,0.00,27.0,90,1010.77,25.1,31.94
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,000,10-03-2019,01:00:00,994.13,0.00,0.0,10.00,0.00,26.0,88,1010.06,23.8,29.50
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,000,10-03-2019,01:00:00,990.60,0.00,0.0,7.00,0.00,26.4,89,1009.56,24.4,30.51
