WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,StationPressure,Rainfall24Hr,WindSpeed,LandVisibility,Rainfall,AirTemperature,RelativeHumidity,MeanSeaLevelPressure,DewPoint,VaporPressure
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,000,10-03-2019,01:00:00,959.83,0.00,0.0,6.00,0.00,22.3,91,1011.87,20.8,24.49
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,150,10-03-2019,01:00:00,1005.98,0.00,3.7,3.00,0.00,27.0,96,1009.95,26.3,34.19
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,220,10-03-2019,01:00:00,915.79,0.00,5.6,6.00,0.00,21.4,96,1011.31,20.8,24.52
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,000,10-03-2019,01:00:00,994.68,0.00,0.0,6.00,0.00,26.1,95,1010.77,25.2,32.12
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,000,10-03-2019,01:00:00,1005.95,0.00,0.0,6.00,0.00,27.3,75,1010.00,22.4,27.11
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,000,10-03-2019,01:00:00,1000.27,21.70,0.0,2.00,0.00,25.7,94,1011.03,24.7,31.08
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,000,10-03-2019,01:00:00,1008.97,0.00,0.0,8.00,0.00,28.0,88,1010.90,25.9,33.37
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,230,10-03-2019,01:00:00,991.12,0.00,3.7,7.00,0.00,26.1,84,1012.15,23.2,28.36
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,000,10-03-2019,01:00:00,992.47,0.00,0.0,10.00,0.00,26.0,92,1010.25,24.6,30.84
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,000,10-03-2019,01:00:00,993.68,0.00,0.0,8.00,0.00,27.4,90,1009.87,25.5,32.73
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,000,10-03-2019,01:00:00,996.54,0.00,0.0,6.00,0.00,27.0,88,1010.62,24.8,31.38
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,000,10-03-2019,01:00:00,996.37,0.00,0.0,8.00,0.00,26.5,88,1011.28,24.3,30.43
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,000,10-03-2019,01:00:00,996.38,0.00,0.0,6.00,0.00,27.0,97,1011.11,26.4,34.48
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-03-2019,01:00:00,1007.30,0.00,0.0,6.00,0.00,27.3,83,1010.32,24.1,30.04
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,000,10-03-2019,01:00:00,1002.51,0.00,0.0,7.00,0.00,26.9,88,1010.49,24.7,31.19
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,150,10-03-2019,01:00:00,1009.39,0.00,5.6,6.00,0.00,28.4,85,1010.50,25.7,33.04
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,000,10-03-2019,01:00:00,995.09,0.00,0.0,8.00,0.00,26.8,82,1009.83,23.4,28.84
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,170,10-03-2019,01:00:00,876.98,23.00,5.6,2.00,0.00,20.1,97,1012.44,19.6,22.83
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,000,10-03-2019,01:00:00,1004.79,0.00,0.0,7.00,0.00,26.2,87,1010.71,23.9,29.60
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,000,10-03-2019,01:00:00,1009.71,0.20,0.0,8.00,0.00,28.6,88,1010.51,26.4,34.32
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,140,10-03-2019,01:00:00,1009.94,0.00,7.4,10.00,0.00,29.0,85,1010.38,26.2,33.99
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,000,10-03-2019,01:00:00,999.98,0.00,0.0,4.00,0.00,26.0,92,1011.37,24.6,30.84
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,000,10-03-2019,01:00:00,1009.50,0.00,0.0,6.00,0.00,29.0,85,1010.50,26.2,33.99
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,150,10-03-2019,01:00:00,1008.72,0.00,3.7,7.00,0.00,28.1,88,1010.55,25.8,33.29
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,000,10-03-2019,01:00:00,1009.28,0.00,0.0,5.00,0.00,27.2,91,1010.05,25.6,32.89
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,180,10-03-2019,01:00:00,1009.95,0.00,5.6,8.00,0.00,28.5,85,1010.65,25.7,32.96
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,10-03-2019,01:00:00,1010.06,0.00,0.0,7.00,0.00,28.6,84,1010.76,25.6,32.88
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,000,10-03-2019,01:00:00,989.66,0.00,0.0,7.00,0.00,26.4,84,1010.94,23.5,28.90
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,000,10-03-2019,01:00:00,993.99,0.01,0.0,7.00,0.00,27.0,90,1010.77,25.3,32.21
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,000,10-03-2019,01:00:00,994.63,0.00,0.0,6.00,0.00,26.2,92,1011.18,24.8,31.22
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,000,10-03-2019,01:00:00,989.16,0.00,0.0,8.00,0.00,26.3,89,1011.15,24.4,30.59
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,060,10-03-2019,01:00:00,967.53,0.60,3.7,4.00,0.00,24.1,91,1011.37,22.5,27.17
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,000,10-03-2019,01:00:00,990.40,0.00,0.0,8.00,0.00,26.1,91,1011.10,24.5,30.76
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,200,10-03-2019,01:00:00,991.23,0.00,3.7,5.00,0.00,25.5,100,1012.26,25.5,32.62
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",10-03-2019,01:00:00,1010.20,0.00,0.0,10.00,0.00,28.8,79,1010.64,24.8,31.29
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,10-03-2019,01:00:00,1009.52,0.20,0.0,6.00,0.00,26.8,90,1010.94,24.9,31.55
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,10-03-2019,01:00:00,1006.31,4.70,0.0,7.00,0.00,25.4,97,1011.29,24.8,31.33
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,210,10-03-2019,01:00:00,1007.07,0.00,3.7,10.00,0.00,28.5,78,1010.35,24.2,30.15
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,000,10-03-2019,01:00:00,1009.40,0.00,0.0,10.00,0.00,27.5,92,1010.51,26.1,33.78
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,000,10-03-2019,01:00:00,1010.14,0.00,0.0,10.00,0.00,29.3,85,1010.44,26.5,34.62
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,170,10-03-2019,01:00:00,1009.82,0.00,5.6,8.00,0.00,28.6,84,1010.31,25.6,32.88
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,160,10-03-2019,01:00:00,1009.17,0.01,7.4,8.00,0.00,28.7,87,1010.58,26.3,34.24
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,000,10-03-2019,01:00:00,1004.65,0.00,0.0,10.00,0.00,25.5,96,1012.74,24.8,31.25
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,10-03-2019,01:00:00,1009.76,18.20,0.0,6.00,0.00,27.7,91,1010.05,26.0,33.62
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,250,10-03-2019,01:00:00,1007.61,0.00,5.6,10.00,0.00,28.0,88,1010.75,25.9,33.37
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,000,10-03-2019,01:00:00,1003.81,0.01,0.0,10.00,0.00,27.5,90,1010.76,25.8,33.21
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,000,10-03-2019,01:00:00,1005.69,2.70,0.0,7.00,0.00,26.5,88,1011.32,24.3,30.43
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,10-03-2019,01:00:00,1009.94,0.00,0.0,8.00,0.00,27.1,91,1011.21,25.5,32.69
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,240,10-03-2019,01:00:00,1009.90,0.00,5.6,11.00,0.00,28.1,77,1010.33,23.6,29.11
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,000,10-03-2019,01:00:00,998.65,0.00,0.0,10.00,0.00,24.9,92,1011.04,23.6,29.08
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,000,10-03-2019,01:00:00,1010.01,0.00,0.0,10.00,0.00,27.1,84,1010.73,24.1,29.93
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,180,10-03-2019,01:00:00,1009.18,0.00,11.1,10.00,0.00,27.3,87,1011.62,24.9,31.41
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,000,10-03-2019,01:00:00,1010.53,0.00,0.0,8.00,0.00,28.0,88,1011.05,25.9,33.37
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,000,10-03-2019,01:00:00,1005.67,78.40,0.0,8.00,0.01,27.7,89,1010.83,25.7,33.05
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,000,10-03-2019,01:00:00,1010.90,0.00,0.0,7.00,0.00,26.9,90,1011.31,25.2,32.02
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,000,10-03-2019,01:00:00,1008.54,0.30,0.0,8.00,0.00,26.5,90,1011.33,24.8,31.24
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,000,10-03-2019,01:00:00,1010.09,0.00,0.0,10.00,0.00,26.6,86,1010.88,24.0,29.80
48501,TRAD,ตราด,ตราด,11.76667,102.88333,000,10-03-2019,01:00:00,1011.02,22.40,0.0,6.00,0.00,26.3,94,1011.48,25.3,32.23
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,000,10-03-2019,01:00:00,1010.43,0.01,0.0,8.00,0.00,25.4,92,1011.11,24.1,29.99
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,000,10-03-2019,01:00:00,1010.34,0.20,0.0,8.00,0.00,25.2,93,1011.88,24.0,29.89
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,000,10-03-2019,01:00:00,1010.44,0.10,0.0,10.00,0.10,26.0,92,1011.36,24.6,30.84
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,000,10-03-2019,01:00:00,1010.82,0.00,0.0,10.00,0.00,27.7,79,1011.51,23.8,29.44
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,000,10-03-2019,01:00:00,1011.04,0.00,0.0,8.00,0.00,24.0,96,1011.85,23.3,28.53
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,000,10-03-2019,01:00:00,1010.49,0.00,0.0,10.00,0.00,24.4,92,1011.14,23.1,28.20
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,000,10-03-2019,01:00:00,1011.32,0.00,0.0,10.00,0.00,24.0,96,1011.73,23.3,28.53
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,000,10-03-2019,01:00:00,1009.06,0.90,0.0,6.00,0.00,23.6,96,1013.34,23.0,28.09
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,000,10-03-2019,01:00:00,1010.55,0.80,0.0,10.00,0.00,23.3,98,1012.18,23.0,28.08
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,000,10-03-2019,01:00:00,1008.62,0.30,0.0,7.00,0.00,23.5,96,1012.15,22.8,27.66
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,260,10-03-2019,01:00:00,1010.00,0.00,3.7,8.00,0.00,24.2,95,1011.37,23.3,28.62
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,000,10-03-2019,01:00:00,1010.50,2.40,0.0,10.00,1.50,25.3,97,1011.39,24.9,31.41
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,000,10-03-2019,01:00:00,1008.46,5.90,0.0,10.00,0.00,24.0,97,1012.07,23.4,28.78
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,000,10-03-2019,01:00:00,1010.73,3.20,0.0,10.00,0.00,27.0,88,1011.16,24.8,31.38
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,000,10-03-2019,01:00:00,1010.09,0.60,0.0,9.00,0.30,25.5,95,1011.09,24.6,30.98
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,000,10-03-2019,01:00:00,1011.05,19.40,0.0,10.00,0.00,24.6,95,1011.88,23.7,29.33
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,000,10-03-2019,01:00:00,1010.01,2.70,0.0,5.00,0.00,23.9,97,1011.85,23.5,28.86
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,200,10-03-2019,01:00:00,1010.91,0.00,1.9,10.00,0.00,25.6,83,1011.67,22.5,27.21
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,000,10-03-2019,01:00:00,1007.60,5.60,0.0,10.00,0.00,23.3,98,1011.66,23.0,28.08
48570,SATUN,สตูล,สตูล,6.65000,100.08333,000,10-03-2019,01:00:00,1010.83,20.40,0.0,10.00,0.00,24.5,91,1011.52,23.0,28.11
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,000,10-03-2019,01:00:00,1010.25,73.20,0.0,10.00,0.00,23.6,96,1011.38,23.0,28.09
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,000,10-03-2019,01:00:00,1008.67,0.80,0.0,10.00,0.00,25.1,94,1011.63,24.1,29.97
