WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,StationPressure,AirTemperature,Rainfall,WindDirection,DewPoint,LandVisibility,RelativeHumidity,VaporPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1008.64,07-29-2019,22:00:00,0.0,977.76,26.8,0.30,000,24.6,10.00,88,31.00,0.30
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1004.81,07-29-2019,22:00:00,18.5,844.88,20.8,0.00,270,17.9,10.00,83,20.48,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1005.39,07-29-2019,22:00:00,1.9,962.21,28.2,0.00,340,23.1,12.00,74,28.22,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1005.57,07-29-2019,22:00:00,0.0,960.45,27.9,0.00,000,24.1,15.00,80,30.09,0.01
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1006.58,07-29-2019,22:00:00,0.0,969.05,26.4,0.00,000,23.6,8.00,85,29.17,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1005.64,07-29-2019,22:00:00,3.7,961.14,29.2,0.00,070,24.0,8.00,74,29.85,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1006.64,07-29-2019,22:00:00,0.0,980.13,28.4,0.00,000,26.3,9.00,88,34.19,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.12,07-29-2019,22:00:00,5.6,986.44,27.8,0.00,210,21.7,12.00,69,25.92,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1010.75,07-29-2019,22:00:00,0.0,986.45,25.0,1.00,000,24.3,6.00,96,30.32,6.60
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.07,07-29-2019,22:00:00,11.1,972.91,29.2,0.00,020,21.1,10.00,62,25.03,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1007.38,07-29-2019,22:00:00,0.0,980.14,29.6,0.00,000,22.1,10.00,64,26.54,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.25,07-29-2019,22:00:00,11.1,973.94,28.5,0.00,240,21.0,10.00,64,24.83,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1006.70,07-29-2019,22:00:00,9.3,988.32,28.5,0.00,270,23.4,10.00,74,28.78,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1005.89,07-29-2019,22:00:00,0.0,983.31,29.4,0.00,000,26.9,10.00,86,35.43,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1006.14,07-29-2019,22:00:00,0.0,976.43,27.8,0.00,000,23.7,10.00,79,29.36,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1007.07,07-29-2019,22:00:00,0.0,971.80,28.2,0.00,000,24.3,8.00,80,30.40,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1005.84,07-29-2019,22:00:00,0.0,976.33,28.0,0.00,000,23.6,12.00,77,29.19,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1007.02,07-29-2019,22:00:00,0.0,999.75,28.8,0.00,000,23.9,10.00,75,29.63,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1006.98,07-29-2019,22:00:00,5.6,987.11,27.3,0.20,210,25.4,5.00,90,32.53,0.20
48353,LOEI,เลย,เลย,17.45000,101.73333,1005.80,07-29-2019,22:00:00,3.7,977.41,29.0,0.00,030,23.9,13.00,74,29.74,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1006.96,07-29-2019,22:00:00,5.6,986.74,26.0,1.10,160,24.8,10.00,93,31.38,5.10
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1007.34,07-29-2019,22:00:00,3.7,985.55,26.0,0.00,180,23.4,12.00,85,28.70,1.50
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1006.90,07-29-2019,22:00:00,7.4,987.38,26.2,0.00,180,23.7,12.00,86,29.33,0.90
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1007.39,07-29-2019,22:00:00,0.0,990.64,26.9,0.00,000,24.3,12.00,86,30.37,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1007.60,07-29-2019,22:00:00,0.0,990.11,25.7,0.00,000,24.7,10.00,94,31.08,1.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1005.92,07-29-2019,22:00:00,0.0,980.09,25.8,0.00,000,24.6,10.00,93,31.00,27.40
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1007.16,07-29-2019,22:00:00,5.6,1001.38,27.5,0.10,260,23.4,10.00,78,28.80,0.80
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1006.54,07-29-2019,22:00:00,0.0,1000.33,26.0,0.10,000,24.6,10.00,92,30.84,1.60
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1007.76,07-29-2019,22:00:00,0.0,991.40,28.6,0.00,000,23.4,8.00,73,28.70,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.05,07-29-2019,22:00:00,0.0,987.48,24.4,0.70,000,22.6,8.00,90,27.43,1.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.43,07-29-2019,22:00:00,13.0,995.06,28.0,0.00,270,22.1,7.00,70,26.54,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1008.16,07-29-2019,22:00:00,16.7,991.84,28.5,0.00,120,22.3,7.00,69,26.91,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1008.10,07-29-2019,22:00:00,0.0,1002.85,26.0,11.20,000,24.8,10.00,93,31.38,11.60
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1005.87,07-29-2019,22:00:00,0.0,992.78,29.1,0.00,000,23.3,10.00,71,28.56,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1008.00,07-29-2019,22:00:00,0.0,998.73,28.7,0.00,000,21.7,10.00,66,25.96,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1007.01,07-29-2019,22:00:00,0.0,985.32,26.9,0.00,000,25.5,10.00,92,32.58,0.40
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1006.95,07-29-2019,22:00:00,0.0,989.45,27.0,0.00,000,23.3,20.00,80,28.67,5.20
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1006.92,07-29-2019,22:00:00,3.7,990.98,25.0,0.00,250,23.5,10.00,92,29.00,5.60
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1005.95,07-29-2019,22:00:00,0.0,987.05,26.4,0.10,000,26.4,8.00,100,34.40,13.60
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1009.45,07-29-2019,22:00:00,0.0,957.79,23.8,0.00,000,21.8,7.00,89,26.17,12.30
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1007.40,07-29-2019,22:00:00,0.0,1003.45,28.1,0.00,000,25.3,8.00,85,32.15,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1010.79,07-29-2019,22:00:00,14.8,915.00,20.4,0.20,310,20.1,.50,98,23.49,2.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1007.43,07-29-2019,22:00:00,0.0,991.34,25.2,2.20,000,24.9,6.00,98,31.49,56.90
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1008.07,07-29-2019,22:00:00,0.0,1004.05,28.3,0.00,000,24.7,10.00,81,31.14,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1009.23,07-29-2019,22:00:00,0.0,998.55,27.5,0.00,000,23.9,5.00,81,29.60,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.62,07-29-2019,22:00:00,3.7,1006.69,28.4,0.00,180,24.4,7.00,79,30.51,0.20
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1007.36,07-29-2019,22:00:00,5.6,986.67,29.6,0.00,230,21.7,10.00,63,26.01,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1007.35,07-29-2019,22:00:00,11.1,989.57,25.1,2.50,180,24.2,9.00,95,30.23,9.40
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1005.90,07-29-2019,22:00:00,9.3,989.65,25.0,2.30,150,24.3,8.00,96,30.32,18.60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1008.34,07-29-2019,22:00:00,7.4,994.14,23.8,40.70,300,23.1,9.00,96,28.18,42.70
