WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,MaximumTemperature,StationPressure,MeanSeaLevelPressure,LandVisibility,AirTemperature,RelativeHumidity,WindSpeed,DewPoint,WindDirection,Rainfall24Hr,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.09,09-27-2019,19:00:00,27.8,982.33,1013.49,10.00,25.6,92,0.0,24.1,000,31.30,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.10,09-27-2019,19:00:00,20.0,850.33,1013.36,8.00,17.3,92,7.4,15.9,120,0.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.70,09-27-2019,19:00:00,28.7,970.11,1013.94,10.00,26.2,73,0.0,20.9,000,0.01,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.93,09-27-2019,19:00:00,28.4,968.03,1013.96,10.00,25.0,82,0.0,21.7,000,3.40,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,28.48,09-27-2019,19:00:00,29.3,976.37,1014.36,8.00,25.0,90,0.0,23.2,000,2.30,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.96,09-27-2019,19:00:00,28.2,968.82,1014.31,10.00,25.0,88,0.0,22.9,000,4.10,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,29.50,09-27-2019,19:00:00,29.2,987.67,1014.60,9.00,26.0,88,0.0,23.8,000,16.30,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,28.70,09-27-2019,19:00:00,29.7,991.76,1013.68,10.00,26.0,85,0.0,23.4,000,11.70,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.11,09-27-2019,19:00:00,29.0,989.21,1013.40,8.00,27.0,87,0.0,24.7,000,0.30,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,26.65,09-27-2019,19:00:00,30.0,979.34,1014.03,10.00,26.6,77,3.7,22.1,190,14.20,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,26.88,09-27-2019,19:00:00,29.5,986.62,1014.38,10.00,26.0,80,0.0,22.3,000,0.00,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,28.38,09-27-2019,19:00:00,28.7,980.33,1014.28,10.00,24.8,91,0.0,23.2,000,1.80,1.70
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,30.15,09-27-2019,19:00:00,32.5,994.63,1013.18,5.00,27.5,82,3.7,24.2,190,0.00,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.88,09-27-2019,19:00:00,29.0,990.75,1013.76,10.00,26.0,80,0.0,22.3,000,4.50,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,26.84,09-27-2019,19:00:00,28.2,983.83,1014.11,10.00,24.5,87,0.0,22.3,000,7.50,0.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,28.53,09-27-2019,19:00:00,27.6,978.05,1014.06,6.00,24.0,96,0.0,23.3,000,1.20,1.20
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,26.18,09-27-2019,19:00:00,33.0,982.77,1012.79,8.00,25.0,83,0.0,21.8,000,0.00,0.00
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.03,09-27-2019,19:00:00,35.2,1005.78,1013.17,8.00,25.2,84,0.0,22.4,000,0.60,0.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.39,09-27-2019,19:00:00,33.4,993.09,1012.88,5.00,30.3,66,3.7,23.2,020,0.00,0.00
48353,LOEI,เลย,เลย,17.45000,101.73333,23.97,09-27-2019,19:00:00,33.1,984.04,1012.72,8.00,28.0,63,3.7,20.4,090,0.00,0.00
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,24.92,09-27-2019,19:00:00,33.1,992.90,1013.06,6.00,28.7,63,0.0,21.0,000,0.00,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,29.44,09-27-2019,19:00:00,32.6,991.61,1013.41,6.00,27.7,79,0.0,23.8,000,0.00,0.00
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.59,09-27-2019,19:00:00,32.4,993.62,1013.06,11.00,29.3,68,0.0,22.7,000,0.00,0.00
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,21.91,09-27-2019,19:00:00,34.1,997.39,1014.13,10.00,29.0,55,3.7,19.0,090,0.00,0.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,23.38,09-27-2019,19:00:00,32.7,996.65,1014.16,10.00,27.2,65,3.7,20.0,090,0.00,0.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,21.50,09-27-2019,19:00:00,33.0,986.88,1012.69,8.00,28.0,57,0.0,18.7,000,0.00,0.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,31.38,09-27-2019,19:00:00,34.0,1007.28,1013.10,8.00,27.0,88,3.7,24.8,280,0.00,0.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,30.26,09-27-2019,19:00:00,33.5,1006.91,1013.14,6.00,26.7,86,0.0,24.2,000,1.00,0.00
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,27.96,09-27-2019,19:00:00,35.5,996.28,1012.68,10.00,29.5,68,0.0,22.9,000,0.00,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,29.48,09-27-2019,19:00:00,33.6,989.40,1011.92,10.00,25.7,89,0.0,23.8,000,6.60,0.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,31.38,09-27-2019,19:00:00,29.5,999.62,1014.10,8.00,27.0,88,0.0,24.8,000,4.80,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,29.35,09-27-2019,19:00:00,30.0,997.59,1014.11,8.00,26.5,85,0.0,23.7,000,0.00,0.00
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,30.10,09-27-2019,19:00:00,34.3,1007.62,1012.88,10.00,26.9,85,0.0,24.1,000,6.00,2.30
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,28.12,09-27-2019,19:00:00,35.5,997.77,1010.88,10.00,30.3,65,0.0,23.0,000,0.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,29.21,09-27-2019,19:00:00,31.1,1003.84,1013.26,6.00,25.7,89,0.0,23.7,000,5.70,0.00
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,25.45,09-27-2019,19:00:00,34.0,991.37,1013.04,7.00,29.0,64,5.6,21.4,060,0.00,0.00
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,26.48,09-27-2019,19:00:00,33.7,995.04,1012.39,7.00,31.3,58,0.0,22.0,000,0.00,0.00
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.35,09-27-2019,19:00:00,33.8,996.89,1012.68,10.00,29.5,64,5.6,22.0,030,0.00,0.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.95,09-27-2019,19:00:00,33.4,993.31,1012.26,8.00,27.5,73,0.0,22.3,000,0.00,0.00
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,26.59,09-27-2019,19:00:00,33.8,962.38,1014.22,8.00,24.2,88,0.0,22.1,000,0.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,28.03,09-27-2019,19:00:00,35.0,1008.48,1012.46,3.00,26.5,81,5.6,23.0,250,0.00,0.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.60,09-27-2019,19:00:00,25.5,918.60,1014.52,3.50,21.1,94,7.4,20.2,050,0.80,0.00
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,28.51,09-27-2019,19:00:00,33.4,997.15,1013.15,8.00,28.5,73,0.0,23.2,000,0.00,0.00
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,27.80,09-27-2019,19:00:00,34.4,1008.41,1012.43,7.00,29.7,67,0.0,22.8,000,0.00,0.00
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.18,09-27-2019,19:00:00,33.8,1002.50,1013.16,8.00,29.3,59,0.0,20.5,000,0.00,0.00
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.31,09-27-2019,19:00:00,34.3,1010.95,1012.87,9.00,30.0,71,0.0,24.3,000,0.00,0.00
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,24.51,09-27-2019,19:00:00,32.7,992.11,1012.94,8.00,29.2,61,0.0,20.8,000,0.00,0.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,33.66,09-27-2019,19:00:00,32.0,994.90,1012.60,10.00,28.0,89,0.0,26.0,000,0.00,0.00
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,26.60,09-27-2019,19:00:00,33.7,996.29,1012.42,10.00,29.2,66,0.0,22.1,000,0.00,0.00
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.77,09-27-2019,19:00:00,33.3,998.43,1012.42,10.00,29.4,68,7.4,22.8,020,0.00,0.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,27.03,09-27-2019,19:00:00,33.5,998.17,1012.99,10.00,29.0,68,0.0,22.4,000,0.00,0.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,30.95,09-27-2019,19:00:00,32.5,997.96,1012.57,10.00,29.9,73,3.7,24.6,350,0.00,0.00
