WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,StationPressure,MeanSeaLevelPressure,DewPoint,LandVisibility,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,WindSpeed
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,26.0,10-12-2019,01:00:00,0.00,994.38,1010.93,24.1,8.00,30.03,000,9.80,89,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,25.0,10-12-2019,01:00:00,0.00,986.29,1008.79,22.8,10.00,27.70,000,0.00,88,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,25.3,10-12-2019,01:00:00,0.00,995.81,1010.32,24.1,10.00,30.07,000,0.00,93,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,24.5,10-12-2019,01:00:00,0.00,993.11,1009.67,23.8,7.00,29.41,000,0.80,96,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.9,10-12-2019,01:00:00,0.00,1004.36,1009.60,25.0,10.00,31.74,000,0.00,90,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.5,10-12-2019,01:00:00,0.00,995.44,1008.68,25.1,10.00,31.79,000,0.00,92,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.3,10-12-2019,01:00:00,0.00,1000.51,1009.88,24.1,11.00,30.05,000,0.00,88,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.5,10-12-2019,01:00:00,0.00,987.96,1009.67,24.6,8.00,30.97,300,0.00,84,5.6
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,27.5,10-12-2019,01:00:00,0.00,992.50,1010.02,25.5,10.00,32.64,000,0.00,89,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,27.0,10-12-2019,01:00:00,0.00,993.06,1008.92,23.6,10.00,29.21,020,0.00,82,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,26.2,10-12-2019,01:00:00,0.00,989.84,1008.80,24.5,10.00,30.67,000,0.00,90,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.8,10-12-2019,01:00:00,0.00,960.39,1012.36,21.6,6.00,25.76,000,9.40,93,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.9,10-12-2019,01:00:00,0.00,1005.19,1009.16,25.6,7.00,32.86,000,0.00,93,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,19.4,10-12-2019,01:00:00,0.00,915.57,1011.76,18.6,5.00,21.41,000,0.00,95,0.0
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.7,10-12-2019,01:00:00,0.00,993.56,1009.60,25.7,7.00,33.02,000,0.00,94,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,26.8,10-12-2019,01:00:00,0.00,1005.20,1009.25,25.7,8.00,32.94,000,0.00,94,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,25.7,10-12-2019,01:00:00,0.00,999.73,1010.48,24.5,7.00,30.81,000,0.30,93,0.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,27.0,10-12-2019,01:00:00,0.00,1008.13,1010.06,25.0,8.00,31.66,000,0.00,89,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,27.4,10-12-2019,01:00:00,0.00,988.75,1009.64,24.5,10.00,30.78,310,0.00,84,5.6
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,26.2,10-12-2019,01:00:00,0.00,991.68,1009.43,25.2,10.00,32.04,000,0.00,94,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,27.7,10-12-2019,01:00:00,0.00,992.83,1008.98,25.9,10.00,33.33,000,0.00,90,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,27.2,10-12-2019,01:00:00,0.00,995.19,1009.25,25.3,10.00,32.33,000,0.60,90,0.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,25.7,10-12-2019,01:00:00,0.00,995.01,1009.95,24.7,7.00,31.08,000,0.00,94,0.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,26.5,10-12-2019,01:00:00,0.00,994.78,1009.51,26.2,10.00,34.03,000,0.00,98,0.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,27.4,10-12-2019,01:00:00,0.00,1006.04,1009.06,25.7,10.00,33.01,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,90,0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,26.8,10-12-2019,01:00:00,0.00,1001.73,1009.71,25.7,7.00,32.94,000,0.00,94,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,28.1,10-12-2019,01:00:00,0.00,1008.79,1009.90,25.4,6.00,32.43,000,0.00,85,0.0
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,27.2,10-12-2019,01:00:00,0.00,995.12,1009.84,24.8,8.00,31.22,000,0.00,87,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,18.8,10-12-2019,01:00:00,0.00,876.37,1012.37,18.6,8.00,21.46,000,14.60,99,0.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,26.0,10-12-2019,01:00:00,0.00,1003.85,1009.77,25.3,10.00,32.20,000,0.00,96,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,29.4,10-12-2019,01:00:00,0.00,1008.87,1009.66,25.3,8.00,32.22,240,0.00,79,3.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,30.0,10-12-2019,01:00:00,0.00,1008.97,1009.41,25.8,10.00,33.17,140,0.00,78,7.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,26.0,10-12-2019,01:00:00,0.00,999.40,1010.78,24.6,4.00,30.84,000,0.00,92,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,28.4,10-12-2019,01:00:00,0.00,1008.91,1009.92,25.3,7.00,32.19,000,2.50,83,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,27.8,10-12-2019,01:00:00,0.00,1007.69,1009.51,25.4,8.00,32.40,000,0.00,87,0.0
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,26.9,10-12-2019,01:00:00,0.00,1008.08,1008.85,25.2,8.00,32.02,000,5.50,90,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,28.9,10-12-2019,01:00:00,0.00,1008.96,1009.66,25.5,9.00,32.63,200,1.60,82,5.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,28.0,10-12-2019,01:00:00,0.00,1008.92,1009.62,26.0,7.00,33.66,000,0.00,89,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,26.5,10-12-2019,01:00:00,0.00,988.61,1009.85,24.6,9.00,30.97,000,0.00,89,0.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,26.5,10-12-2019,01:00:00,0.00,992.82,1009.61,25.1,7.00,31.79,000,0.00,92,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,26.2,10-12-2019,01:00:00,0.00,993.39,1009.91,24.9,6.00,31.49,000,0.00,93,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,26.2,10-12-2019,01:00:00,0.00,987.95,1009.93,24.5,10.00,30.67,000,0.00,90,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.7,10-12-2019,01:00:00,0.00,966.76,1010.77,21.9,8.00,26.33,000,0.00,96,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,26.0,10-12-2019,01:00:00,0.00,989.13,1009.81,25.3,8.00,32.20,000,0.00,96,0.0
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,26.1,10-12-2019,01:00:00,0.00,990.08,1011.04,25.8,8.00,33.23,210,0.00,98,5.6
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,28.2,10-12-2019,01:00:00,0.00,1009.49,1009.93,25.1,10.00,31.79,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",1.20,83,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,26.3,10-12-2019,01:00:00,0.20,1007.79,1009.21,24.9,6.00,31.41,000,0.20,92,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.7,10-12-2019,01:00:00,0.00,1005.07,1010.03,24.4,7.00,30.54,000,0.00,93,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,26.0,10-12-2019,01:00:00,0.01,1006.73,1010.05,23.2,10.00,28.44,000,5.30,85,0.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,26.5,10-12-2019,01:00:00,0.00,1008.48,1009.59,25.1,10.00,31.79,000,0.00,92,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.6,10-12-2019,01:00:00,0.00,1009.09,1009.39,25.2,10.00,32.02,000,3.30,82,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,29.0,10-12-2019,01:00:00,0.00,1008.90,1009.39,24.7,10.00,31.13,000,25.40,78,0.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.9,10-12-2019,01:00:00,0.00,1008.69,1010.10,24.5,10.00,30.65,200,0.01,77,5.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,26.0,10-12-2019,01:00:00,0.00,1003.40,1011.46,25.3,10.00,32.20,000,0.00,96,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,28.2,10-12-2019,01:00:00,0.00,1009.09,1009.37,26.1,8.00,33.78,000,0.00,88,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,28.5,10-12-2019,01:00:00,0.00,1006.32,1009.44,24.6,10.00,30.98,000,0.00,80,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,28.0,10-12-2019,01:00:00,0.00,1002.74,1009.68,25.7,10.00,33.08,000,0.00,88,0.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,27.3,10-12-2019,01:00:00,0.00,1003.89,1009.49,24.9,10.00,31.41,000,0.00,87,0.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,26.3,10-12-2019,01:00:00,0.00,1009.34,1010.61,23.8,10.00,29.52,330,1.10,86,1.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,27.5,10-12-2019,01:00:00,0.00,1009.16,1009.59,24.6,11.00,30.97,000,0.00,84,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,24.7,10-12-2019,01:00:00,0.00,997.81,1010.20,23.7,8.00,29.25,000,0.00,94,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,27.2,10-12-2019,01:00:00,0.00,1008.82,1009.54,24.9,10.00,31.49,000,0.00,87,0.0
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,26.3,10-12-2019,01:00:00,0.00,1007.31,1009.76,25.0,7.00,31.68,360,11.80,93,5.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,28.0,10-12-2019,01:00:00,0.00,1009.08,1009.60,25.6,10.00,32.80,090,0.00,87,3.7
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,26.9,10-12-2019,01:00:00,0.00,1004.28,1009.45,25.3,8.00,32.30,040,0.10,91,1.9
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.2,10-12-2019,01:00:00,0.00,1009.31,1009.72,24.3,7.00,30.39,000,0.00,84,0.0
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,26.5,10-12-2019,01:00:00,0.00,1006.84,1009.62,24.3,8.00,30.43,000,0.00,88,0.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,26.5,10-12-2019,01:00:00,0.00,1008.69,1009.47,24.3,10.00,30.43,000,0.00,88,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,26.5,10-12-2019,01:00:00,0.90,1008.66,1009.12,25.1,7.00,31.79,140,0.90,92,5.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,25.4,10-12-2019,01:00:00,0.00,1009.10,1009.79,24.1,8.00,29.99,000,0.00,92,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,25.2,10-12-2019,01:00:00,0.00,1008.42,1009.96,24.3,6.00,30.42,000,0.00,95,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.8,10-12-2019,01:00:00,0.00,1009.47,1010.39,23.6,10.00,29.16,000,19.50,93,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.1,10-12-2019,01:00:00,0.00,1009.46,1010.15,24.8,10.00,31.30,300,0.00,93,5.6
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,24.6,10-12-2019,01:00:00,0.00,1006.85,1007.65,24.2,7.00,30.12,000,0.00,97,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,25.8,10-12-2019,01:00:00,0.00,1009.17,1009.80,24.3,10.00,30.46,000,0.00,92,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,25.5,10-12-2019,01:00:00,0.00,1009.37,1009.78,24.9,10.00,31.52,000,0.00,97,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,24.5,10-12-2019,01:00:00,0.00,1008.00,1012.27,23.8,5.00,29.41,000,0.00,96,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,23.7,10-12-2019,01:00:00,0.00,1008.63,1010.26,23.4,8.00,28.77,000,0.40,98,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.5,10-12-2019,01:00:00,0.00,1006.61,1010.13,23.9,6.00,29.67,000,8.80,97,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,24.8,10-12-2019,01:00:00,0.00,1008.38,1009.75,24.5,7.00,30.75,000,6.00,98,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,26.0,10-12-2019,01:00:00,0.00,1008.88,1009.77,24.6,10.00,30.84,000,0.30,92,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.5,10-12-2019,01:00:00,0.00,1006.54,1010.14,23.8,10.00,29.41,000,0.00,96,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,26.5,10-12-2019,01:00:00,0.80,1009.55,1009.99,24.6,10.00,30.97,000,3.80,89,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,26.4,10-12-2019,01:00:00,1.00,1008.62,1009.62,24.5,9.00,30.78,000,1.00,89,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.1,10-12-2019,01:00:00,0.00,1008.94,1009.76,24.2,10.00,30.23,090,0.00,95,9.3
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,24.6,10-12-2019,01:00:00,0.00,1007.93,1009.77,24.0,5.00,29.85,000,39.10,97,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,25.0,10-12-2019,01:00:00,0.00,1009.36,1010.11,22.9,10.00,27.96,170,0.00,88,5.6
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.4,10-12-2019,01:00:00,0.00,1005.99,1010.05,23.2,10.00,28.51,990,22.60,99,3.7
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.5,10-12-2019,01:00:00,0.00,1009.12,1009.81,23.0,10.00,28.11,000,3.80,91,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,24.4,10-12-2019,01:00:00,0.00,1008.74,1009.87,23.7,10.00,29.23,000,0.40,96,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.5,10-12-2019,01:00:00,0.00,1007.19,1010.14,23.8,10.00,29.41,000,0.00,96,0.0
