WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,StationPressure,MeanSeaLevelPressure,DewPoint,LandVisibility,VaporPressure,WindDirection,Rainfall24Hr,RelativeHumidity,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.0,10-12-2019,01:00:00,0.00,979.13,1010.25,23.1,8.00,28.22,000,0.40,89,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.4,10-12-2019,01:00:00,0.00,847.23,1009.01,17.6,8.00,20.08,130,2.40,95,7.4
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,24.4,10-12-2019,01:00:00,0.00,965.75,1009.65,22.3,10.00,26.93,140,35.60,88,3.7
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,23.6,10-12-2019,01:00:00,0.00,963.99,1009.94,22.1,12.00,26.58,000,0.40,91,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,23.0,10-12-2019,01:00:00,0.00,973.25,1011.39,22.7,6.00,27.57,000,0.00,98,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,23.0,10-12-2019,01:00:00,0.00,964.95,1010.57,21.6,6.00,25.84,000,0.00,92,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.8,10-12-2019,01:00:00,0.00,984.27,1011.31,23.1,5.00,28.18,000,0.00,96,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,24.5,10-12-2019,01:00:00,0.00,988.12,1010.07,23.9,11.00,29.67,000,4.70,97,0.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,24.5,10-12-2019,01:00:00,0.00,985.66,1009.97,23.8,6.00,29.41,000,2.00,96,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.6,10-12-2019,01:00:00,0.00,973.73,1008.33,22.3,10.00,26.96,000,0.40,82,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.6,10-12-2019,01:00:00,0.00,982.50,1010.17,24.0,10.00,29.82,000,0.00,91,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,25.0,10-12-2019,01:00:00,0.00,976.13,1009.91,23.8,10.00,29.52,000,0.00,93,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,24.5,10-12-2019,01:00:00,0.00,991.38,1010.07,23.8,10.00,29.41,120,4.10,96,1.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,24.8,10-12-2019,01:00:00,0.00,987.48,1010.50,23.2,10.00,28.38,000,0.00,91,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.2,10-12-2019,01:00:00,0.00,980.59,1010.79,23.2,5.00,28.36,000,0.00,94,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,24.2,10-12-2019,01:00:00,0.00,974.41,1010.25,23.0,7.00,28.10,000,0.00,93,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,24.2,10-12-2019,01:00:00,0.00,979.92,1009.92,22.7,10.00,27.60,000,0.00,91,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.5,10-12-2019,01:00:00,0.00,1002.17,1009.50,24.5,8.00,30.70,000,31.30,89,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.4,10-12-2019,01:00:00,0.00,989.69,1009.53,25.4,5.00,32.47,060,0.00,84,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,25.0,10-12-2019,01:00:00,0.00,981.21,1010.10,23.1,10.00,28.22,000,0.01,89,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,26.5,10-12-2019,01:00:00,0.00,989.11,1009.34,23.9,12.00,29.62,000,0.00,86,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,24.1,10-12-2019,01:00:00,0.00,988.54,1010.54,22.9,10.00,27.93,000,0.00,93,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,26.0,10-12-2019,01:00:00,0.00,990.24,1009.84,23.4,10.00,28.70,180,0.00,85,3.7
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,26.2,10-12-2019,01:00:00,0.00,993.54,1010.37,22.2,12.00,26.72,000,0.00,79,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,24.5,10-12-2019,01:00:00,0.00,993.15,1010.75,22.6,10.00,27.35,000,0.00,89,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.9,10-12-2019,01:00:00,0.00,983.71,1009.54,25.2,8.00,32.02,000,0.00,90,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,27.4,10-12-2019,01:00:00,0.00,1003.77,1009.56,26.8,10.00,35.31,000,0.00,97,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.5,10-12-2019,01:00:00,0.00,1003.21,1009.43,25.2,7.00,32.07,000,0.00,93,0.0
