WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,VaporPressure,Date,Time,DewPoint,Rainfall,RelativeHumidity,Rainfall24Hr,WindSpeed,MeanSeaLevelPressure,StationPressure,LandVisibility,WindDirection,AirTemperature
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,31.88,09-16-2019,01:00:00,25.1,0.00,93,29.80,0.0,1007.23,1002.00,10.00,000,26.4
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,29.00,09-16-2019,01:00:00,23.5,0.00,92,1.40,0.0,1006.22,992.95,10.00,000,25.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,32.15,09-16-2019,01:00:00,25.3,0.00,85,0.00,0.0,1007.12,997.83,10.00,000,28.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,30.97,09-16-2019,01:00:00,24.6,0.00,89,0.00,0.0,1007.57,985.85,8.00,000,26.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,33.19,09-16-2019,01:00:00,25.8,0.00,96,0.00,0.0,1006.16,988.64,{'@attributes': {'Unit': 'km'}},000,26.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,31.79,09-16-2019,01:00:00,25.1,0.00,92,0.00,0.0,1006.47,990.62,10.00,000,26.5
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,31.00,09-16-2019,01:00:00,24.6,0.00,93,0.00,0.0,1006.53,987.59,8.00,000,25.8
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,25.05,09-16-2019,01:00:00,21.1,0.00,94,0.00,0.0,1009.87,957.91,6.00,000,22.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,30.56,09-16-2019,01:00:00,24.4,0.00,86,1.70,3.7,1007.00,1003.04,6.00,260,27.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,23.83,09-16-2019,01:00:00,20.3,0.00,95,2.10,0.0,1008.94,913.54,4.00,000,21.1
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,33.59,09-16-2019,01:00:00,26.0,0.00,96,0.00,0.0,1007.38,991.38,7.00,000,26.7
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,31.97,09-16-2019,01:00:00,25.2,0.00,88,0.00,0.0,1007.39,1003.36,10.00,000,27.3
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,30.03,09-16-2019,01:00:00,24.1,0.00,89,1.40,0.0,1008.07,997.35,7.00,000,26.0
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,30.46,09-16-2019,01:00:00,24.3,0.00,92,18.10,0.0,1007.38,1005.44,8.00,000,25.8
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,29.95,09-16-2019,01:00:00,24.1,0.00,89,0.00,0.0,1007.53,986.60,10.00,000,26.1
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.35,09-16-2019,01:00:00,25.4,0.00,93,0.00,0.0,1006.71,989.03,10.00,000,26.5
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,34.03,09-16-2019,01:00:00,26.2,0.00,94,0.00,0.0,1006.83,990.69,10.00,000,27.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,29.75,09-16-2019,01:00:00,24.0,0.00,83,1.10,5.6,1006.85,992.82,10.00,230,27.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,31.55,09-16-2019,01:00:00,24.9,0.00,95,0.80,0.0,1007.52,992.63,8.00,000,25.8
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,33.43,09-16-2019,01:00:00,25.9,0.00,98,0.00,0.0,1008.06,993.33,6.00,000,26.2
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,32.36,09-16-2019,01:00:00,25.4,0.00,88,3.50,0.0,1007.30,1004.29,10.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",27.5
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,30.97,09-16-2019,01:00:00,24.6,0.00,84,2.50,0.0,1006.94,999.00,7.00,000,27.5
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,32.93,09-16-2019,01:00:00,25.7,0.00,90,4.40,0.0,1007.24,1006.14,8.00,000,27.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,34.19,09-16-2019,01:00:00,26.3,0.00,96,1.50,0.0,1007.51,992.82,8.00,000,27.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,21.25,09-16-2019,01:00:00,18.5,0.00,98,2.20,1.9,1009.15,873.58,8.00,120,18.8
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,33.26,09-16-2019,01:00:00,25.8,0.00,93,0.00,0.0,1007.10,1001.22,10.00,000,27.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,31.17,09-16-2019,01:00:00,24.7,0.20,95,24.70,0.0,1007.58,1006.77,8.00,000,25.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,31.60,09-16-2019,01:00:00,25.0,12.30,92,12.30,7.4,1007.35,1006.90,10.00,230,26.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,30.23,09-16-2019,01:00:00,24.2,0.00,95,4.30,0.0,1008.40,997.02,4.00,000,25.1
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,31.66,09-16-2019,01:00:00,25.0,0.00,89,0.00,3.7,1007.70,1006.69,10.00,090,27.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,28.10,09-16-2019,01:00:00,23.0,46.50,95,46.90,0.0,1007.27,1005.43,7.00,000,23.9
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,31.82,09-16-2019,01:00:00,25.1,0.00,90,1.20,0.0,1007.09,1006.33,7.00,000,26.8
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,32.41,09-16-2019,01:00:00,25.4,0.40,90,0.40,9.3,1007.66,1006.96,10.00,290,27.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,32.07,09-16-2019,01:00:00,25.2,0.00,93,11.00,0.0,1007.22,1006.52,7.00,000,26.5
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,29.17,09-16-2019,01:00:00,23.6,0.00,85,0.00,0.0,1007.41,986.21,10.00,000,26.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,29.91,09-16-2019,01:00:00,24.0,0.20,92,0.70,0.0,1007.23,990.43,6.00,000,25.5
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,30.15,09-16-2019,01:00:00,24.2,0.00,94,0.20,0.0,1008.11,991.56,7.00,000,25.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,28.72,09-16-2019,01:00:00,23.4,0.00,84,0.00,0.0,1007.10,985.19,10.00,000,26.3
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,27.25,09-16-2019,01:00:00,22.5,0.00,91,0.60,0.0,1007.87,964.17,10.00,000,24.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,30.15,09-16-2019,01:00:00,24.2,0.00,94,0.40,0.0,1007.17,986.49,8.00,000,25.2
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,31.66,09-16-2019,01:00:00,25.0,0.00,100,2.20,5.6,1008.95,987.96,7.00,180,25.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,32.77,09-16-2019,01:00:00,25.6,0.00,92,0.00,3.7,1007.66,1007.22,10.00,050,27.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,31.25,09-16-2019,01:00:00,24.8,0.00,96,11.50,0.0,1006.95,1005.52,6.00,000,25.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,32.45,09-16-2019,01:00:00,25.4,0.00,98,4.20,0.0,1006.81,1001.86,7.00,000,25.7
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,30.02,09-16-2019,01:00:00,24.1,0.00,84,20.90,0.0,1007.42,1004.12,10.00,000,27.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,34.03,09-16-2019,01:00:00,26.2,0.00,94,1.00,0.0,1006.70,1005.60,10.00,000,27.2
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,28.54,09-16-2019,01:00:00,23.3,3.20,84,3.20,5.6,1008.12,1007.82,10.00,220,26.2
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,31.13,09-16-2019,01:00:00,24.7,0.00,78,0.00,0.0,1009.39,1008.90,10.00,000,29.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,28.93,09-16-2019,01:00:00,23.5,30.00,89,30.00,13.0,1007.46,1006.04,9.00,240,25.4
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,29.93,09-16-2019,01:00:00,24.1,0.00,97,36.90,0.0,1008.70,1000.62,10.00,000,24.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,33.75,09-16-2019,01:00:00,26.1,7.80,98,43.20,0.0,1007.13,1006.84,8.00,000,26.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,32.12,09-16-2019,01:00:00,25.2,0.00,86,35.00,0.0,1006.84,1003.71,10.00,000,27.8
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,30.97,09-16-2019,01:00:00,24.6,0.00,84,0.50,5.6,1007.14,1000.22,10.00,240,27.5
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,30.97,09-16-2019,01:00:00,24.6,0.00,89,2.30,0.0,1006.98,1001.37,9.00,000,26.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.50,09-16-2019,01:00:00,23.8,0.00,88,0.00,3.7,1008.03,1006.76,10.00,360,26.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,28.94,09-16-2019,01:00:00,23.5,0.00,81,2.30,11.1,1006.89,1006.45,11.00,300,27.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.04,09-16-2019,01:00:00,22.4,0.00,83,0.01,0.0,1007.39,995.06,8.00,000,25.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,28.55,09-16-2019,01:00:00,23.3,0.00,83,0.00,0.0,1007.02,1006.31,10.00,000,26.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,31.05,09-16-2019,01:00:00,24.7,0.00,90,40.40,0.0,1005.98,1003.54,10.00,000,26.4
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,30.71,09-16-2019,01:00:00,24.5,0.00,94,51.40,3.7,1006.87,1006.35,10.00,010,25.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,29.93,09-16-2019,01:00:00,24.1,0.01,90,11.20,0.0,1007.01,1001.84,7.00,000,25.8
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,31.22,09-16-2019,01:00:00,24.8,0.40,97,69.80,0.0,1006.52,1006.11,7.00,000,25.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,29.30,09-16-2019,01:00:00,23.7,3.30,98,414.30,0.0,1006.52,1003.73,8.00,000,24.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,27.08,09-16-2019,01:00:00,22.4,0.00,77,0.60,9.3,1007.73,1006.94,10.00,250,26.7
48501,TRAD,ตราด,ตราด,11.76667,102.88333,31.25,09-16-2019,01:00:00,24.8,50.00,96,185.00,11.1,1006.50,1006.04,3.00,270,25.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,28.13,09-16-2019,01:00:00,23.0,0.00,90,40.20,5.6,1008.94,1008.25,8.00,270,24.8
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.76,09-16-2019,01:00:00,22.8,0.00,93,25.00,0.0,1009.41,1007.86,7.00,000,24.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,29.33,09-16-2019,01:00:00,23.7,5.90,95,103.80,5.6,1009.87,1008.95,6.00,210,24.6
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,30.69,09-16-2019,01:00:00,24.5,1.00,96,3.00,7.4,1009.08,1008.39,7.00,280,25.2
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,29.57,09-16-2019,01:00:00,23.9,1.80,97,4.20,0.0,1009.77,1008.97,8.00,000,24.3
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,30.34,09-16-2019,01:00:00,24.3,0.50,94,2.50,0.0,1008.49,1007.85,9.00,000,25.3
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,30.22,09-16-2019,01:00:00,24.2,0.00,97,1.10,0.0,1008.77,1008.36,10.00,000,24.8
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,29.66,09-16-2019,01:00:00,23.9,1.50,98,3.30,0.0,1011.39,1007.12,5.00,000,24.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,29.31,09-16-2019,01:00:00,23.7,2.00,97,2.60,0.0,1009.56,1007.93,10.00,000,24.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,29.31,09-16-2019,01:00:00,23.7,1.20,97,1.60,0.0,1009.65,1006.13,6.00,000,24.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,29.39,09-16-2019,01:00:00,23.8,0.00,97,5.40,0.0,1008.80,1007.43,7.00,000,24.2
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,29.30,09-16-2019,01:00:00,23.7,9.80,98,30.80,33.3,1011.24,1010.35,5.00,240,24.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,30.93,09-16-2019,01:00:00,24.6,1.80,98,3.80,7.4,1010.01,1006.41,8.00,310,24.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,30.20,09-16-2019,01:00:00,24.2,0.01,79,2.60,9.3,1009.43,1008.99,9.00,290,28.1
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,32.92,09-16-2019,01:00:00,25.6,0.10,86,2.50,5.6,1009.41,1008.42,10.00,230,28.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,33.24,09-16-2019,01:00:00,25.8,0.00,85,10.20,13.0,1009.98,1009.16,10.00,320,28.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,30.32,09-16-2019,01:00:00,24.3,0.00,96,8.80,0.0,1008.96,1007.13,10.00,000,25.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,28.88,09-16-2019,01:00:00,23.5,0.00,96,15.20,5.6,1008.70,1007.94,10.00,270,24.2
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,29.12,09-16-2019,01:00:00,23.6,0.20,98,6.00,5.6,1009.21,1005.17,10.00,270,23.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,30.48,09-16-2019,01:00:00,24.4,0.00,97,3.90,0.0,1009.80,1009.11,10.00,000,24.8
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,28.52,09-16-2019,01:00:00,23.3,0.20,97,22.40,0.0,1009.07,1007.95,10.00,000,23.7
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,29.04,09-16-2019,01:00:00,23.6,0.30,97,2.70,0.0,1009.39,1006.43,10.00,000,24.0
