WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,VaporPressure,WindSpeed,Rainfall24Hr,AirTemperature,MeanSeaLevelPressure,WindDirection,StationPressure,LandVisibility,Rainfall,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,22.5,09-25-2019,01:00:00,27.25,0.0,0.00,24.0,1015.03,000,983.66,10.00,0.00,91
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,14.2,09-25-2019,01:00:00,16.16,22.2,0.00,18.7,1014.46,180,851.95,8.00,0.00,75
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,20.0,09-25-2019,01:00:00,23.40,0.0,0.00,22.2,1015.92,000,971.42,10.00,0.00,87
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,19.4,09-25-2019,01:00:00,22.54,0.0,0.00,21.0,1016.53,000,969.88,12.00,0.00,91
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,20.5,09-25-2019,01:00:00,24.17,0.0,0.00,22.4,1016.03,000,977.64,5.00,0.00,89
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,22.0,09-25-2019,01:00:00,26.42,0.0,0.00,23.5,1015.90,000,970.11,8.00,0.00,91
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,22.5,09-25-2019,01:00:00,27.25,0.0,0.00,24.0,1016.33,000,989.17,7.00,0.00,91
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,23.4,09-25-2019,01:00:00,28.79,0.0,0.00,24.3,1014.69,000,992.62,6.00,0.00,95
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,22.8,09-25-2019,01:00:00,27.76,0.0,0.00,24.0,1015.28,000,990.80,6.00,0.00,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,23.1,09-25-2019,01:00:00,28.18,0.0,0.50,26.0,1015.38,000,980.58,10.00,0.00,84
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,23.7,09-25-2019,01:00:00,29.36,0.0,0.50,25.2,1016.09,000,988.22,10.00,0.50,92
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.3,09-25-2019,01:00:00,30.38,0.0,0.00,25.9,1014.12,000,980.30,10.00,0.00,91
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,22.9,09-25-2019,01:00:00,27.85,0.0,0.00,26.4,1014.31,000,995.66,5.00,0.00,81
48331,NAN,น่าน,น่าน,18.77972,100.77778,23.7,09-25-2019,01:00:00,29.21,0.0,0.00,25.7,1015.24,000,992.18,10.00,0.00,89
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,21.7,09-25-2019,01:00:00,26.00,0.0,0.00,23.7,1015.55,000,985.16,8.00,0.00,89
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,23.8,09-25-2019,01:00:00,29.41,0.0,0.00,24.5,1014.30,000,978.35,7.00,0.00,96
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,20.0,09-25-2019,01:00:00,23.39,0.0,0.00,20.8,1014.92,000,984.42,2.00,0.00,95
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,23.1,09-25-2019,01:00:00,28.18,0.0,0.00,26.0,1013.91,000,1006.54,8.00,0.00,84
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,19.6,09-25-2019,01:00:00,22.75,11.1,0.00,25.3,1015.21,100,995.05,5.00,0.00,71
48353,LOEI,เลย,เลย,17.45000,101.73333,21.0,09-25-2019,01:00:00,24.80,0.0,0.00,22.8,1014.98,000,985.74,5.00,0.00,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,19.8,09-25-2019,01:00:00,23.07,5.6,0.00,25.5,1015.22,080,994.80,7.00,0.00,71
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,20.9,09-25-2019,01:00:00,24.72,0.0,0.00,22.6,1016.07,000,993.85,6.00,0.00,90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,20.5,09-25-2019,01:00:00,24.14,3.7,0.00,23.9,1015.08,090,995.25,7.00,0.00,81
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,17.3,09-25-2019,01:00:00,19.74,0.0,0.00,23.6,1015.66,000,998.59,10.00,0.00,68
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,19.5,09-25-2019,01:00:00,22.67,0.0,0.00,21.4,1015.95,000,998.07,10.00,0.00,89
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,23.6,09-25-2019,01:00:00,29.17,7.4,0.00,27.7,1014.54,070,988.65,9.00,0.00,79
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.9,09-25-2019,01:00:00,33.46,0.0,0.01,27.2,1013.74,000,1007.92,10.00,0.01,93
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,25.3,09-25-2019,01:00:00,32.21,0.0,0.00,27.0,1013.51,000,1007.28,12.00,0.00,90
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,20.8,09-25-2019,01:00:00,24.62,0.0,0.00,24.2,1015.48,000,998.75,10.00,0.00,82
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,22.2,09-25-2019,01:00:00,26.75,0.0,0.00,24.0,1013.04,000,990.37,10.00,0.00,90
48376,TAK,ตาก,ตาก,16.87833,99.14333,24.0,09-25-2019,01:00:00,29.79,0.0,3.00,25.0,1015.06,000,1000.47,4.00,0.00,94
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,23.0,09-25-2019,01:00:00,28.11,0.0,0.00,24.5,1014.79,000,998.15,7.00,0.00,91
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,24.5,09-25-2019,01:00:00,30.78,0.0,0.00,26.4,1014.24,000,1008.97,8.00,0.00,89
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,21.4,09-25-2019,01:00:00,25.52,0.0,0.00,25.2,1013.17,000,999.81,10.00,0.00,80
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,24.8,09-25-2019,01:00:00,31.30,0.0,0.00,26.1,1014.21,000,1004.79,6.00,0.00,93
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,21.3,09-25-2019,01:00:00,25.27,3.7,0.00,25.2,1014.75,040,992.77,8.00,0.00,79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,24.1,09-25-2019,01:00:00,30.02,5.6,0.00,27.0,1013.71,060,996.09,.00,0.00,84
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,20.6,09-25-2019,01:00:00,24.21,5.6,0.00,24.7,1014.38,050,998.31,10.00,0.00,78
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,21.8,09-25-2019,01:00:00,26.17,0.0,0.00,24.1,1013.98,000,994.79,7.00,0.00,87
