WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,Rainfall,DewPoint,WindSpeed,RelativeHumidity,MeanSeaLevelPressure,LandVisibility,StationPressure,AirTemperature,WindDirection,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-02-2019,16:00:00,0.00,24.3,0.0,64,1006.75,15.00,976.44,32.0,000,30.36
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-02-2019,16:00:00,0.00,17.9,7.4,69,1005.27,8.00,846.81,24.0,280,20.55
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.20,10-02-2019,16:00:00,0.20,24.3,3.7,65,1006.11,10.00,963.38,31.7,130,30.32
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-02-2019,16:00:00,0.00,23.4,0.0,56,1006.43,15.00,962.07,33.5,000,28.84
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-02-2019,16:00:00,0.00,25.0,0.0,60,1006.74,10.00,970.07,33.7,000,31.59
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-02-2019,16:00:00,0.00,20.6,0.0,46,1006.24,12.00,962.40,34.0,000,24.26
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-02-2019,16:00:00,0.00,25.2,0.0,57,1006.98,10.00,981.02,35.0,000,32.01
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-02-2019,16:00:00,0.00,23.7,11.1,52,1006.57,13.00,985.43,35.1,150,29.26
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-02-2019,16:00:00,0.00,23.4,0.0,56,1007.41,10.00,983.86,33.5,000,28.84
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,12.20,10-02-2019,16:00:00,0.00,21.8,5.6,47,1006.42,10.00,972.90,34.8,210,26.08
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.30,10-02-2019,16:00:00,0.00,23.1,0.0,50,1006.54,10.00,979.80,35.0,000,28.18
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-02-2019,16:00:00,0.00,24.0,0.0,56,1006.33,10.00,973.64,34.1,000,29.79
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-02-2019,16:00:00,0.00,24.1,3.7,54,1006.39,8.00,988.38,34.6,200,29.96
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-02-2019,16:00:00,0.00,23.5,0.0,51,1006.61,10.00,984.44,35.2,000,28.88
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-02-2019,16:00:00,0.00,22.2,0.0,48,1006.67,12.00,977.62,35.0,000,26.75
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.80,10-02-2019,16:00:00,0.00,24.1,0.0,57,1006.20,8.00,971.59,33.8,000,30.04
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-02-2019,16:00:00,0.00,24.6,3.7,52,1005.53,8.00,976.77,35.9,100,30.97
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-02-2019,16:00:00,0.00,23.3,0.0,50,1006.26,8.00,999.16,35.5,000,28.64
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-02-2019,16:00:00,0.00,25.2,3.7,54,1006.45,7.00,987.15,36.0,060,32.10
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,10-02-2019,16:00:00,0.00,21.3,5.6,43,1006.20,5.00,978.43,36.0,060,25.37
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-02-2019,16:00:00,0.00,23.1,3.7,52,1006.82,7.00,987.16,34.5,060,28.30
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-02-2019,16:00:00,0.00,23.9,7.4,57,1007.52,7.00,986.26,33.6,110,29.62
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-02-2019,16:00:00,0.00,22.5,3.7,52,1006.89,8.00,987.84,33.7,060,27.26
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-02-2019,16:00:00,0.00,22.5,5.6,52,1007.72,9.00,991.34,33.7,100,27.26
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-02-2019,16:00:00,0.00,22.7,3.7,52,1007.84,9.00,990.82,34.0,080,27.58
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-02-2019,16:00:00,0.00,24.0,9.3,56,1004.99,7.00,979.86,34.0,060,29.87
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-02-2019,16:00:00,0.00,25.6,0.0,62,1006.59,8.00,1000.94,34.0,000,32.84
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-02-2019,16:00:00,0.00,25.6,7.4,62,1006.75,8.00,1000.70,34.0,160,32.84
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-02-2019,16:00:00,0.00,21.6,0.0,45,1006.89,8.00,990.90,35.5,000,25.78
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-02-2019,16:00:00,0.00,21.8,5.6,50,1005.72,10.00,983.91,33.5,270,26.04
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-02-2019,16:00:00,0.00,24.7,3.7,52,1006.98,10.00,993.02,36.0,190,31.19
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-02-2019,16:00:00,0.00,24.4,0.0,54,1006.48,8.00,990.53,35.0,000,30.52
