WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,LandVisibility,AirTemperature,WindSpeed,WindDirection,StationPressure,Rainfall24Hr,MeanSeaLevelPressure,VaporPressure,DewPoint,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,65,09-28-2019,16:00:00,15.00,31.7,0.0,000,979.92,0.01,1010.36,30.32,24.3,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,91,09-28-2019,16:00:00,8.00,18.8,11.1,200,851.44,0.00,1013.79,19.75,17.3,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,50,09-28-2019,16:00:00,10.00,31.5,3.7,010,968.05,0.00,1011.02,22.88,19.7,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,54,09-28-2019,16:00:00,12.00,31.1,3.7,050,966.20,0.00,1011.11,24.51,20.8,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,46,09-28-2019,16:00:00,10.00,34.0,0.0,000,972.66,0.00,1009.38,24.26,20.6,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,57,09-28-2019,16:00:00,12.00,31.5,5.6,190,967.53,0.00,1011.98,26.32,21.9,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,58,09-28-2019,16:00:00,10.00,32.0,5.6,160,985.35,0.00,1011.68,27.55,22.7,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,63,09-28-2019,16:00:00,8.00,32.3,3.7,180,989.64,0.00,1011.06,30.40,24.3,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,88,09-28-2019,16:00:00,8.00,26.5,0.0,000,987.55,5.20,1011.74,30.43,24.3,5.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,53,09-28-2019,16:00:00,10.00,32.3,3.7,060,976.84,0.00,1010.78,25.66,21.5,0.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,64,09-28-2019,16:00:00,10.00,30.8,0.0,000,984.67,0.00,1011.92,28.26,23.1,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,60,09-28-2019,16:00:00,10.00,30.2,0.0,000,977.93,1.70,1011.18,25.78,21.6,0.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,71,09-28-2019,16:00:00,5.00,30.0,0.0,000,992.57,0.01,1010.93,30.31,24.3,0.01
