WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall24Hr,WindSpeed,AirTemperature,WindDirection,LandVisibility,VaporPressure,RelativeHumidity,Rainfall,MeanSeaLevelPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,24.3,07-11-2019,13:00:00,4.00,3.7,30.3,130,15.00,30.34,70,0.00,1008.33,977.81
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.6,07-11-2019,13:00:00,0.00,13.0,20.5,270,6.00,22.73,94,0.00,1004.38,844.37
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,21.7,07-11-2019,13:00:00,3.80,9.3,32.0,230,10.00,25.91,54,0.00,1006.09,963.39
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,22.8,07-11-2019,13:00:00,4.60,11.1,32.1,330,15.00,27.74,58,0.00,1006.24,961.70
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.9,07-11-2019,13:00:00,8.80,0.0,32.0,000,12.00,31.52,66,0.00,1007.09,970.21
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,21.7,07-11-2019,13:00:00,0.40,7.4,32.0,170,9.00,25.91,54,0.00,1007.20,963.04
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,23.9,07-11-2019,13:00:00,0.60,7.4,32.6,090,12.00,29.58,60,0.00,1007.68,981.50
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,22.5,07-11-2019,13:00:00,0.00,16.7,32.8,240,15.00,27.16,55,0.00,1008.17,986.84
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,23.3,07-11-2019,13:00:00,6.10,0.0,31.0,000,10.00,28.65,64,0.00,1009.35,985.56
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,21.1,07-11-2019,13:00:00,0.30,5.6,33.1,210,10.00,25.00,49,0.00,1007.44,973.70
