WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,AirTemperature,LandVisibility,Rainfall24Hr,DewPoint,WindSpeed,VaporPressure,StationPressure,RelativeHumidity,WindDirection
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-16-2019,22:00:00,1014.06,25.0,10.00,0.01,22.8,0.0,27.70,982.83,88,000
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-16-2019,22:00:00,1014.39,18.1,8.00,1.50,17.6,7.4,20.11,851.60,97,140
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-16-2019,22:00:00,1014.43,25.6,12.00,0.00,22.8,0.0,27.73,970.48,85,000
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-16-2019,22:00:00,1014.49,24.7,12.00,0.00,22.5,0.0,27.19,968.49,87,000
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-16-2019,22:00:00,1015.45,23.0,7.00,2.30,22.8,0.0,27.82,977.16,99,000
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-16-2019,22:00:00,1015.09,24.5,10.00,0.00,23.0,0.0,28.11,969.48,91,000
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-16-2019,22:00:00,1015.20,25.3,8.00,0.00,23.4,0.0,28.75,988.19,89,000
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-16-2019,22:00:00,1014.63,25.4,12.00,0.00,23.9,1.9,29.72,992.64,92,090
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-16-2019,22:00:00,1014.17,25.5,8.00,0.00,23.7,0.0,29.38,989.83,90,000
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-16-2019,22:00:00,1014.38,26.8,10.00,0.00,23.0,0.0,28.04,979.70,80,000
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-16-2019,22:00:00,1015.78,25.2,10.00,0.00,24.2,0.0,30.15,987.92,94,000
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-16-2019,22:00:00,1014.42,24.9,10.00,18.20,23.9,0.0,29.61,980.48,94,000
