WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,RelativeHumidity,WindSpeed,StationPressure,DewPoint,VaporPressure,LandVisibility,WindDirection,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,30.5,08-01-2019,16:00:00,0.00,74,13.0,970.86,25.3,32.17,12.00,240,1001.15,33.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,21.0,08-01-2019,16:00:00,30.10,92,13.0,840.91,19.6,22.77,6.00,300,999.97,30.10
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,33.3,08-01-2019,16:00:00,0.00,55,0.0,957.01,23.0,28.15,15.00,000,999.23,26.80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,31.0,08-01-2019,16:00:00,0.00,65,16.7,956.05,23.6,29.20,15.00,260,1000.50,47.60
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,33.0,08-01-2019,16:00:00,0.00,60,0.0,963.59,24.3,30.40,12.00,000,1000.09,33.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,27.5,08-01-2019,16:00:00,1.80,77,0.0,956.96,23.1,28.26,10.00,000,1001.52,30.10
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,32.4,08-01-2019,16:00:00,0.00,67,9.3,975.49,25.5,32.66,12.00,180,1001.53,19.70
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,27.3,08-01-2019,16:00:00,7.50,84,7.4,981.25,24.4,30.59,10.00,260,1002.85,7.50
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,31.0,08-01-2019,16:00:00,0.00,66,0.0,978.83,24.0,29.76,10.00,000,1002.46,8.40
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,28.8,08-01-2019,16:00:00,0.20,72,7.4,967.58,23.3,28.54,10.00,250,1001.59,11.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,33.8,08-01-2019,16:00:00,0.00,54,0.0,974.03,23.3,28.59,10.00,000,1000.72,7.90
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,31.6,08-01-2019,16:00:00,0.00,62,0.0,967.77,23.5,28.99,15.00,000,1000.53,6.30
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,31.7,08-01-2019,16:00:00,0.00,67,13.0,983.14,24.7,31.19,15.00,270,1001.23,42.60
48331,NAN,น่าน,น่าน,18.77972,100.77778,30.7,08-01-2019,16:00:00,0.00,72,0.0,979.06,25.0,31.72,10.00,000,1001.43,44.20
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,29.0,08-01-2019,16:00:00,0.00,78,0.0,972.21,24.7,31.13,10.00,000,1001.67,16.00
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,26.0,08-01-2019,16:00:00,8.80,96,0.0,966.89,25.3,32.20,3.00,000,1002.25,14.40
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,28.9,08-01-2019,16:00:00,0.00,79,5.6,971.78,24.9,31.49,16.00,290,1001.06,1.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,30.5,08-01-2019,16:00:00,0.00,70,18.5,995.15,24.5,30.74,10.00,210,1002.33,27.50
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,33.2,08-01-2019,16:00:00,0.20,66,11.1,980.43,25.9,33.50,17.00,180,999.77,11.20
48353,LOEI,เลย,เลย,17.45000,101.73333,27.8,08-01-2019,16:00:00,0.00,79,7.4,973.94,23.7,29.36,15.00,180,1002.35,0.30
