WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,Rainfall24Hr,WindSpeed,VaporPressure,AirTemperature,Rainfall,LandVisibility,StationPressure,MeanSeaLevelPressure,WindDirection
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.8,08-05-2019,16:00:00,93,125.10,5.6,31.38,26.0,3.30,7.00,1005.72,1006.18,340
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,24.7,08-05-2019,16:00:00,81,10.50,3.7,31.14,28.3,0.00,7.00,1004.91,1005.59,200
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,24.7,08-05-2019,16:00:00,82,7.80,0.0,31.11,28.0,0.80,8.00,1004.04,1005.56,000
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,24.6,08-05-2019,16:00:00,91,24.20,11.1,30.94,26.2,8.80,7.00,1005.61,1006.53,210
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,24.9,08-05-2019,16:00:00,92,10.80,7.4,31.41,26.3,10.80,10.00,1004.95,1005.64,270
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,26.4,08-05-2019,16:00:00,94,12.90,3.7,34.36,27.5,3.30,10.00,1005.94,1006.73,300
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,22.3,08-05-2019,16:00:00,62,0.00,11.1,26.95,30.4,0.00,10.00,1004.64,1005.27,230
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,24.5,08-05-2019,16:00:00,73,0.00,14.8,30.75,29.8,0.00,10.00,1005.34,1005.74,240
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,25.8,08-05-2019,16:00:00,90,1.40,0.0,33.21,27.5,1.30,5.00,1003.64,1007.85,000
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,21.6,08-05-2019,16:00:00,54,0.00,18.5,25.82,32.1,0.00,10.00,1004.12,1005.70,230
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,24.1,08-05-2019,16:00:00,67,4.90,0.0,30.05,31.0,0.00,10.00,1002.90,1006.32,000
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,21.0,08-05-2019,16:00:00,49,0.00,7.4,24.81,33.0,0.00,10.00,1003.93,1005.25,270
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,24.4,08-05-2019,16:00:00,73,2.90,13.0,30.55,29.7,0.00,10.00,1005.53,1006.41,210
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.1,08-05-2019,16:00:00,67,0.00,14.8,30.05,31.0,0.00,10.00,1002.96,1006.47,220
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,23.4,08-05-2019,16:00:00,56,0.60,11.1,28.84,33.5,0.00,10.00,1006.04,1006.46,210
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,23.3,08-05-2019,16:00:00,64,0.01,18.5,28.65,31.0,0.00,10.00,1005.48,1006.46,230
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,25.5,08-05-2019,16:00:00,71,6.20,25.9,32.60,31.4,0.00,10.00,1005.60,1006.40,220
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,23.7,08-05-2019,16:00:00,64,7.00,11.1,29.35,31.5,0.00,10.00,1004.13,1005.91,220
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,21.1,08-05-2019,16:00:00,46,0.00,16.7,24.94,34.5,0.00,10.00,1004.25,1004.98,220
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,20.7,08-05-2019,16:00:00,46,0.00,20.4,24.34,33.9,0.00,10.00,1001.40,1005.30,230
48570,SATUN,สตูล,สตูล,6.65000,100.08333,24.0,08-05-2019,16:00:00,62,0.00,0.0,29.83,32.3,0.00,10.00,1005.52,1006.19,000
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.8,08-05-2019,16:00:00,56,0.00,16.7,29.54,33.7,0.00,11.00,1004.07,1005.16,240
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,23.1,08-05-2019,16:00:00,52,0.00,14.8,28.18,34.3,0.00,11.00,1003.16,1006.01,270
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,23.0,08-05-2019,16:00:00,51,0.00,9.3,28.02,34.5,0.00,10.00,1004.54,1005.21,220
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,21.5,08-05-2019,16:00:00,46,0.00,13.0,25.63,35.0,0.00,9.00,1001.38,1005.38,200
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,22.6,08-05-2019,16:00:00,50,0.00,11.1,27.45,34.5,0.00,10.00,1005.51,1006.08,170
