WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,MinimumTemperature,WindSpeed,DewPoint,WindDirection,MeanSeaLevelPressure,AirTemperature,RelativeHumidity,Rainfall,Rainfall24Hr,LandVisibility,VaporPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,976.97,07-25-2019,07:00:00,22.6,0.0,22.7,000,1008.16,23.7,94,0.10,21.50,4.00,27.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,843.93,07-25-2019,07:00:00,17.5,31.5,17.2,300,1005.32,18.0,95,0.00,19.40,5.00,19.57
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,963.30,07-25-2019,07:00:00,24.2,0.0,23.3,000,1007.06,24.6,92,1.10,20.80,10.00,28.55
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,960.92,07-25-2019,07:00:00,23.2,0.0,22.8,000,1006.76,23.4,96,0.40,21.60,4.00,27.75
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,970.11,07-25-2019,07:00:00,23.0,0.0,24.0,000,1007.99,24.0,100,0.00,18.00,8.00,29.82
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,962.05,07-25-2019,07:00:00,23.5,5.6,22.6,110,1007.30,24.5,89,0.00,1.10,10.00,27.35
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,981.16,07-25-2019,07:00:00,24.2,5.6,23.6,150,1008.03,24.8,93,0.00,6.20,10.00,29.16
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,986.44,07-25-2019,07:00:00,24.7,1.9,23.1,120,1008.33,25.0,89,0.00,1.10,12.00,28.22
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,984.47,07-25-2019,07:00:00,23.0,0.0,23.2,000,1008.78,24.2,94,0.00,11.70,6.00,28.36
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,972.90,07-25-2019,07:00:00,24.4,0.0,23.3,000,1007.59,24.6,92,0.00,17.20,10.00,28.55
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,980.40,07-25-2019,07:00:00,24.8,0.0,23.2,000,1008.06,25.1,89,0.00,28.90,10.00,28.40
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,973.62,07-25-2019,07:00:00,24.7,0.0,23.5,000,1007.32,25.0,92,0.00,6.90,10.00,29.00
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,989.35,07-25-2019,07:00:00,25.0,3.7,24.2,280,1007.96,25.1,95,0.00,16.10,10.00,30.23
48331,NAN,น่าน,น่าน,18.77972,100.77778,984.98,07-25-2019,07:00:00,24.5,0.0,23.8,000,1007.94,24.8,94,0.00,20.70,10.00,29.42
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,977.84,07-25-2019,07:00:00,24.0,0.0,23.0,000,1007.93,24.5,91,0.00,4.20,6.00,28.11
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,972.29,07-25-2019,07:00:00,23.8,0.0,23.3,000,1008.09,24.0,96,0.00,13.00,4.00,28.53
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,978.10,07-25-2019,07:00:00,24.1,0.0,22.9,000,1008.05,24.2,92,0.20,0.40,10.00,27.85
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1000.83,07-25-2019,07:00:00,25.5,0.0,23.9,000,1008.17,25.7,90,0.01,4.10,8.00,29.74
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,988.01,07-25-2019,07:00:00,26.4,5.6,23.6,230,1007.93,26.7,83,0.00,0.00,11.00,29.19
48353,LOEI,เลย,เลย,17.45000,101.73333,979.45,07-25-2019,07:00:00,24.8,5.6,22.7,140,1008.30,24.8,88,0.40,0.80,8.00,27.61
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,987.57,07-25-2019,07:00:00,26.4,1.9,24.5,160,1007.76,26.7,88,0.00,2.50,15.00,30.81
