WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,StationPressure,Date,Time,AirTemperature,RelativeHumidity,Rainfall,VaporPressure,WindDirection,DewPoint,LandVisibility,WindSpeed,MeanSeaLevelPressure,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,974.93,07-15-2019,01:00:00,24.5,95,0.00,29.15,000,23.6,6.00,0.0,1005.97,7.50
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,841.96,07-15-2019,01:00:00,18.6,94,0.00,20.13,270,17.6,8.00,33.3,1002.61,1.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,959.53,07-15-2019,01:00:00,27.6,66,0.00,24.30,190,20.6,15.00,5.6,1002.69,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,957.79,07-15-2019,01:00:00,26.6,72,0.00,25.12,000,21.2,12.00,0.0,1002.99,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,966.73,07-15-2019,01:00:00,25.0,97,0.00,30.58,000,24.4,6.00,0.0,1004.35,8.80
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,958.50,07-15-2019,01:00:00,27.0,84,0.00,30.02,000,24.1,10.00,0.0,1003.21,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,978.31,07-15-2019,01:00:00,26.5,87,0.00,30.16,000,24.2,8.00,0.0,1004.94,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,983.51,07-15-2019,01:00:00,26.9,74,0.00,26.15,240,21.8,11.00,3.7,1005.19,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,982.58,07-15-2019,01:00:00,24.0,96,0.00,28.53,000,23.3,6.00,0.0,1006.86,10.40
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,970.38,07-15-2019,01:00:00,25.3,90,0.00,29.01,000,23.5,10.00,0.0,1004.89,9.50
