WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,MeanSeaLevelPressure,VaporPressure,AirTemperature,WindDirection,Rainfall24Hr,WindSpeed,Rainfall,DewPoint,StationPressure,LandVisibility,MaximumTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,71,10-06-2019,19:00:00,1009.74,25.13,26.9,100,0.70,18.5,0.01,21.2,978.84,6.00,31.3
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,88,10-06-2019,19:00:00,1010.60,23.55,22.3,200,0.00,11.1,0.00,20.1,850.47,8.00,25.3
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,80,10-06-2019,19:00:00,1010.38,26.02,25.5,000,0.01,0.0,0.00,21.7,966.59,10.00,32.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,87,10-06-2019,19:00:00,1010.55,26.76,24.6,000,1.00,0.0,0.00,22.2,964.72,15.00,32.5
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,93,10-06-2019,19:00:00,1011.45,28.45,24.4,000,0.90,0.0,0.00,23.2,973.49,8.00,31.5
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,93,10-06-2019,19:00:00,1011.06,28.28,24.3,000,2.50,0.0,0.00,23.1,965.60,12.00,30.2
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,93,10-06-2019,19:00:00,1011.22,29.52,25.0,000,3.00,0.0,0.00,23.8,984.29,8.00,34.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,90,10-06-2019,19:00:00,1009.64,31.63,26.7,000,3.00,0.0,0.00,25.0,987.85,10.00,33.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,78,10-06-2019,19:00:00,1010.41,27.88,27.0,000,0.00,0.0,0.00,22.9,986.29,10.00,33.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,86,10-06-2019,19:00:00,1010.73,25.76,24.0,010,16.50,5.6,0.70,21.6,975.86,10.00,33.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,84,10-06-2019,19:00:00,1010.09,27.64,25.7,000,0.10,0.0,0.00,22.7,982.43,10.00,32.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,86,10-06-2019,19:00:00,1010.81,25.76,24.0,060,0.00,5.6,0.00,21.6,976.89,9.00,33.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,82,10-06-2019,19:00:00,1009.48,29.58,27.2,090,0.00,1.9,0.00,23.9,990.97,6.00,34.7
48331,NAN,น่าน,น่าน,18.77972,100.77778,81,10-06-2019,19:00:00,1010.19,27.14,26.0,000,0.00,0.0,0.00,22.4,987.27,10.00,33.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,87,10-06-2019,19:00:00,1010.48,27.53,24.9,000,0.00,0.0,0.00,22.7,980.35,10.00,32.4
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,85,10-06-2019,19:00:00,1009.92,28.34,25.8,000,0.00,0.0,0.00,23.2,974.28,7.00,31.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,83,10-06-2019,19:00:00,1009.49,26.43,25.0,000,1.00,0.0,0.00,22.0,979.58,10.00,33.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,57,10-06-2019,19:00:00,1008.46,26.32,31.5,000,0.00,0.0,0.00,21.9,1001.26,10.00,35.6
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,66,10-06-2019,19:00:00,1008.82,28.67,30.3,000,0.00,0.0,0.00,23.3,989.12,6.00,34.6
48353,LOEI,เลย,เลย,17.45000,101.73333,70,10-06-2019,19:00:00,1009.48,26.45,28.1,000,8.60,0.0,0.00,22.0,980.90,12.00,33.4
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,71,10-06-2019,19:00:00,1009.17,28.45,28.9,000,17.00,0.0,0.00,23.2,989.09,12.00,33.3
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,73,10-06-2019,19:00:00,1011.05,26.95,27.5,090,5.90,7.4,0.60,22.3,989.29,8.00,33.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,74,10-06-2019,19:00:00,1009.89,27.31,27.7,160,0.01,9.3,0.01,22.5,990.41,8.00,33.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,85,10-06-2019,19:00:00,1010.74,28.70,26.0,000,9.00,0.0,9.00,23.4,993.89,12.00,34.5
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,91,10-06-2019,19:00:00,1010.94,29.64,25.5,000,0.00,0.0,0.00,23.9,993.39,10.00,34.6
