WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,Rainfall24Hr,Rainfall,LandVisibility,WindDirection,StationPressure,DewPoint
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1010.98,09-23-2019,01:00:00,0.0,23.3,91,26.09,17.90,0.00,5.00,000,959.16,21.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,1012.44,09-23-2019,01:00:00,0.0,26.2,93,31.76,33.80,0.00,5.00,000,1008.45,25.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,1013.70,09-23-2019,01:00:00,5.6,20.6,94,22.87,0.50,0.00,3.00,360,917.70,19.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1013.68,09-23-2019,01:00:00,7.4,25.3,88,28.49,0.00,0.00,7.00,060,997.50,23.2
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,1012.27,09-23-2019,01:00:00,1.9,26.1,94,31.85,10.20,0.00,8.00,240,1008.21,25.1
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1012.46,09-23-2019,01:00:00,3.7,26.9,77,27.44,0.00,0.00,6.00,090,1001.72,22.6
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1012.59,09-23-2019,01:00:00,0.0,26.0,92,30.84,4.50,0.00,8.00,000,1010.64,24.6
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1012.94,09-23-2019,01:00:00,7.4,26.5,75,25.96,0.00,0.00,10.00,040,991.93,21.7
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1013.20,09-23-2019,01:00:00,9.3,25.6,76,24.94,0.00,0.00,10.00,070,995.34,21.1
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1013.12,09-23-2019,01:00:00,9.3,26.0,75,25.11,0.00,0.00,10.00,050,996.81,21.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1013.04,09-23-2019,01:00:00,3.7,24.6,91,28.03,19.40,2.10,10.00,050,998.81,23.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1013.51,09-23-2019,01:00:00,0.0,25.2,94,30.15,2.20,2.20,7.00,000,998.50,24.2
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1013.21,09-23-2019,01:00:00,7.4,24.9,92,29.08,7.70,0.00,6.00,040,998.35,23.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1012.35,09-23-2019,01:00:00,0.0,26.2,92,31.22,1.10,0.50,8.00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",1009.31,24.8
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1012.38,09-23-2019,01:00:00,0.0,26.6,89,30.89,0.01,0.00,7.00,000,1004.37,24.6
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1012.00,09-23-2019,01:00:00,0.0,25.5,93,30.17,9.80,0.20,7.00,000,1010.88,24.2
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1013.08,09-23-2019,01:00:00,0.0,25.5,96,31.25,4.40,0.00,8.00,000,998.24,24.8
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1013.22,09-23-2019,01:00:00,11.1,18.2,99,20.67,14.60,0.00,1.50,130,876.85,18.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,1012.83,09-23-2019,01:00:00,5.6,26.2,69,23.46,0.00,0.00,8.00,060,1006.90,20.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,1011.59,09-23-2019,01:00:00,9.3,24.6,99,30.65,13.40,5.60,.50,060,1010.78,24.4
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1011.60,09-23-2019,01:00:00,7.4,24.5,96,29.41,42.70,39.50,7.00,240,1011.15,23.8
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1012.92,09-23-2019,01:00:00,0.0,24.5,96,29.41,25.70,0.00,3.00,000,1001.45,23.8
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1011.87,09-23-2019,01:00:00,0.0,25.8,95,31.55,25.20,0.00,8.00,000,1010.84,24.9
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,1012.12,09-23-2019,01:00:00,7.4,26.1,84,28.36,9.90,0.00,7.00,050,1010.29,23.2
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,1011.61,09-23-2019,01:00:00,0.0,24.7,98,30.56,32.80,0.00,4.00,000,1010.84,24.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,1011.66,09-23-2019,01:00:00,11.1,23.9,97,28.61,2.40,1.40,6.00,220,1010.95,23.3
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,1012.07,09-23-2019,01:00:00,5.6,25.0,95,30.05,40.20,3.30,7.00,090,1011.36,24.1
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,1013.37,09-23-2019,01:00:00,7.4,23.5,98,28.42,26.50,16.90,6.00,130,991.84,23.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,1013.01,09-23-2019,01:00:00,0.0,24.9,92,29.08,22.30,0.00,6.00,000,996.07,23.6
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,1013.49,09-23-2019,01:00:00,5.6,24.7,92,28.47,27.30,0.00,5.00,140,996.83,23.2
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,1013.26,09-23-2019,01:00:00,7.4,24.0,93,27.76,2.40,0.80,4.00,020,991.05,22.8
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,1012.73,09-23-2019,01:00:00,9.3,23.0,93,26.09,7.80,0.00,8.00,080,968.68,21.8
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,1012.92,09-23-2019,01:00:00,9.3,23.6,95,27.58,23.20,10.20,3.00,090,992.01,22.7
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1014.58,09-23-2019,01:00:00,0.0,24.0,100,29.82,3.40,1.60,8.00,000,993.40,24.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,1011.89,09-23-2019,01:00:00,3.7,24.5,96,29.41,103.00,5.80,8.00,350,1011.45,23.8
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,1012.20,09-23-2019,01:00:00,0.0,24.3,97,29.57,93.80,0.00,6.00,000,1010.76,23.9
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,1012.37,09-23-2019,01:00:00,0.0,24.3,98,29.84,17.20,0.00,7.00,000,1007.36,24.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,1011.96,09-23-2019,01:00:00,0.0,24.7,95,29.51,18.90,0.00,4.00,000,1008.63,23.8
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,1011.62,09-23-2019,01:00:00,3.7,24.8,99,31.02,7.40,0.50,8.00,120,1010.50,24.6
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,1011.50,09-23-2019,01:00:00,3.7,24.7,96,29.77,8.00,6.50,8.00,210,1011.20,24.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1011.39,09-23-2019,01:00:00,0.0,25.0,96,30.32,4.10,3.30,8.00,000,1010.89,24.3
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1011.45,09-23-2019,01:00:00,0.0,24.6,100,30.91,15.60,7.80,4.00,000,1010.02,24.6
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,1013.62,09-23-2019,01:00:00,0.0,24.0,98,29.30,8.00,0.01,10.00,000,1005.49,23.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,1011.74,09-23-2019,01:00:00,0.0,25.3,96,30.87,52.30,4.20,8.00,000,1011.45,24.6
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,1011.99,09-23-2019,01:00:00,0.0,27.5,84,30.97,28.00,11.70,10.00,000,1008.84,24.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,1011.84,09-23-2019,01:00:00,0.0,25.5,92,29.91,4.00,3.40,10.00,000,1004.83,24.0
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,1012.09,09-23-2019,01:00:00,0.0,24.5,97,29.67,125.10,0.00,10.00,000,1006.41,23.9
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,1012.30,09-23-2019,01:00:00,3.7,24.2,97,29.13,83.10,0.40,3.00,320,1011.02,23.6
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,1011.84,09-23-2019,01:00:00,5.6,25.3,95,30.60,7.80,0.70,11.00,300,1011.40,24.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,1012.26,09-23-2019,01:00:00,0.0,24.0,97,29.04,11.20,0.00,10.00,000,999.81,23.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,1011.76,09-23-2019,01:00:00,0.0,24.8,97,30.48,35.80,0.00,10.00,000,1011.03,24.4
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,1012.12,09-23-2019,01:00:00,0.0,25.0,96,30.32,44.30,0.30,6.00,000,1009.65,24.3
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,1012.22,09-23-2019,01:00:00,0.0,25.5,96,31.25,17.20,0.60,6.00,000,1011.70,24.8
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,1011.74,09-23-2019,01:00:00,0.0,24.4,97,29.75,13.90,4.60,7.00,000,1006.51,24.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,1012.59,09-23-2019,01:00:00,0.0,24.3,97,29.57,17.90,4.40,6.00,000,1012.17,23.9
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,1012.67,09-23-2019,01:00:00,0.0,24.0,98,29.30,36.50,4.20,8.00,000,1009.86,23.7
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1010.95,09-23-2019,01:00:00,0.0,24.0,95,28.27,33.70,0.00,10.00,000,1010.15,23.1
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1012.66,09-23-2019,01:00:00,7.4,24.5,95,29.15,8.80,0.00,6.00,100,1012.19,23.6
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,1011.79,09-23-2019,01:00:00,0.0,25.0,96,30.32,19.80,0.20,7.00,000,1011.10,24.3
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,1011.97,09-23-2019,01:00:00,0.0,24.5,94,28.89,10.00,0.00,7.00,000,1010.43,23.5
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,1011.59,09-23-2019,01:00:00,0.0,26.0,84,28.18,0.00,0.00,10.00,000,1010.66,23.1
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,1011.95,09-23-2019,01:00:00,5.6,25.2,92,29.62,0.50,0.00,7.00,300,1011.26,23.9
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,1012.28,09-23-2019,01:00:00,0.0,23.6,97,28.34,21.30,7.00,5.00,000,1011.47,23.2
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,1010.91,09-23-2019,01:00:00,0.0,24.8,97,30.48,54.20,0.00,6.00,000,1010.27,24.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,1009.83,09-23-2019,01:00:00,0.0,25.3,96,30.87,0.00,0.00,6.00,000,1009.42,24.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,1014.46,09-23-2019,01:00:00,0.0,23.6,95,27.58,14.00,2.50,5.00,000,1010.18,22.7
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,1011.27,09-23-2019,01:00:00,0.0,24.0,96,28.53,10.40,0.00,{'@attributes': {'Unit': 'km'}},000,1009.63,23.3
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1011.41,09-23-2019,01:00:00,0.0,24.0,96,28.53,4.50,2.00,6.00,000,1007.89,23.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,1011.63,09-23-2019,01:00:00,0.0,23.9,98,29.12,4.00,3.80,8.00,000,1010.25,23.6
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,1011.26,09-23-2019,01:00:00,0.0,25.2,94,30.15,0.00,0.00,10.00,000,1010.37,24.2
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,1010.37,09-23-2019,01:00:00,0.0,26.3,91,31.13,2.60,0.00,8.00,000,1009.93,24.7
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1010.90,09-23-2019,01:00:00,0.0,25.4,97,31.33,17.60,0.01,7.00,000,1009.90,24.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,1011.18,09-23-2019,01:00:00,0.0,26.3,90,30.86,5.40,0.00,8.00,000,1010.36,24.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,1010.82,09-23-2019,01:00:00,0.0,25.6,96,31.44,32.00,0.00,6.00,000,1008.99,24.9
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,1012.03,09-23-2019,01:00:00,1.9,25.2,95,30.42,9.00,9.00,3.00,250,1011.27,24.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1011.49,09-23-2019,01:00:00,7.4,26.0,93,31.38,0.01,0.01,8.00,290,1007.47,24.8
48570,SATUN,สตูล,สตูล,6.65000,100.08333,1011.66,09-23-2019,01:00:00,0.0,25.8,96,31.82,3.10,0.00,4.00,000,1010.97,25.1
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,1011.19,09-23-2019,01:00:00,0.0,25.3,94,30.34,0.80,0.80,8.00,000,1010.06,24.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1011.54,09-23-2019,01:00:00,0.0,25.0,97,30.85,8.00,0.00,10.00,000,1008.59,24.6
