WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindSpeed,AirTemperature,RelativeHumidity,VaporPressure,Rainfall24Hr,Rainfall,LandVisibility,WindDirection,StationPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1013.56,09-23-2019,01:00:00,0.0,24.2,93,28.10,0.00,0.00,6.00,000,982.26,23.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1013.27,09-23-2019,01:00:00,18.5,17.6,77,15.49,0.00,0.00,8.00,120,850.41,13.5
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1014.24,09-23-2019,01:00:00,3.7,23.3,83,23.67,0.00,0.00,10.00,040,969.97,20.2
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1014.24,09-23-2019,01:00:00,0.0,22.0,89,23.56,0.00,0.00,12.00,000,967.84,20.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1014.71,09-23-2019,01:00:00,0.0,21.7,94,24.51,0.00,0.00,5.00,000,976.28,20.8
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1014.64,09-23-2019,01:00:00,0.0,24.2,87,26.34,4.20,0.00,10.00,000,969.01,21.9
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1014.54,09-23-2019,01:00:00,3.7,24.0,95,28.27,0.00,0.00,7.00,310,987.43,23.1
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1014.34,09-23-2019,01:00:00,0.0,23.5,97,28.17,15.00,15.00,5.00,000,992.22,23.0
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1013.68,09-23-2019,01:00:00,0.0,24.1,95,28.44,0.50,0.50,6.00,000,989.24,23.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1013.35,09-23-2019,01:00:00,0.0,25.8,87,28.87,0.40,0.20,10.00,000,978.59,23.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1014.28,09-23-2019,01:00:00,0.0,24.8,97,30.48,14.00,0.00,10.00,000,986.42,24.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1013.62,09-23-2019,01:00:00,0.0,25.0,90,28.48,0.00,0.00,10.00,000,979.72,23.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,1013.67,09-23-2019,01:00:00,0.0,25.1,92,29.18,14.40,0.00,10.00,000,990.60,23.6
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1013.46,09-23-2019,01:00:00,0.0,25.5,90,29.38,0.00,0.00,6.00,000,983.30,23.7
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1013.82,09-23-2019,01:00:00,0.0,24.8,95,29.69,0.00,0.00,6.00,000,977.92,23.9
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1013.64,09-23-2019,01:00:00,0.0,23.9,93,27.59,0.00,0.00,6.00,000,983.49,22.7
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1012.77,09-23-2019,01:00:00,0.0,26.0,84,28.18,0.00,0.00,8.00,000,1005.40,23.1
48353,LOEI,เลย,เลย,17.45000,101.73333,1013.67,09-23-2019,01:00:00,0.0,24.3,90,27.26,0.00,0.00,7.00,000,984.61,22.5
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1014.43,09-23-2019,01:00:00,0.0,25.3,85,27.46,0.00,0.00,10.00,000,994.01,22.6
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1014.53,09-23-2019,01:00:00,0.0,23.1,90,25.52,0.00,0.00,10.00,000,992.37,21.4
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1014.01,09-23-2019,01:00:00,5.6,24.0,87,26.01,0.00,0.00,10.00,120,994.20,21.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1015.15,09-23-2019,01:00:00,0.0,22.1,95,25.13,0.00,0.00,8.00,000,997.33,21.2
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1013.94,09-23-2019,01:00:00,0.0,25.0,90,28.48,0.00,0.00,9.00,000,987.84,23.2
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1013.38,09-23-2019,01:00:00,5.6,25.4,98,31.87,4.50,0.00,10.00,290,1007.53,25.1
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1012.03,09-23-2019,01:00:00,0.0,25.5,94,30.71,0.00,0.00,10.00,000,1005.78,24.5
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1013.36,09-23-2019,01:00:00,0.0,25.8,84,27.82,0.00,0.00,10.00,000,996.76,22.8
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1010.95,09-23-2019,01:00:00,0.0,26.0,85,28.44,0.00,0.00,10.00,000,988.47,23.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,1013.61,09-23-2019,01:00:00,0.0,24.8,93,29.16,5.00,0.00,5.00,000,999.02,23.6
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1013.67,09-23-2019,01:00:00,0.0,24.1,97,29.22,5.80,4.20,8.00,000,997.02,23.7
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1012.91,09-23-2019,01:00:00,0.0,25.6,92,30.09,0.00,0.00,10.00,000,1007.62,24.1
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1011.64,09-23-2019,01:00:00,0.0,25.5,92,29.91,0.00,0.00,10.00,000,998.32,24.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1012.70,09-23-2019,01:00:00,0.0,24.7,97,30.03,17.00,0.00,10.00,000,1003.25,24.1
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1013.54,09-23-2019,01:00:00,16.7,25.0,83,26.18,0.00,0.00,7.00,060,991.58,21.8
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1013.26,09-23-2019,01:00:00,11.1,25.5,84,27.29,0.00,0.00,10.00,030,995.57,22.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1013.02,09-23-2019,01:00:00,0.0,25.2,74,23.80,0.00,0.00,10.00,000,997.00,20.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1012.68,09-23-2019,01:00:00,0.0,24.5,92,28.37,0.00,0.00,6.00,000,993.53,23.2
