WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,WindDirection,RelativeHumidity,Rainfall,LandVisibility,WindSpeed,MeanSeaLevelPressure,VaporPressure,StationPressure,AirTemperature
48353,LOEI,เลย,เลย,17.45000,101.73333,0.01,10-12-2019,10:00:00,23.0,340,63,0.00,14.00,5.6,1011.57,28.09,983.20,31.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-12-2019,10:00:00,24.2,110,64,0.00,15.00,3.7,1011.33,30.24,991.41,31.8
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,10-12-2019,10:00:00,22.3,050,63,0.00,12.00,7.4,1012.09,26.85,990.50,30.2
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,10-12-2019,10:00:00,22.8,100,60,0.00,15.00,5.6,1011.17,27.76,991.90,31.4
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-12-2019,10:00:00,20.3,060,52,0.00,12.00,7.4,1011.70,23.74,995.13,31.4
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,10-12-2019,10:00:00,22.5,080,56,0.00,12.00,3.7,1011.72,27.22,994.55,32.4
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-12-2019,10:00:00,23.2,110,67,0.00,15.00,5.6,1010.26,28.37,984.67,30.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-12-2019,10:00:00,27.5,000,77,0.00,8.00,0.0,1011.00,36.63,1005.28,32.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-12-2019,10:00:00,25.7,000,69,0.00,12.00,0.0,1012.51,32.99,1006.39,32.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-12-2019,10:00:00,24.3,000,71,0.00,12.00,0.0,1011.95,30.31,995.60,30.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-12-2019,10:00:00,24.1,000,76,0.00,10.00,0.0,1010.69,29.98,988.42,28.7
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-12-2019,10:00:00,23.9,270,69,0.00,8.00,3.7,1012.12,29.58,997.81,30.2
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-12-2019,10:00:00,25.4,000,72,0.00,12.00,0.0,1013.04,32.34,996.78,31.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-12-2019,10:00:00,25.3,320,68,0.00,12.00,3.7,1011.62,32.19,1006.45,31.9
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-12-2019,10:00:00,24.8,000,68,0.00,12.00,0.0,1009.85,31.35,996.81,31.5
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,10-12-2019,10:00:00,24.6,030,66,0.00,12.00,1.9,1011.42,30.90,1002.20,31.7
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,10-12-2019,10:00:00,21.6,100,56,0.00,10.00,5.6,1010.94,25.78,989.49,31.5
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,10-12-2019,10:00:00,26.0,330,71,0.00,12.00,11.1,1011.11,33.58,993.83,32.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-12-2019,10:00:00,24.1,010,67,0.00,12.00,3.7,1010.62,29.93,994.92,30.8
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,2.00,10-12-2019,10:00:00,25.8,140,76,0.00,10.00,1.9,1010.58,33.26,991.86,30.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,9.40,10-12-2019,10:00:00,22.2,000,71,0.00,10.00,0.0,1010.89,26.70,959.83,27.8
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-12-2019,10:00:00,26.0,270,73,0.00,4.00,3.7,1011.07,33.70,1007.16,31.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,10-12-2019,10:00:00,21.6,180,86,0.00,7.00,5.6,1012.02,25.84,917.27,24.2
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,10-12-2019,10:00:00,24.8,000,75,0.00,10.00,0.0,1011.32,31.32,995.42,29.8
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-12-2019,10:00:00,26.6,000,79,0.00,6.00,0.0,1011.75,34.87,1007.75,30.8
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-12-2019,10:00:00,26.0,290,77,0.00,9.00,3.7,1012.16,33.63,1001.56,30.5
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-12-2019,10:00:00,25.2,000,70,0.00,12.00,0.0,1012.06,32.01,1010.15,31.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,10-12-2019,10:00:00,23.7,180,58,0.00,12.00,5.6,1010.70,29.25,990.17,33.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-12-2019,10:00:00,23.8,000,66,0.00,10.00,0.0,1010.72,29.48,993.22,31.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-12-2019,10:00:00,24.6,150,69,0.00,10.00,7.4,1010.72,30.90,994.72,31.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-12-2019,10:00:00,24.3,170,68,0.00,10.00,7.4,1011.26,30.33,997.35,31.0
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,10-12-2019,10:00:00,24.2,120,69,0.00,10.00,5.6,1011.64,30.18,996.91,30.5
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-12-2019,10:00:00,26.5,140,82,0.00,10.00,3.7,1011.64,34.64,997.05,30.0
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-12-2019,10:00:00,26.2,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",75,0.00,8.00,0.0,1011.16,34.03,1008.17,31.1
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-12-2019,10:00:00,25.2,000,70,0.00,10.00,0.0,1010.86,32.10,1002.99,31.3
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-12-2019,10:00:00,25.5,120,66,0.00,8.00,7.4,1011.80,32.71,1010.70,32.7
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-12-2019,10:00:00,24.0,110,75,0.00,9.00,5.6,1009.48,29.82,994.85,28.9
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,14.60,10-12-2019,10:00:00,20.0,060,71,0.00,8.00,3.7,1009.20,23.31,876.40,25.5
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-12-2019,10:00:00,26.1,230,75,0.00,10.00,3.7,1011.17,33.81,1005.34,31.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-12-2019,10:00:00,26.0,100,67,0.00,8.00,7.4,1011.52,33.66,1010.73,33.0
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,1.10,10-12-2019,10:00:00,25.0,120,74,0.00,10.00,3.7,1011.20,31.64,1010.76,30.1
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-12-2019,10:00:00,25.1,000,70,0.00,10.00,0.0,1011.85,31.80,1000.65,31.3
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-12-2019,10:00:00,26.4,180,72,0.00,6.00,1.9,1011.24,34.40,1010.24,32.1
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-12-2019,10:00:00,25.0,150,67,0.00,7.00,3.7,1011.42,31.68,1009.62,31.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-12-2019,10:00:00,26.0,000,74,0.00,9.00,0.0,1011.08,33.65,1010.33,31.2
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.01,10-12-2019,10:00:00,24.9,120,71,0.00,10.00,5.6,1011.32,31.43,1010.62,30.7
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-12-2019,10:00:00,24.0,070,65,0.00,10.00,3.7,1011.02,29.80,1010.33,31.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-12-2019,10:00:00,25.5,310,71,0.00,10.00,5.6,1010.97,32.60,990.04,31.4
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,3.10,10-12-2019,10:00:00,24.5,090,68,3.10,10.00,5.6,1011.12,30.82,994.56,31.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,7.10,10-12-2019,10:00:00,25.9,050,76,7.10,14.00,3.7,1011.78,33.34,995.47,30.5
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-12-2019,10:00:00,25.9,000,79,0.00,10.00,0.0,1010.86,33.46,989.14,30.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-12-2019,10:00:00,23.8,070,66,0.00,7.00,3.7,1010.56,29.48,967.73,31.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-12-2019,10:00:00,23.8,320,65,0.00,10.00,5.6,1010.56,29.52,990.21,31.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-12-2019,10:00:00,26.9,060,83,0.00,8.00,5.6,1012.75,35.45,992.03,30.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-12-2019,10:00:00,24.3,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",74,0.00,10.00,0.0,1011.48,30.32,1011.05,29.3
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.80,10-12-2019,10:00:00,26.0,000,81,0.00,11.00,0.0,1011.09,33.58,1009.68,29.5
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-12-2019,10:00:00,25.4,000,72,0.00,8.00,0.0,1010.85,32.34,1005.96,31.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,10-12-2019,10:00:00,26.0,350,74,0.00,10.00,3.7,1011.44,33.65,1008.18,31.2
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-12-2019,10:00:00,25.4,090,73,0.00,10.00,3.7,1011.44,32.51,1010.35,30.8
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-12-2019,10:00:00,25.9,160,73,0.00,10.00,7.4,1011.01,33.48,1010.72,31.4
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-12-2019,10:00:00,25.2,000,69,0.00,10.00,0.0,1010.88,32.14,1010.20,31.6
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-12-2019,10:00:00,24.8,120,68,0.00,10.00,3.7,1011.86,31.35,1011.38,31.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.01,10-12-2019,10:00:00,24.6,150,66,0.00,9.00,9.3,1011.17,30.90,1009.77,31.7
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-12-2019,10:00:00,24.3,150,75,0.00,7.00,14.8,1011.13,30.40,1009.45,29.2
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,4.50,10-12-2019,10:00:00,24.5,000,75,0.00,10.00,0.0,1013.26,30.72,1005.28,29.5
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,4.50,10-12-2019,10:00:00,26.1,000,71,0.00,4.00,0.0,1010.56,33.80,1010.28,32.1
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,15.90,10-12-2019,10:00:00,25.2,280,75,3.60,12.00,5.6,1011.25,32.01,1008.14,30.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,24.20,10-12-2019,10:00:00,24.5,000,78,11.70,10.00,0.0,1011.54,30.82,1004.61,28.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-12-2019,10:00:00,25.1,200,74,0.00,10.00,3.7,1011.56,31.84,1005.99,30.2
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,65.90,10-12-2019,10:00:00,26.6,170,92,53.10,9.00,5.6,1012.46,34.81,1003.13,28.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-12-2019,10:00:00,25.2,000,78,0.00,14.00,0.0,1011.87,32.13,1010.61,29.5
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.10,10-12-2019,10:00:00,25.1,330,85,0.10,11.00,7.4,1011.39,31.95,1010.95,28.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-12-2019,10:00:00,23.7,000,85,0.00,8.00,0.0,1012.01,29.35,999.67,26.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-12-2019,10:00:00,25.6,340,88,0.00,10.00,3.7,1012.08,32.76,1011.36,27.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,11.80,10-12-2019,10:00:00,25.7,180,71,0.01,10.00,7.4,1011.59,33.02,1009.18,31.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-12-2019,10:00:00,25.6,220,75,0.00,10.00,7.4,1011.59,32.75,1011.07,30.5
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.80,10-12-2019,10:00:00,24.6,210,70,0.00,11.00,1.9,1011.41,30.94,1006.30,30.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.00,10-12-2019,10:00:00,25.1,000,72,0.00,8.00,0.0,1011.30,31.93,1010.89,30.8
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-12-2019,10:00:00,25.6,000,75,0.00,8.00,0.0,1011.69,32.75,1008.94,30.5
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-12-2019,10:00:00,24.8,150,72,0.00,10.00,5.6,1011.92,31.31,1011.14,30.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.90,10-12-2019,10:00:00,25.8,240,75,0.00,8.00,3.7,1011.04,33.17,1010.59,30.7
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-12-2019,10:00:00,24.3,000,65,0.00,10.00,0.0,1011.31,30.41,1010.64,31.6
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-12-2019,10:00:00,24.3,040,66,0.00,10.00,3.7,1011.24,30.28,1009.73,31.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,19.50,10-12-2019,10:00:00,24.3,080,68,0.00,10.00,5.6,1011.73,30.41,1010.82,30.9
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-12-2019,10:00:00,25.9,080,76,0.00,10.00,11.1,1011.72,33.34,1011.04,30.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-12-2019,10:00:00,26.0,330,76,0.00,10.00,3.7,1011.82,33.55,1011.03,30.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-12-2019,10:00:00,24.1,000,69,0.00,10.00,0.0,1011.25,29.98,1010.62,30.4
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-12-2019,10:00:00,25.6,000,75,0.00,10.00,0.0,1011.36,32.75,1010.96,30.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-12-2019,10:00:00,24.3,000,71,0.00,8.00,0.0,1013.33,30.42,1009.14,30.2
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.40,10-12-2019,10:00:00,22.6,000,64,0.00,10.00,0.0,1011.49,27.39,1009.89,30.2
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,8.80,10-12-2019,10:00:00,25.6,000,76,0.00,12.00,0.0,1011.25,32.84,1007.80,30.4
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,6.00,10-12-2019,10:00:00,25.0,000,79,0.00,10.00,0.0,1011.72,31.69,1010.36,29.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.30,10-12-2019,10:00:00,25.8,000,83,0.00,10.00,0.0,1011.34,33.12,1010.45,29.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,10-12-2019,10:00:00,24.3,000,71,0.00,10.00,0.0,1011.48,30.31,1007.94,30.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,3.00,10-12-2019,10:00:00,25.6,000,75,0.00,10.00,0.0,1011.49,32.75,1011.05,30.5
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.00,10-12-2019,10:00:00,25.0,000,75,0.00,10.00,0.0,1011.07,31.72,1010.08,30.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,10-12-2019,10:00:00,26.7,280,87,0.00,10.00,7.4,1011.87,35.08,1011.06,29.1
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,39.10,10-12-2019,10:00:00,25.5,000,79,0.00,14.00,0.0,1011.59,32.71,1009.78,29.5
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-12-2019,10:00:00,24.5,060,73,0.00,12.00,3.7,1011.31,30.67,1010.56,29.9
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,22.60,10-12-2019,10:00:00,24.3,990,75,0.00,10.00,5.6,1011.68,30.40,1007.69,29.2
48570,SATUN,สตูล,สตูล,6.65000,100.08333,3.80,10-12-2019,10:00:00,24.7,000,69,0.00,10.00,0.0,1012.33,31.19,1011.65,31.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.40,10-12-2019,10:00:00,24.4,000,71,0.00,10.00,0.0,1011.14,30.62,1010.03,30.3
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,10-12-2019,10:00:00,25.0,000,72,0.00,11.00,0.0,1011.30,31.60,1008.40,30.5
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,10-12-2019,10:00:00,24.6,040,68,0.00,12.00,5.6,1011.02,30.94,1010.34,31.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,10-12-2019,10:00:00,22.6,000,62,0.00,10.00,0.0,1011.30,27.43,1007.21,30.8
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-12-2019,10:00:00,23.5,050,64,0.00,12.00,11.1,1010.98,28.92,1010.40,31.0
