WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,DewPoint,WindDirection,RelativeHumidity,Rainfall,LandVisibility,WindSpeed,MeanSeaLevelPressure,VaporPressure,StationPressure,AirTemperature
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-12-2019,10:00:00,23.0,000,74,0.00,10.00,0.0,1011.93,28.04,981.07,28.1
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-12-2019,10:00:00,18.7,000,99,0.00,8.00,0.0,1011.30,21.60,849.40,18.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-12-2019,10:00:00,22.5,100,68,0.00,8.00,7.4,1011.68,27.30,968.33,29.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-12-2019,10:00:00,23.2,000,71,0.00,15.00,0.0,1011.87,28.37,966.63,29.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,10-12-2019,10:00:00,25.0,000,77,0.00,12.00,0.0,1011.95,31.77,974.61,29.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-12-2019,10:00:00,24.0,310,76,0.00,7.00,7.4,1011.86,29.90,967.03,28.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,10-12-2019,10:00:00,23.9,170,74,0.00,12.00,3.7,1012.62,29.74,986.01,29.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-12-2019,10:00:00,24.8,000,72,0.00,10.00,0.0,1011.65,31.31,990.08,30.5
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-12-2019,10:00:00,24.0,000,82,0.00,8.00,0.0,1012.64,29.77,988.48,27.3
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-12-2019,10:00:00,23.1,300,66,0.00,12.00,3.7,1012.23,28.20,978.01,30.2
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-12-2019,10:00:00,24.2,000,69,0.00,10.00,0.0,1012.39,30.18,985.10,30.5
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,10-12-2019,10:00:00,24.3,000,84,0.00,12.00,0.0,1012.22,30.39,978.61,27.2
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,4.00,10-12-2019,10:00:00,24.8,000,78,0.00,4.00,0.0,1011.68,31.33,993.25,29.1
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,10-12-2019,10:00:00,23.7,000,69,0.00,10.00,0.0,1011.91,29.27,989.24,29.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-12-2019,10:00:00,23.2,000,71,0.00,12.00,0.0,1012.08,28.37,982.31,29.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-12-2019,10:00:00,23.7,000,71,0.00,8.00,0.0,1011.71,29.33,976.43,29.5
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,10-12-2019,10:00:00,24.6,000,72,0.00,12.00,0.0,1010.73,30.91,981.29,30.3
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-12-2019,10:00:00,24.7,000,70,0.00,9.00,0.0,1011.30,31.06,1004.05,30.8
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-12-2019,10:00:00,24.4,100,66,0.00,8.00,9.3,1011.48,30.49,991.80,31.5
