WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,MinimumTemperature,WindSpeed,LandVisibility,StationPressure,MeanSeaLevelPressure,WindDirection,VaporPressure,Rainfall,RelativeHumidity,DewPoint
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,32.50,09-12-2019,07:00:00,24.3,23.4,0.0,10.00,994.88,1012.80,000,29.57,32.00,97,23.9
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,24.10,09-12-2019,07:00:00,24.1,23.7,0.0,7.00,995.67,1012.07,000,30.00,23.70,100,24.1
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.10,09-12-2019,07:00:00,26.1,25.0,5.6,10.00,998.08,1012.23,250,29.41,0.00,87,23.8
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-12-2019,07:00:00,25.5,24.1,0.0,9.00,997.50,1012.48,000,29.91,0.00,92,24.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.50,09-12-2019,07:00:00,25.2,23.2,7.4,8.00,997.65,1012.49,240,30.96,0.00,97,24.6
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.40,09-12-2019,07:00:00,25.8,24.6,0.0,10.00,1009.12,1012.17,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",31.55,0.00,95,24.9
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.70,09-12-2019,07:00:00,24.5,24.1,0.0,7.00,1004.83,1012.89,000,28.11,0.00,91,23.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,23.00,09-12-2019,07:00:00,25.0,23.8,0.0,7.00,1011.57,1012.70,000,29.00,0.00,92,23.5
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-12-2019,07:00:00,25.9,25.0,3.7,8.00,997.77,1012.59,100,29.31,0.00,88,23.7
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,7.20,09-12-2019,07:00:00,18.5,16.8,9.3,3.00,878.00,1014.41,270,18.13,0.00,85,16.0
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,20.00,09-12-2019,07:00:00,24.5,23.6,0.0,8.00,1007.31,1013.27,000,29.93,0.00,97,24.1
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,09-12-2019,07:00:00,25.5,24.8,3.7,9.00,1011.55,1012.36,050,31.25,0.00,96,24.8
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-12-2019,07:00:00,26.4,26.2,3.7,10.00,1011.51,1011.95,120,30.51,0.00,89,24.4
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,3.00,09-12-2019,07:00:00,23.0,22.5,0.0,6.00,1002.06,1013.59,000,27.07,0.00,96,22.4
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,1.40,09-12-2019,07:00:00,25.6,25.0,0.0,10.00,1011.34,1012.36,000,31.17,0.00,95,24.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,8.50,09-12-2019,07:00:00,24.8,24.1,0.0,8.00,1010.97,1012.82,000,29.42,0.00,94,23.8
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.10,09-12-2019,07:00:00,25.2,24.5,0.0,7.00,1012.19,1012.96,000,28.06,0.00,88,23.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.60,09-12-2019,07:00:00,26.3,24.5,7.4,10.00,1011.70,1012.41,020,27.41,0.00,80,22.6
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,20.50,09-12-2019,07:00:00,25.0,24.3,0.0,7.00,1011.85,1012.56,000,29.52,0.00,93,23.8
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,9.00,09-12-2019,07:00:00,24.1,22.8,0.0,10.00,991.62,1013.11,000,28.44,0.00,95,23.2
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,8.40,09-12-2019,07:00:00,23.7,22.5,0.0,7.00,995.52,1012.51,000,28.26,3.90,96,23.1
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,27.10,09-12-2019,07:00:00,23.8,22.3,0.0,9.00,996.16,1012.86,000,28.18,2.40,96,23.1
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-12-2019,07:00:00,24.0,23.7,0.0,10.00,990.15,1012.34,000,27.25,0.00,91,22.5
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,20.20,09-12-2019,07:00:00,22.0,21.6,0.0,10.00,969.14,1013.37,000,25.69,0.00,97,21.5
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,6.00,09-12-2019,07:00:00,24.0,23.4,3.7,7.00,991.51,1012.38,230,28.53,0.80,96,23.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,1.20,09-12-2019,07:00:00,23.4,22.9,3.7,5.00,992.80,1014.01,240,28.76,0.00,100,23.4
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.50,09-12-2019,07:00:00,26.0,25.4,1.9,10.00,1012.04,1012.48,360,28.97,0.00,86,23.5
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,40.10,09-12-2019,07:00:00,24.0,23.5,0.0,8.00,1011.04,1012.48,000,29.04,0.00,97,23.6
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,3.00,09-12-2019,07:00:00,24.2,23.8,0.0,7.00,1007.51,1012.52,000,29.66,0.00,98,23.9
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,09-12-2019,07:00:00,25.4,23.6,0.0,10.00,1009.36,1012.69,000,26.61,0.00,82,22.1
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,16.40,09-12-2019,07:00:00,24.2,23.5,0.0,10.00,1011.41,1012.53,000,29.66,0.00,98,23.9
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,7.60,09-12-2019,07:00:00,26.0,24.7,0.0,9.00,1011.72,1012.03,000,30.03,0.01,89,24.1
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,32.90,09-12-2019,07:00:00,24.9,23.0,0.0,10.00,1011.18,1011.87,000,29.61,32.90,94,23.9
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,1.80,09-12-2019,07:00:00,24.5,24.2,0.0,10.00,1012.47,1012.97,000,29.41,0.00,96,23.8
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,1.20,09-12-2019,07:00:00,26.1,24.5,3.7,10.00,1010.93,1012.35,060,29.68,0.00,88,23.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,09-12-2019,07:00:00,28.0,27.5,14.8,10.00,1010.63,1012.32,010,31.95,0.00,85,25.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.20,09-12-2019,07:00:00,23.5,23.2,0.0,10.00,1006.11,1014.27,000,27.66,0.00,96,22.8
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,09-12-2019,07:00:00,26.0,25.0,7.4,10.00,1011.82,1012.10,050,28.97,0.00,86,23.5
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,09-12-2019,07:00:00,27.0,25.5,0.0,10.00,1009.14,1012.29,000,30.02,0.00,84,24.1
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,09-12-2019,07:00:00,27.0,26.5,0.0,10.00,1005.31,1012.29,000,31.11,0.00,87,24.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,15.50,09-12-2019,07:00:00,24.0,23.5,0.0,10.00,1007.30,1012.99,000,29.04,0.00,97,23.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,09-12-2019,07:00:00,26.5,26.1,5.6,8.00,1003.68,1013.06,030,29.89,0.00,86,24.0
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,09-12-2019,07:00:00,24.1,23.5,3.7,12.00,1011.93,1013.21,320,29.22,0.00,97,23.7
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,09-12-2019,07:00:00,25.6,25.0,3.7,11.00,1011.89,1012.33,330,28.77,0.00,88,23.4
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,09-12-2019,07:00:00,23.0,22.1,5.6,10.00,1001.78,1014.29,280,25.84,0.00,92,21.6
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,09-12-2019,07:00:00,25.6,25.2,0.0,10.00,1011.34,1012.07,000,27.21,0.00,83,22.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,09-12-2019,07:00:00,26.4,26.0,3.7,10.00,1009.94,1012.40,010,29.17,0.00,85,23.6
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.20,09-12-2019,07:00:00,26.1,26.0,0.0,10.00,1011.77,1012.30,000,32.12,0.20,95,25.2
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,09-12-2019,07:00:00,25.7,24.7,0.0,11.00,1007.31,1012.52,000,28.16,0.00,85,23.0
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,16.90,09-12-2019,07:00:00,24.8,24.0,0.0,8.00,1012.30,1012.72,000,29.95,0.90,96,24.1
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,7.00,09-12-2019,07:00:00,26.0,25.5,0.0,8.00,1009.91,1012.70,000,32.20,0.00,96,25.3
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,09-12-2019,07:00:00,24.5,23.5,0.0,10.00,1012.77,1013.57,000,28.89,0.00,94,23.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.50,09-12-2019,07:00:00,23.3,22.6,5.6,8.00,1012.54,1013.00,090,27.33,0.00,96,22.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,2.80,09-12-2019,07:00:00,23.8,23.4,0.0,3.00,1011.98,1012.68,000,28.69,0.00,97,23.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.80,09-12-2019,07:00:00,23.8,23.8,0.0,8.00,1011.48,1013.03,000,28.43,0.00,97,23.2
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-12-2019,07:00:00,24.0,23.9,0.0,10.00,1012.46,1013.39,000,27.25,0.00,91,22.5
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-12-2019,07:00:00,26.2,24.4,0.0,10.00,1012.22,1012.92,000,32.59,0.00,96,25.5
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,9.00,09-12-2019,07:00:00,23.4,23.2,0.0,8.00,1012.80,1013.61,000,27.75,0.00,96,22.8
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,2.20,09-12-2019,07:00:00,24.5,23.6,5.6,8.00,1012.24,1012.88,200,29.41,0.00,96,23.8
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.01,09-12-2019,07:00:00,24.8,24.3,0.0,10.00,1013.13,1013.54,000,30.48,0.00,97,24.4
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,3.10,09-12-2019,07:00:00,24.0,23.6,0.0,6.00,1010.16,1014.44,000,26.25,0.00,88,21.9
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,4.20,09-12-2019,07:00:00,23.1,22.9,0.0,10.00,1011.65,1013.29,000,27.74,0.00,98,22.8
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-12-2019,07:00:00,23.6,23.4,0.0,6.00,1009.61,1013.15,000,28.60,0.00,98,23.3
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,2.50,09-12-2019,07:00:00,23.7,23.6,3.7,7.00,1011.96,1013.34,270,29.03,0.00,99,23.5
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-12-2019,07:00:00,24.2,23.8,0.0,10.00,1011.27,1012.17,000,28.88,0.00,96,23.5
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-12-2019,07:00:00,24.4,23.4,0.0,10.00,1009.64,1013.25,000,27.69,0.00,91,22.8
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-12-2019,07:00:00,26.2,25.6,0.0,10.00,1012.33,1012.77,000,31.22,0.00,92,24.8
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,1.20,09-12-2019,07:00:00,25.4,22.5,0.0,10.00,1011.54,1012.55,000,31.33,0.00,97,24.8
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-12-2019,07:00:00,26.0,25.0,0.0,10.00,1011.67,1012.49,000,30.84,0.00,92,24.6
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-12-2019,07:00:00,24.7,24.3,0.0,2.00,1011.32,1013.16,000,30.03,0.00,97,24.1
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-12-2019,07:00:00,26.0,24.6,3.7,9.00,1012.76,1013.52,140,29.50,0.00,88,23.8
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,1.40,09-12-2019,07:00:00,24.5,23.5,0.0,5.00,1009.46,1013.51,000,29.93,0.00,97,24.1
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-12-2019,07:00:00,25.0,23.6,0.0,7.00,1012.34,1013.03,000,29.00,0.00,92,23.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,2.40,09-12-2019,07:00:00,24.8,23.9,0.0,8.00,1012.74,1013.87,000,30.48,0.00,97,24.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,1.60,09-12-2019,07:00:00,24.4,22.9,0.0,7.00,1010.55,1013.51,000,29.75,0.00,97,24.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-12-2019,07:00:00,24.9,24.5,0.0,7.00,1012.71,1013.41,000,30.40,0.00,97,24.3
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,4.30,09-12-2019,07:00:00,24.2,24.0,3.7,4.00,1009.82,1014.01,230,28.62,4.30,95,23.3
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,71.10,09-12-2019,07:00:00,24.5,.0,5.6,6.00,1012.73,1013.33,270,29.41,0.00,96,23.8
