WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,AirTemperature,MinimumTemperature,WindSpeed,LandVisibility,StationPressure,MeanSeaLevelPressure,WindDirection,VaporPressure,Rainfall,RelativeHumidity,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,3.10,09-12-2019,07:00:00,23.9,23.5,0.0,8.00,981.36,1012.67,000,27.34,0.00,92,22.6
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1.20,09-12-2019,07:00:00,17.2,17.0,0.0,8.00,847.67,1010.24,000,19.19,0.00,98,16.9
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,6.70,09-12-2019,07:00:00,24.2,23.7,0.0,12.00,969.34,1013.44,000,27.85,0.00,92,22.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,3.00,09-12-2019,07:00:00,23.2,22.9,0.0,15.00,967.17,1013.34,000,26.41,0.00,93,22.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,4.00,09-12-2019,07:00:00,23.5,23.0,0.0,8.00,975.25,1013.39,000,28.68,0.00,99,23.3
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.10,09-12-2019,07:00:00,24.2,23.5,0.0,10.00,966.99,1012.53,000,27.85,0.00,92,22.9
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1.90,09-12-2019,07:00:00,24.5,24.3,0.0,9.00,985.95,1012.97,000,29.41,0.00,96,23.8
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1.30,09-12-2019,07:00:00,23.3,23.2,0.0,11.00,991.05,1013.16,000,27.58,0.00,96,22.7
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,4.20,09-12-2019,07:00:00,23.2,21.2,0.0,6.00,989.14,1013.65,000,27.91,0.00,98,22.9
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.30,09-12-2019,07:00:00,24.5,24.4,0.0,10.00,977.97,1012.85,000,26.84,0.00,87,22.3
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1.10,09-12-2019,07:00:00,24.1,23.8,0.0,10.00,985.43,1013.33,000,27.68,0.00,92,22.8
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.40,09-12-2019,07:00:00,24.7,24.5,0.0,10.00,978.48,1012.37,000,29.51,0.00,95,23.8
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.20,09-12-2019,07:00:00,24.5,24.4,0.0,10.00,993.95,1012.68,000,29.67,0.00,97,23.9
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-12-2019,07:00:00,24.8,24.4,0.0,10.00,989.64,1012.71,000,29.69,0.00,95,23.9
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.01,09-12-2019,07:00:00,24.4,23.9,0.0,8.00,982.54,1012.78,000,28.20,0.00,92,23.1
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1.60,09-12-2019,07:00:00,23.6,23.4,0.0,8.00,976.73,1012.73,000,28.09,0.00,96,23.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-12-2019,07:00:00,24.1,24.1,0.0,12.00,981.81,1011.88,000,29.74,0.00,99,23.9
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,9.20,09-12-2019,07:00:00,25.0,24.9,0.0,8.00,1005.36,1012.75,000,30.05,0.00,95,24.1
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,2.60,09-12-2019,07:00:00,25.0,24.3,5.6,15.00,992.11,1012.23,260,30.32,0.00,96,24.3
48353,LOEI,เลย,เลย,17.45000,101.73333,0.01,09-12-2019,07:00:00,24.5,24.0,5.6,12.00,983.20,1012.20,020,29.41,0.00,96,23.8
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,23.40,09-12-2019,07:00:00,24.2,23.0,0.0,15.00,991.79,1012.24,000,28.88,0.20,96,23.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1.70,09-12-2019,07:00:00,24.8,24.5,0.0,12.00,990.54,1012.53,000,29.16,0.40,93,23.6
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.10,09-12-2019,07:00:00,25.2,24.5,0.0,14.00,992.06,1011.74,000,31.22,0.00,97,24.8
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.80,09-12-2019,07:00:00,25.0,24.1,0.0,12.00,995.75,1012.70,000,29.26,0.00,92,23.7
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,2.90,09-12-2019,07:00:00,25.0,23.8,0.0,11.00,995.07,1012.68,000,30.32,0.00,96,24.3
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,11.90,09-12-2019,07:00:00,24.2,24.2,0.0,9.00,985.73,1011.85,000,29.66,0.01,98,23.9
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.60,09-12-2019,07:00:00,25.0,23.5,3.7,10.00,1007.12,1012.98,270,30.32,0.00,96,24.3
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.50,09-12-2019,07:00:00,24.5,24.0,7.4,10.00,1006.40,1012.67,270,29.41,0.00,96,23.8
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,17.90,09-12-2019,07:00:00,24.0,23.5,0.0,10.00,996.83,1013.53,000,28.53,0.00,96,23.3
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,8.10,09-12-2019,07:00:00,22.8,22.2,0.0,10.00,989.46,1012.21,000,26.50,0.30,96,22.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,1.60,09-12-2019,07:00:00,24.4,23.8,0.0,6.00,999.10,1013.70,000,27.69,0.00,91,22.8
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,5.00,09-12-2019,07:00:00,23.5,23.0,0.0,7.00,996.82,1013.50,000,27.66,0.00,96,22.8
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.10,09-12-2019,07:00:00,25.0,24.5,0.0,10.00,1007.57,1012.86,000,30.85,0.00,97,24.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.60,09-12-2019,07:00:00,24.6,23.9,0.0,10.00,997.97,1011.33,000,29.33,0.00,95,23.7
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.20,09-12-2019,07:00:00,24.8,24.5,3.7,10.00,1003.53,1012.97,210,30.48,0.00,97,24.4
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.60,09-12-2019,07:00:00,25.0,24.2,0.0,8.00,990.56,1012.50,000,30.32,0.00,96,24.3
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.70,09-12-2019,07:00:00,26.2,23.7,5.6,10.00,994.74,1012.38,230,30.67,0.00,90,24.5
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1.70,09-12-2019,07:00:00,25.5,24.7,3.7,10.00,995.46,1011.44,230,30.44,0.00,93,24.3
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.30,09-12-2019,07:00:00,25.1,24.6,0.0,10.00,992.44,1011.53,000,30.23,0.00,95,24.2
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,5.00,09-12-2019,07:00:00,21.0,20.5,0.0,7.00,962.00,1014.39,000,23.69,0.00,95,20.2
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,27.40,09-12-2019,07:00:00,25.0,23.8,3.7,6.00,1009.71,1013.72,210,30.32,0.00,96,24.3
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,6.00,09-12-2019,07:00:00,19.5,18.9,5.6,4.00,917.50,1013.85,200,21.54,0.01,95,18.7
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.40,09-12-2019,07:00:00,25.0,24.2,0.0,8.00,996.33,1012.51,000,30.32,0.20,96,24.3
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.01,09-12-2019,07:00:00,25.2,24.6,0.0,9.00,1008.97,1013.05,000,30.15,0.01,94,24.2
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,1.80,09-12-2019,07:00:00,24.3,23.7,0.0,9.00,1003.23,1014.08,000,28.54,0.00,94,23.3
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.20,09-12-2019,07:00:00,25.0,24.6,0.0,8.00,1010.98,1012.94,000,29.26,0.00,92,23.7
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.80,09-12-2019,07:00:00,24.3,23.8,0.0,10.00,991.54,1012.71,000,28.54,0.00,94,23.3
