WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,StationPressure,WindDirection,Rainfall24Hr,VaporPressure,LandVisibility,WindSpeed,MeanSeaLevelPressure,DewPoint
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,10-15-2019,16:00:00,55,30.7,995.51,070,0.00,24.32,13.00,3.7,1012.13,20.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1.00,10-15-2019,16:00:00,61,29.0,995.06,090,1.00,24.42,12.00,11.1,1012.44,20.7
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,10-15-2019,16:00:00,54,31.7,984.89,080,0.00,25.35,12.00,13.0,1010.34,21.3
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,10-15-2019,16:00:00,54,35.0,1004.75,030,0.00,30.52,8.00,3.7,1010.41,24.4
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,10-15-2019,16:00:00,55,34.3,1003.89,050,0.00,29.92,8.00,11.1,1009.95,24.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,10-15-2019,16:00:00,56,30.8,994.88,000,0.00,24.76,12.00,0.0,1011.18,20.9
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,10-15-2019,16:00:00,54,31.6,986.78,060,0.00,25.16,10.00,18.5,1008.81,21.2
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,10-15-2019,16:00:00,56,33.0,996.69,050,0.00,28.12,7.00,3.7,1010.85,23.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,10-15-2019,16:00:00,73,28.6,994.67,000,0.00,28.70,8.00,0.0,1011.03,23.4
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,10-15-2019,16:00:00,47,34.5,1004.65,000,0.00,25.77,12.00,0.0,1009.76,21.6
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,10-15-2019,16:00:00,50,33.5,995.52,060,0.00,26.04,12.00,5.6,1008.46,21.8
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,7.50,10-15-2019,16:00:00,57,33.6,1000.84,310,7.50,29.62,13.00,3.7,1009.99,23.9
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,12.20,10-15-2019,16:00:00,89,25.8,989.39,000,12.20,29.66,10.00,0.0,1011.25,23.9
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1.10,10-15-2019,16:00:00,77,28.0,993.60,060,1.10,29.19,10.00,13.0,1011.11,23.6
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,10-15-2019,16:00:00,61,31.5,994.78,070,0.00,28.23,11.00,7.4,1010.43,23.1
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,4.50,10-15-2019,16:00:00,87,26.9,991.61,000,4.50,30.91,10.00,0.0,1010.56,24.6
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,10-15-2019,16:00:00,52,31.0,960.05,100,0.00,23.55,10.00,9.3,1010.58,20.1
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,10-15-2019,16:00:00,54,34.1,1005.55,000,0.00,28.92,12.00,0.0,1009.42,23.5
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,2.60,10-15-2019,16:00:00,82,24.1,916.52,000,2.60,24.70,5.00,0.0,1011.23,20.9
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,1.60,10-15-2019,16:00:00,75,27.7,995.46,030,1.60,27.83,10.00,5.6,1011.48,22.9
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,10-15-2019,16:00:00,55,34.0,1006.09,040,0.00,29.00,7.00,7.4,1010.04,23.5
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,10-15-2019,16:00:00,54,32.5,999.78,060,0.00,26.31,10.00,5.6,1010.30,21.9
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,10-15-2019,16:00:00,52,33.5,1007.94,060,0.00,27.15,11.00,7.4,1009.84,22.4
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1.70,10-15-2019,16:00:00,57,31.8,989.65,030,1.70,26.89,10.00,9.3,1010.25,22.3
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,10-15-2019,16:00:00,71,27.8,992.73,040,0.00,26.70,11.00,14.8,1010.40,22.2
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,10-15-2019,16:00:00,70,28.3,994.31,320,0.00,26.81,10.00,5.6,1010.46,22.2
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,10-15-2019,16:00:00,60,32.2,995.76,060,0.00,29.06,10.00,9.3,1009.59,23.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,16.60,10-15-2019,16:00:00,69,31.0,995.96,000,16.60,31.19,10.00,0.0,1010.64,24.7
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,10-15-2019,16:00:00,66,31.6,996.29,000,0.00,30.69,12.00,0.0,1010.80,24.5
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,10-15-2019,16:00:00,49,33.8,1006.83,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.00,25.51,10.00,0.0,1009.79,21.4
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,10-15-2019,16:00:00,48,33.4,1001.51,040,0.00,24.75,10.00,7.4,1009.31,20.9
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,10-15-2019,16:00:00,55,33.7,1007.92,010,6.10,28.68,8.00,5.6,1009.01,23.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,10-15-2019,16:00:00,73,30.8,995.70,060,0.00,32.51,9.00,3.7,1010.25,25.4
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,10-15-2019,16:00:00,76,23.3,875.52,320,0.00,21.80,8.00,1.9,1009.22,18.9
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,10-15-2019,16:00:00,56,32.6,1003.95,050,0.00,27.33,10.00,3.7,1009.74,22.6
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,10-15-2019,16:00:00,49,35.0,1008.22,150,3.60,27.61,8.00,7.4,1009.01,22.7
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,10-15-2019,16:00:00,61,31.3,1008.53,120,0.00,27.85,10.00,18.5,1008.97,22.9
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,10-15-2019,16:00:00,55,33.0,998.54,000,0.00,27.84,10.00,0.0,1009.65,22.9
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,10-15-2019,16:00:00,55,33.0,1008.63,030,0.00,27.56,10.00,5.6,1009.63,22.7
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,10-15-2019,16:00:00,52,33.7,1007.87,050,0.00,27.26,8.00,5.6,1009.66,22.5
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,10-15-2019,16:00:00,58,32.8,1008.81,000,4.90,28.85,9.00,0.0,1009.56,23.4
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,10-15-2019,16:00:00,56,32.3,1008.33,070,0.00,27.02,9.00,9.3,1009.03,22.4
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,10-15-2019,16:00:00,50,34.1,1007.70,110,0.00,26.93,10.00,3.7,1008.38,22.3
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,10-15-2019,16:00:00,58,31.3,988.90,080,0.00,26.48,10.00,9.3,1009.81,22.0
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,10-15-2019,16:00:00,59,31.9,993.11,060,0.00,27.91,11.00,5.6,1009.60,22.9
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,10-15-2019,16:00:00,61,32.4,994.25,050,0.00,29.46,10.00,9.3,1010.44,23.8
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,10-15-2019,16:00:00,61,32.5,987.98,060,0.00,29.66,8.00,9.3,1009.50,23.9
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,10-15-2019,16:00:00,61,29.5,966.69,050,0.00,25.30,12.00,7.4,1009.69,21.3
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,10-15-2019,16:00:00,60,32.0,988.92,350,0.00,28.66,10.00,9.3,1009.19,23.3
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,10-15-2019,16:00:00,75,30.3,990.93,030,0.00,32.34,10.00,18.5,1011.61,25.3
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,10-15-2019,16:00:00,66,32.0,1008.51,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",8.50,31.52,10.00,0.0,1008.93,24.9
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,6.60,10-15-2019,16:00:00,90,26.0,1007.71,000,6.60,30.30,10.00,0.0,1009.14,24.3
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,10-15-2019,16:00:00,64,32.0,1004.00,000,1.00,30.65,9.00,0.0,1008.86,24.5
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.00,10-15-2019,16:00:00,55,33.1,1006.19,000,0.30,28.04,12.00,0.0,1009.43,23.0
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,10-15-2019,16:00:00,56,33.0,1008.17,340,0.00,28.12,10.00,7.4,1009.25,23.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,10-15-2019,16:00:00,56,33.0,1008.65,070,0.20,28.12,10.00,7.4,1008.95,23.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,10-15-2019,16:00:00,53,34.2,1007.96,140,0.01,28.26,10.00,5.6,1008.63,23.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,10-15-2019,16:00:00,55,33.4,1007.95,330,0.00,28.07,10.00,3.7,1008.43,23.0
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,10-15-2019,16:00:00,56,32.9,1007.76,050,0.01,27.92,10.00,11.1,1009.15,22.9
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,10-15-2019,16:00:00,66,31.8,1007.27,050,0.00,30.81,10.00,14.8,1008.92,24.5
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,10-15-2019,16:00:00,64,32.5,1002.73,000,0.00,31.11,10.00,0.0,1010.62,24.7
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,10-15-2019,16:00:00,59,34.0,1008.23,060,0.00,31.34,8.00,7.4,1008.51,24.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,10-15-2019,16:00:00,62,33.3,1005.38,250,0.00,31.92,10.00,5.6,1008.46,25.1
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,10-15-2019,16:00:00,63,31.5,1001.51,060,0.01,29.07,10.00,14.8,1008.36,23.6
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,10-15-2019,16:00:00,53,33.6,1003.82,000,0.00,27.34,8.00,0.0,1009.31,22.6
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,10-15-2019,16:00:00,68,31.3,1000.05,030,8.40,31.23,10.00,7.4,1009.25,24.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,10-15-2019,16:00:00,62,32.1,1009.02,020,27.00,29.71,12.00,1.9,1010.26,23.9
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,10-15-2019,16:00:00,62,32.6,1008.51,340,1.20,30.44,11.00,13.0,1008.93,24.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.00,10-15-2019,16:00:00,60,31.5,996.98,060,0.00,27.68,7.00,11.1,1009.08,22.8
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,10-15-2019,16:00:00,70,31.7,1008.56,020,0.00,32.64,8.00,7.4,1009.27,25.5
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,10-15-2019,16:00:00,70,31.4,1006.65,080,0.00,32.01,10.00,11.1,1009.05,25.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,10-15-2019,16:00:00,65,33.0,1007.80,190,0.00,32.76,10.00,5.6,1008.31,25.6
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,10-15-2019,16:00:00,61,31.8,1003.28,250,0.00,28.82,12.00,5.6,1008.36,23.4
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.80,10-15-2019,16:00:00,66,31.5,1007.99,030,0.80,30.49,8.00,7.4,1008.39,24.4
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,10-15-2019,16:00:00,69,31.0,1006.13,200,0.00,30.90,8.00,3.7,1008.86,24.6
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.00,10-15-2019,16:00:00,62,31.7,1008.32,030,0.00,28.91,10.00,11.1,1009.09,23.5
48501,TRAD,ตราด,ตราด,11.76667,102.88333,0.00,10-15-2019,16:00:00,67,31.5,1007.73,210,3.60,30.77,10.00,3.7,1008.18,24.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.00,10-15-2019,16:00:00,75,29.5,1008.22,060,7.00,30.72,8.00,3.7,1008.89,24.5
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,10-15-2019,16:00:00,76,29.5,1007.28,070,10.80,31.28,9.00,7.4,1008.79,24.8
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.30,10-15-2019,16:00:00,73,28.6,1007.94,030,0.30,28.70,10.00,5.6,1008.85,23.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,10-15-2019,16:00:00,83,29.1,1008.44,060,9.20,33.33,10.00,7.4,1009.13,25.9
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,10-15-2019,16:00:00,63,31.5,1008.08,060,0.80,29.07,9.00,7.4,1008.86,23.6
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,10-15-2019,16:00:00,70,30.4,1008.48,000,12.00,30.26,10.00,0.0,1009.11,24.2
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,10-15-2019,16:00:00,82,29.0,1007.58,120,8.70,32.83,10.00,14.8,1007.99,25.6
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,10-15-2019,16:00:00,66,31.0,1006.07,040,8.20,29.76,7.00,9.3,1010.24,24.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,10-15-2019,16:00:00,87,26.8,1007.52,240,0.00,30.72,12.00,5.6,1009.13,24.5
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,1.80,10-15-2019,16:00:00,85,28.0,1005.88,000,1.90,31.95,12.00,0.0,1009.35,25.1
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.50,10-15-2019,16:00:00,89,28.4,1007.23,120,5.30,34.48,9.00,5.6,1008.58,26.4
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,2.90,10-15-2019,16:00:00,76,29.0,1007.29,000,5.20,30.29,10.00,0.0,1008.17,24.3
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,1.60,10-15-2019,16:00:00,86,25.4,1005.29,050,1.60,27.89,10.00,7.4,1008.87,22.9
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,10-15-2019,16:00:00,75,28.8,1007.83,030,28.20,29.63,10.00,3.7,1008.27,23.9
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.01,10-15-2019,16:00:00,76,27.7,1007.71,050,0.01,28.37,9.00,11.1,1008.70,23.2
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,14.40,10-15-2019,16:00:00,91,24.0,1008.27,070,14.40,27.25,8.00,5.6,1009.10,22.5
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.90,10-15-2019,16:00:00,91,26.2,1006.95,000,0.90,30.94,7.00,0.0,1008.77,24.6
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,10-15-2019,16:00:00,75,29.2,1007.91,070,11.30,30.40,10.00,5.6,1008.66,24.3
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.01,10-15-2019,16:00:00,75,28.8,1004.65,110,7.20,29.63,10.00,5.6,1008.63,23.9
48570,SATUN,สตูล,สตูล,6.65000,100.08333,2.30,10-15-2019,16:00:00,91,26.1,1008.02,000,2.30,30.76,7.00,0.0,1008.70,24.5
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.80,10-15-2019,16:00:00,86,28.9,1007.95,070,0.80,34.36,12.00,5.6,1009.06,26.4
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.30,10-15-2019,16:00:00,78,30.0,1005.61,050,6.10,33.17,12.00,3.7,1008.50,25.8
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,1.90,10-15-2019,16:00:00,88,27.3,1008.08,000,10.60,31.97,6.00,0.0,1008.77,25.2
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,1.00,10-15-2019,16:00:00,93,25.9,1005.30,000,9.30,30.92,8.00,0.0,1009.44,24.6
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,10-15-2019,16:00:00,67,30.5,1007.90,140,0.00,29.33,12.00,7.4,1008.48,23.7
