WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,AirTemperature,StationPressure,WindDirection,Rainfall24Hr,VaporPressure,LandVisibility,WindSpeed,MeanSeaLevelPressure,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,10-15-2019,16:00:00,60,31.5,980.07,250,0.10,27.68,15.00,3.7,1010.55,22.8
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,10-15-2019,16:00:00,88,19.2,850.26,130,8.10,19.64,8.00,7.4,1012.15,17.2
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,10-15-2019,16:00:00,50,32.7,968.26,020,0.00,24.52,12.00,9.3,1011.07,20.8
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,10-15-2019,16:00:00,54,31.5,966.37,000,0.00,24.98,15.00,0.0,1011.22,21.1
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,12.60,10-15-2019,16:00:00,98,26.6,974.65,000,14.10,33.95,8.00,0.0,1012.37,26.2
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,10-15-2019,16:00:00,66,31.0,967.19,300,0.00,29.48,10.00,7.4,1011.70,23.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.10,10-15-2019,16:00:00,72,27.9,985.62,350,0.10,27.14,8.00,3.7,1012.33,22.4
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,10-15-2019,16:00:00,71,30.0,989.19,120,0.00,30.31,15.00,1.9,1010.77,24.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,10-15-2019,16:00:00,59,32.1,986.46,000,0.00,28.02,10.00,0.0,1010.18,23.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,10-15-2019,16:00:00,56,32.2,977.14,020,0.00,27.11,10.00,3.7,1011.10,22.4
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,10-15-2019,16:00:00,71,30.0,986.01,300,0.00,30.03,10.00,9.3,1013.38,24.1
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,2.40,10-15-2019,16:00:00,83,27.6,978.33,000,2.40,30.61,10.00,0.0,1011.89,24.4
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,10-15-2019,16:00:00,54,32.7,992.24,010,0.00,26.69,12.00,3.7,1010.43,22.2
48331,NAN,น่าน,น่าน,18.77972,100.77778,2.10,10-15-2019,16:00:00,83,28.2,988.49,000,2.10,31.79,10.00,0.0,1011.27,25.1
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,10-15-2019,16:00:00,66,30.1,981.15,000,0.01,28.01,12.00,0.0,1010.77,23.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,10-15-2019,16:00:00,69,30.0,976.21,000,0.00,29.47,8.00,0.0,1011.42,23.8
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,4.90,10-15-2019,16:00:00,92,25.0,981.27,270,4.90,29.00,15.00,3.7,1011.23,23.5
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,10-15-2019,16:00:00,42,35.5,1002.75,000,0.00,24.12,10.00,0.0,1009.87,20.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,10-15-2019,16:00:00,55,33.0,991.12,050,0.00,27.84,7.00,14.8,1010.69,22.9
48353,LOEI,เลย,เลย,17.45000,101.73333,0.01,10-15-2019,16:00:00,77,26.5,982.54,200,0.01,26.47,7.00,9.3,1011.32,22.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,10-15-2019,16:00:00,49,32.8,991.20,060,0.00,24.17,15.00,9.3,1011.05,20.5
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,11.50,10-15-2019,16:00:00,87,25.8,990.62,000,20.60,28.87,12.00,0.0,1012.54,23.5
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.00,10-15-2019,16:00:00,84,26.8,992.06,130,5.10,29.64,15.00,3.7,1011.64,23.9
