WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,StationPressure,VaporPressure,DewPoint,RelativeHumidity,WindSpeed,WindDirection,Rainfall,AirTemperature,Rainfall24Hr,LandVisibility
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1007.31,08-13-2019,13:00:00,976.72,30.60,24.4,75,1.9,330,0.01,29.3,0.01,12.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1005.27,08-13-2019,13:00:00,845.36,22.09,19.1,89,18.5,300,0.00,21.0,36.40,8.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1006.98,08-13-2019,13:00:00,963.81,29.08,23.6,73,5.6,180,0.00,28.8,44.60,10.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1006.65,08-13-2019,13:00:00,961.70,29.41,23.8,72,0.0,000,0.00,29.4,20.40,15.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1008.09,08-13-2019,13:00:00,970.57,32.21,25.3,90,0.0,000,0.40,27.0,46.70,6.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1006.93,08-13-2019,13:00:00,962.49,26.21,21.9,62,0.0,000,0.00,30.0,3.80,10.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1008.74,08-13-2019,13:00:00,982.19,31.54,24.9,81,7.4,130,0.10,28.5,9.80,8.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1008.14,08-13-2019,13:00:00,986.56,30.96,24.6,76,1.9,210,0.00,29.2,2.60,10.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1008.43,08-13-2019,13:00:00,984.43,31.39,24.8,83,0.0,000,3.00,28.0,8.80,8.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1007.61,08-13-2019,13:00:00,973.52,29.75,24.0,70,3.7,200,0.00,30.0,5.00,10.00
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1008.05,08-13-2019,13:00:00,980.91,30.41,24.3,68,0.0,000,0.00,30.9,0.00,10.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1007.51,08-13-2019,13:00:00,974.27,29.57,23.9,73,0.0,000,0.00,29.2,20.40,10.00
