WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,WindDirection,RelativeHumidity,DewPoint,LandVisibility,AirTemperature,Rainfall24Hr,StationPressure,VaporPressure,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,07-30-2019,22:00:00,3.7,310,92,25.0,10.00,26.4,0.80,975.61,31.60,1006.47
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,07-30-2019,22:00:00,9.3,260,99,18.2,6.00,18.4,11.00,844.63,20.93,1005.91
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.60,07-30-2019,22:00:00,1.9,230,91,23.3,10.00,24.9,2.50,962.12,28.56,1005.79
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.40,07-30-2019,22:00:00,0.0,000,92,23.1,12.00,24.6,4.60,960.06,28.29,1005.67
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,2.40,07-30-2019,22:00:00,0.0,000,99,24.4,4.00,24.6,24.20,968.85,30.65,1006.61
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,2.30,07-30-2019,22:00:00,0.0,000,94,23.4,8.00,24.4,4.70,961.37,28.71,1006.61
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,2.40,07-30-2019,22:00:00,0.0,000,93,24.1,6.00,25.3,55.70,979.95,30.07,1006.74
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-30-2019,22:00:00,3.7,200,64,21.0,12.00,28.5,0.00,984.76,24.83,1006.35
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.10,07-30-2019,22:00:00,0.0,000,88,22.8,8.00,25.0,7.40,984.88,27.70,1009.13
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1.20,07-30-2019,22:00:00,0.0,000,88,23.8,10.00,26.0,1.20,972.02,29.50,1006.52
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-30-2019,22:00:00,0.0,000,78,24.2,10.00,28.5,0.10,980.14,30.15,1007.48
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.20,07-30-2019,22:00:00,0.0,000,77,23.1,8.00,27.5,0.40,972.65,28.26,1006.03
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.50,07-30-2019,22:00:00,5.6,180,88,23.8,10.00,26.0,0.50,986.86,29.50,1005.37
48331,NAN,น่าน,น่าน,18.77972,100.77778,12.10,07-30-2019,22:00:00,11.1,070,97,23.5,6.00,24.1,20.40,983.31,28.96,1006.29
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,7.40,07-30-2019,22:00:00,0.0,000,94,24.5,6.00,25.5,20.10,976.26,30.71,1006.20
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-30-2019,22:00:00,0.0,000,72,22.2,6.00,27.7,0.00,970.14,26.78,1005.41
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-30-2019,22:00:00,0.0,000,91,24.6,12.00,26.2,0.80,975.48,30.94,1005.15
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-30-2019,22:00:00,0.0,000,75,23.7,8.00,28.5,1.90,998.67,29.33,1005.93
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.40,07-30-2019,22:00:00,0.0,000,90,25.7,7.00,27.4,26.30,985.91,33.01,1005.74
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-30-2019,22:00:00,0.0,000,84,24.6,12.00,27.5,1.00,976.66,30.97,1005.17
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1.40,07-30-2019,22:00:00,0.0,000,94,25.7,8.00,26.8,15.00,985.70,32.94,1005.85
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.01,07-30-2019,22:00:00,0.0,000,90,25.5,9.00,27.2,22.60,984.42,32.61,1006.09
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,2.00,07-30-2019,22:00:00,0.0,000,96,24.9,8.00,25.6,11.60,985.98,31.44,1005.51
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,07-30-2019,22:00:00,0.0,000,92,25.6,11.00,27.0,8.70,989.42,32.77,1006.14
