WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MinimumTemperature,Date,Time,Rainfall24Hr,StationPressure,VaporPressure,WindDirection,DewPoint,WindSpeed,AirTemperature,RelativeHumidity,LandVisibility,Rainfall,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.5,07-20-2019,07:00:00,0.00,975.21,30.97,000,24.6,0.0,27.5,84,10.00,0.00,1005.94
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,07-20-2019,07:00:00,1.70,844.03,21.96,270,19.0,18.5,19.8,95,8.00,0.00,1004.38
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.6,07-20-2019,07:00:00,0.00,961.42,29.77,100,24.0,3.7,27.3,82,15.00,0.00,1004.71
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,24.2,07-20-2019,07:00:00,0.00,959.50,29.66,000,23.9,0.0,25.8,89,15.00,0.00,1004.90
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.5,07-20-2019,07:00:00,0.00,967.20,30.32,000,24.3,0.0,25.0,96,12.00,0.00,1004.84
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,.0,07-20-2019,07:00:00,0.00,960.00,28.35,150,23.2,9.3,28.7,72,12.00,0.00,1004.52
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.3,07-20-2019,07:00:00,0.00,978.92,30.72,000,24.5,0.0,26.8,87,10.00,0.00,1005.54
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.9,07-20-2019,07:00:00,0.00,984.03,29.15,000,23.6,0.0,27.4,80,15.00,0.00,1005.68
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,07-20-2019,07:00:00,0.00,983.12,31.41,000,24.9,0.0,26.3,92,6.00,0.00,1007.23
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,27.1,07-20-2019,07:00:00,0.00,971.12,28.65,000,23.3,0.0,28.0,76,10.00,0.00,1005.36
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,27.0,07-20-2019,07:00:00,0.00,978.09,28.55,000,23.3,0.0,27.8,76,10.00,0.00,1005.44
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,27.3,07-20-2019,07:00:00,0.00,971.94,27.85,000,22.9,0.0,28.0,74,12.00,0.00,1005.24
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,27.5,07-20-2019,07:00:00,0.00,986.85,28.26,000,23.1,0.0,27.5,77,10.00,0.00,1005.26
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.1,07-20-2019,07:00:00,0.00,982.65,31.11,000,24.7,0.0,27.0,87,10.00,0.00,1005.39
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,24.3,07-20-2019,07:00:00,0.00,975.78,29.56,000,23.8,0.0,25.6,90,9.00,0.00,1005.70
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.2,07-20-2019,07:00:00,0.00,969.84,29.07,000,23.6,0.0,26.2,85,7.00,0.00,1005.27
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.5,07-20-2019,07:00:00,0.00,975.38,31.00,000,24.6,0.0,25.8,93,12.00,0.00,1005.08
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,27.4,07-20-2019,07:00:00,0.00,997.93,29.60,000,23.9,0.0,27.5,81,9.00,0.00,1005.21
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,28.5,07-20-2019,07:00:00,0.00,985.46,33.66,060,26.0,11.1,28.7,86,12.00,0.00,1005.20
48353,LOEI,เลย,เลย,17.45000,101.73333,26.1,07-20-2019,07:00:00,0.00,976.56,30.24,000,24.2,0.0,26.4,88,10.00,0.00,1005.18
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,27.6,07-20-2019,07:00:00,0.00,985.17,32.02,130,25.2,3.7,28.6,82,15.00,0.00,1005.19
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,27.3,07-20-2019,07:00:00,0.00,984.41,29.90,200,24.0,7.4,27.8,80,12.00,0.00,1006.04
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,27.3,07-20-2019,07:00:00,0.00,986.22,30.56,180,24.4,5.6,28.0,81,12.00,0.00,1005.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,27.6,07-20-2019,07:00:00,0.00,990.13,31.62,000,25.0,0.0,28.4,82,11.00,0.00,1006.78
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.6,07-20-2019,07:00:00,0.00,989.43,31.80,000,25.1,0.0,27.5,87,11.00,0.00,1006.80
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,27.0,07-20-2019,07:00:00,0.00,979.15,32.25,000,25.3,0.0,27.3,89,9.00,0.00,1004.82
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,25.4,07-20-2019,07:00:00,0.00,999.28,32.93,150,25.7,3.7,27.5,90,10.00,0.00,1005.04
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.7,07-20-2019,07:00:00,0.00,999.17,31.94,140,25.1,7.4,27.0,90,12.00,0.00,1005.35
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.6,07-20-2019,07:00:00,0.00,990.53,30.34,000,24.3,0.0,26.6,87,10.00,0.00,1006.99
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.5,07-20-2019,07:00:00,0.00,982.88,29.18,000,23.6,0.0,25.1,92,10.00,0.00,1005.30
48376,TAK,ตาก,ตาก,16.87833,99.14333,28.0,07-20-2019,07:00:00,0.00,991.39,27.36,260,22.6,16.7,28.6,70,10.00,0.00,1005.68
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,26.0,07-20-2019,07:00:00,0.00,988.93,27.03,000,22.4,0.0,27.4,74,7.00,0.00,1005.26
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,26.5,07-20-2019,07:00:00,0.00,1000.71,30.59,180,24.4,3.7,27.3,84,10.00,0.00,1005.92
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,26.3,07-20-2019,07:00:00,0.00,991.59,30.02,000,24.1,0.0,27.0,84,12.00,0.00,1004.75
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,26.5,07-20-2019,07:00:00,0.00,996.41,31.00,090,24.6,7.4,26.8,88,10.00,0.00,1005.72
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,27.0,07-20-2019,07:00:00,0.00,984.20,29.46,190,23.8,5.6,28.0,78,9.00,0.00,1005.79
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,25.1,07-20-2019,07:00:00,0.00,988.89,32.10,000,25.2,0.0,28.5,83,10.00,0.00,1006.29
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,26.6,07-20-2019,07:00:00,0.80,990.04,29.93,230,24.1,3.7,27.1,84,10.00,0.00,1005.84
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,27.6,07-20-2019,07:00:00,0.00,986.00,29.05,000,23.6,0.0,28.5,75,10.00,0.00,1004.74
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,22.4,07-20-2019,07:00:00,0.00,956.88,26.91,000,22.3,0.0,23.2,95,7.00,0.00,1008.60
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,25.8,07-20-2019,07:00:00,0.00,1001.88,30.56,160,24.4,5.6,27.0,86,8.00,0.00,1005.83
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,20.8,07-20-2019,07:00:00,0.00,912.49,24.51,280,20.8,5.6,21.7,94,5.00,0.00,1007.58
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,26.8,07-20-2019,07:00:00,0.00,990.36,31.70,000,25.0,0.0,28.3,82,8.00,0.00,1006.27
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.6,07-20-2019,07:00:00,0.00,1001.21,32.95,000,25.7,0.0,26.1,98,10.00,0.00,1005.25
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.9,07-20-2019,07:00:00,0.00,996.35,29.50,000,23.8,0.0,26.0,88,10.00,0.00,1007.06
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.0,07-20-2019,07:00:00,0.00,1004.27,30.34,150,24.3,3.7,26.6,87,12.00,0.00,1006.20
