WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,RelativeHumidity,Date,Time,WindDirection,AirTemperature,Rainfall,StationPressure,LandVisibility,WindSpeed,MeanSeaLevelPressure,VaporPressure,Rainfall24Hr,DewPoint
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,61,10-10-2019,16:00:00,000,32.5,0.00,976.60,15.00,0.0,1006.86,29.66,0.00,23.9
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,97,10-10-2019,16:00:00,140,19.3,4.10,847.42,8.00,7.4,1008.71,21.71,4.10,18.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,55,10-10-2019,16:00:00,000,32.5,0.00,964.04,12.00,0.0,1006.69,26.86,0.00,22.3
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,59,10-10-2019,16:00:00,000,32.0,0.00,962.32,15.00,0.0,1006.91,27.82,0.00,22.8
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,53,10-10-2019,16:00:00,000,33.5,0.00,970.67,12.00,0.0,1007.38,27.43,0.00,22.6
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,60,10-10-2019,16:00:00,290,31.5,0.00,962.56,8.00,9.3,1006.78,27.68,0.00,22.8
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,48,10-10-2019,16:00:00,180,34.7,0.00,981.52,12.00,5.6,1007.52,26.44,0.00,22.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,59,10-10-2019,16:00:00,160,32.5,0.00,986.25,12.00,1.9,1007.58,28.81,1.40,23.4
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,59,10-10-2019,16:00:00,000,33.5,0.00,983.53,10.00,0.0,1007.08,30.28,10.10,24.2
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,51,10-10-2019,16:00:00,190,33.0,0.00,973.10,12.00,3.7,1006.83,25.63,0.00,21.5
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,56,10-10-2019,16:00:00,000,33.5,0.00,980.29,10.00,0.0,1007.19,28.84,0.00,23.4
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,55,10-10-2019,16:00:00,000,32.7,0.00,973.83,12.00,0.0,1006.67,26.97,0.00,22.3
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,50,10-10-2019,16:00:00,000,34.8,0.00,988.99,12.00,0.0,1007.00,27.77,0.00,22.8
48331,NAN,น่าน,น่าน,18.77972,100.77778,51,10-10-2019,16:00:00,000,34.7,0.00,984.88,10.00,0.0,1007.09,28.43,0.00,23.2
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,51,10-10-2019,16:00:00,000,34.5,0.00,977.72,12.00,0.0,1006.82,28.02,0.00,23.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,60,10-10-2019,16:00:00,000,32.2,0.00,972.66,8.00,0.0,1007.48,29.06,0.00,23.6
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,83,10-10-2019,16:00:00,000,29.2,1.80,978.26,16.00,0.0,1007.71,33.83,1.80,26.1
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,51,10-10-2019,16:00:00,000,35.2,0.00,1000.17,9.00,0.0,1007.28,28.88,0.00,23.5
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,60,10-10-2019,16:00:00,080,34.3,0.00,987.19,8.00,3.7,1006.59,32.59,0.00,25.5
48353,LOEI,เลย,เลย,17.45000,101.73333,57,10-10-2019,16:00:00,280,32.0,0.00,979.77,15.00,3.7,1007.95,27.27,0.50,22.5
