WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,LandVisibility,Rainfall,Rainfall24Hr,RelativeHumidity,AirTemperature,WindDirection,WindSpeed,DewPoint,VaporPressure,StationPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,1010.02,09-30-2019,13:00:00,10.00,0.00,0.00,64,31.0,000,0.0,23.5,28.92,979.51
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,1008.24,09-30-2019,13:00:00,8.00,0.00,0.00,82,22.5,120,5.6,19.4,22.46,848.59
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,1009.36,09-30-2019,13:00:00,10.00,0.00,0.00,51,31.5,140,9.3,20.2,23.66,966.47
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,1009.37,09-30-2019,13:00:00,15.00,0.00,0.00,45,31.8,000,0.0,18.6,21.36,964.64
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,1009.46,09-30-2019,13:00:00,10.00,0.00,0.00,57,32.0,000,0.0,22.5,27.27,972.49
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,1009.30,09-30-2019,13:00:00,10.00,0.00,0.00,57,31.5,260,7.4,21.9,26.32,964.97
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,1010.09,09-30-2019,13:00:00,10.00,0.00,0.00,56,32.6,180,3.7,22.6,27.33,983.85
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,1009.10,09-30-2019,13:00:00,7.00,0.00,0.00,44,33.8,090,5.6,19.8,23.09,987.82
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,1009.93,09-30-2019,13:00:00,10.00,0.00,0.00,58,32.0,000,0.0,22.7,27.55,986.20
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,1009.23,09-30-2019,13:00:00,10.00,0.00,0.00,53,33.0,210,3.7,22.2,26.72,975.42
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,1009.35,09-30-2019,13:00:00,10.00,0.00,0.00,49,33.7,000,0.0,21.7,25.87,982.42
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,1009.29,09-30-2019,13:00:00,15.00,0.00,0.00,47,33.6,000,0.0,20.8,24.59,976.46
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1009.12,09-30-2019,13:00:00,5.00,0.00,0.00,57,33.5,180,3.7,23.9,29.70,991.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,1009.44,09-30-2019,13:00:00,10.00,0.00,0.00,54,32.7,000,0.0,22.2,26.69,987.03
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,1010.33,09-30-2019,13:00:00,12.00,0.00,0.00,58,32.0,000,0.0,22.7,27.55,980.90
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,1009.15,09-30-2019,13:00:00,7.00,0.00,0.00,59,32.8,000,0.0,23.8,29.42,974.33
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,1008.26,09-30-2019,13:00:00,8.00,0.00,0.00,61,33.0,080,7.4,24.5,30.69,979.15
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,1008.98,09-30-2019,13:00:00,8.00,0.00,0.00,51,34.0,000,0.0,22.4,27.01,1001.82
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,1008.79,09-30-2019,13:00:00,7.00,0.00,0.00,58,33.0,310,7.4,23.7,29.25,989.25
48353,LOEI,เลย,เลย,17.45000,101.73333,1008.57,09-30-2019,13:00:00,5.00,0.00,0.00,44,34.0,180,7.4,20.1,23.46,980.55
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,1009.39,09-30-2019,13:00:00,8.00,0.00,0.00,49,33.7,320,5.6,21.7,25.87,989.62
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,1009.61,09-30-2019,13:00:00,7.00,0.00,0.00,48,32.8,320,11.1,20.2,23.64,988.25
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,1008.80,09-30-2019,13:00:00,7.00,0.00,0.00,49,32.7,320,9.3,20.4,23.99,989.65
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,1009.22,09-30-2019,13:00:00,8.00,0.00,0.00,43,33.5,000,0.0,19.0,22.02,992.80
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,1009.80,09-30-2019,13:00:00,7.00,0.00,0.00,43,32.1,320,5.6,18.0,20.61,992.64
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,1008.53,09-30-2019,13:00:00,9.00,0.00,0.00,49,34.3,270,3.7,22.2,26.77,983.34
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,1009.16,09-30-2019,13:00:00,8.00,0.00,0.00,60,34.0,330,9.3,25.1,31.94,1003.49
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,1009.49,09-30-2019,13:00:00,8.00,0.00,0.00,65,33.5,000,0.0,26.1,33.86,1003.42
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,1009.37,09-30-2019,13:00:00,9.00,0.00,0.00,48,34.4,150,5.6,21.8,26.13,993.29
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1008.19,09-30-2019,13:00:00,10.00,0.00,0.00,58,33.0,300,5.6,23.7,29.25,986.28
48376,TAK,ตาก,ตาก,16.87833,99.14333,1009.84,09-30-2019,13:00:00,6.00,0.00,0.00,54,34.1,140,5.6,23.3,28.63,995.75
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,1008.92,09-30-2019,13:00:00,7.00,0.00,0.00,54,34.5,000,0.0,23.8,29.46,992.90
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,1009.75,09-30-2019,13:00:00,8.00,0.00,0.00,60,33.2,140,3.7,24.4,30.53,1004.61
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,1007.83,09-30-2019,13:00:00,12.00,0.00,0.00,50,35.2,000,0.0,23.3,28.59,994.97
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,1009.76,09-30-2019,13:00:00,5.00,0.00,0.00,55,34.0,250,3.7,23.7,29.29,1000.62
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,1009.16,09-30-2019,13:00:00,8.00,0.00,0.00,49,33.5,290,1.9,21.4,25.49,987.89
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,1005.69,09-30-2019,13:00:00,10.00,0.00,0.00,48,33.5,000,0.0,21.1,24.94,988.58
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,1008.92,09-30-2019,13:00:00,12.00,0.00,0.00,42,33.0,010,7.4,18.4,21.14,993.37
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,1008.43,09-30-2019,13:00:00,8.00,0.00,0.00,53,33.1,150,5.6,22.1,26.64,989.90
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,1008.12,09-30-2019,13:00:00,11.00,0.00,0.00,52,32.5,000,0.0,21.4,25.49,957.95
