WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,StationPressure,WindDirection,Rainfall24Hr,LandVisibility,AirTemperature,MeanSeaLevelPressure,VaporPressure,Rainfall,DewPoint,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,09-15-2019,16:00:00,972.93,000,0.80,9.00,33.9,1002.94,31.72,0.01,25.0,60
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,13.0,09-15-2019,16:00:00,844.67,100,0.00,8.00,22.6,1003.53,19.01,0.00,16.7,69
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,9.3,09-15-2019,16:00:00,961.51,100,10.50,10.00,33.5,1003.91,25.76,0.00,21.6,50
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,5.6,09-15-2019,16:00:00,959.46,150,10.20,15.00,33.2,1003.74,27.11,0.00,22.4,53
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,09-15-2019,16:00:00,967.33,000,42.20,12.00,32.5,1004.03,31.69,0.00,25.0,65
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.7,09-15-2019,16:00:00,960.15,030,0.00,11.00,31.6,1004.25,30.69,0.00,24.5,66
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.0,09-15-2019,16:00:00,978.21,000,0.00,12.00,35.9,1004.02,30.07,0.00,24.1,51
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.0,09-15-2019,16:00:00,982.87,000,4.70,13.00,33.7,1004.05,29.25,0.00,23.7,56
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,09-15-2019,16:00:00,979.72,000,0.00,10.00,35.5,1003.02,27.19,0.00,22.5,47
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,5.6,09-15-2019,16:00:00,970.21,210,0.00,10.00,34.3,1003.70,26.21,0.00,21.9,48
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,09-15-2019,16:00:00,977.18,000,0.00,10.00,34.2,1003.93,28.26,0.00,23.1,53
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,09-15-2019,16:00:00,971.10,000,0.00,15.00,34.3,1003.67,29.62,0.00,23.9,55
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,1.9,09-15-2019,16:00:00,986.36,090,17.80,12.00,25.7,1004.88,31.36,17.80,24.8,95
48331,NAN,น่าน,น่าน,18.77972,100.77778,7.4,09-15-2019,16:00:00,981.69,100,0.00,10.00,35.3,1003.79,27.36,0.00,22.6,48
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,5.6,09-15-2019,16:00:00,974.43,040,0.00,12.00,34.9,1003.39,26.55,0.00,22.1,47
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,09-15-2019,16:00:00,969.21,000,0.00,8.00,33.0,1003.82,29.25,0.00,23.7,58
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,11.1,09-15-2019,16:00:00,974.79,150,0.00,17.00,32.0,1003.86,31.52,0.00,24.9,66
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,09-15-2019,16:00:00,997.11,000,0.00,10.00,31.0,1004.30,28.65,0.00,23.3,64
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,11.1,09-15-2019,16:00:00,984.95,140,0.00,18.00,33.7,1004.35,28.68,0.00,23.3,55
48353,LOEI,เลย,เลย,17.45000,101.73333,11.1,09-15-2019,16:00:00,975.92,070,3.50,15.00,33.8,1003.82,25.51,0.00,21.4,49
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,3.7,09-15-2019,16:00:00,985.21,080,16.70,13.00,33.3,1004.91,25.11,0.00,21.2,49
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,5.6,09-15-2019,16:00:00,983.54,070,0.00,15.00,32.9,1004.78,27.36,0.00,22.6,55
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,5.6,09-15-2019,16:00:00,985.34,080,0.00,15.00,32.5,1004.42,24.16,0.00,20.5,49
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.7,09-15-2019,16:00:00,988.55,250,0.01,12.00,33.2,1004.92,26.84,0.01,22.3,53
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,3.7,09-15-2019,16:00:00,987.97,180,0.00,10.00,32.8,1005.01,26.61,0.00,22.1,54
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,9.3,09-15-2019,16:00:00,978.14,060,5.00,15.00,32.5,1003.35,26.86,0.00,22.3,55
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,9.3,09-15-2019,16:00:00,999.42,080,0.00,10.00,31.0,1005.12,33.81,0.00,26.1,75
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,11.1,09-15-2019,16:00:00,998.97,270,0.60,10.00,30.5,1005.07,32.75,0.00,25.6,75
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,09-15-2019,16:00:00,988.21,000,0.00,12.00,35.0,1004.18,27.89,0.00,22.9,50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,13.0,09-15-2019,16:00:00,980.00,070,7.00,10.00,34.5,1001.66,23.85,0.00,20.3,44
48376,TAK,ตาก,ตาก,16.87833,99.14333,5.6,09-15-2019,16:00:00,990.49,140,11.00,8.00,34.0,1004.51,30.46,0.00,24.3,57
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,09-15-2019,16:00:00,988.01,000,0.00,8.00,34.0,1003.97,29.87,0.00,24.0,56
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,3.7,09-15-2019,16:00:00,999.40,210,36.10,10.00,30.5,1004.55,34.22,29.80,26.3,78
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.0,09-15-2019,16:00:00,989.62,000,0.00,12.00,37.7,1002.31,25.38,0.00,21.3,39
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,9.3,09-15-2019,16:00:00,995.20,080,0.00,12.00,33.5,1004.30,30.57,0.00,24.4,59
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,7.4,09-15-2019,16:00:00,983.76,060,0.00,10.00,33.4,1004.95,27.51,0.00,22.7,53
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,9.3,09-15-2019,16:00:00,986.65,230,0.00,12.00,34.0,1003.70,29.87,0.00,24.0,56
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,5.6,09-15-2019,16:00:00,987.99,110,3.20,12.00,33.1,1003.45,26.37,0.00,22.0,52
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.0,09-15-2019,16:00:00,985.25,000,0.00,12.00,33.9,1003.65,32.92,0.00,25.6,62
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.0,09-15-2019,16:00:00,954.42,000,26.40,10.00,32.5,1004.40,26.04,0.00,21.8,53
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,11.1,09-15-2019,16:00:00,1000.37,180,2.20,8.00,31.0,1004.27,32.93,1.30,25.7,73
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.0,09-15-2019,16:00:00,911.27,000,2.10,9.00,28.1,1004.13,24.65,0.00,20.9,65
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.0,09-15-2019,16:00:00,988.96,000,0.40,12.00,33.0,1004.59,33.66,0.00,26.0,67
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.0,09-15-2019,16:00:00,1000.08,000,0.00,12.00,34.9,1004.00,32.09,0.00,25.2,57
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,3.7,09-15-2019,16:00:00,994.12,020,4.90,10.00,33.2,1004.56,30.53,0.00,24.4,60
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,3.7,09-15-2019,16:00:00,1002.13,270,5.50,12.00,34.9,1004.00,29.42,0.00,23.8,53
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,7.4,09-15-2019,16:00:00,983.76,060,0.00,12.00,33.6,1004.11,26.23,0.00,21.9,50
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.0,09-15-2019,16:00:00,987.00,000,0.00,10.00,32.0,1004.33,28.94,0.00,23.5,61
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,9.3,09-15-2019,16:00:00,988.44,110,0.00,10.00,32.7,1004.26,29.79,0.00,24.0,60
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,7.4,09-15-2019,16:00:00,990.58,130,1.10,10.00,33.0,1004.30,29.25,0.00,23.7,58
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.0,09-15-2019,16:00:00,990.56,000,0.80,10.00,32.0,1005.12,32.10,0.00,25.2,68
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.0,09-15-2019,16:00:00,991.32,000,0.00,10.00,29.5,1005.86,32.13,0.00,25.2,78
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.0,09-15-2019,16:00:00,1001.38,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",3.60,10.00,33.2,1004.33,31.70,0.00,25.0,62
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,3.7,09-15-2019,16:00:00,995.53,090,2.50,10.00,35.0,1003.25,27.32,0.00,22.5,49
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,5.6,09-15-2019,16:00:00,1004.15,280,4.40,8.00,28.4,1005.25,31.62,4.40,25.0,82
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.0,09-15-2019,16:00:00,990.73,000,1.50,5.00,28.0,1005.34,34.81,1.50,26.6,92
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1.9,09-15-2019,16:00:00,871.03,020,0.20,8.00,23.5,1003.94,23.75,0.00,20.3,82
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,5.6,09-15-2019,16:00:00,997.99,120,0.00,10.00,34.0,1003.72,31.34,0.00,24.8,59
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,5.6,09-15-2019,16:00:00,1003.09,060,0.40,12.00,34.7,1003.87,33.48,0.00,25.9,61
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,14.8,09-15-2019,16:00:00,1003.91,210,2.30,10.00,30.0,1004.35,30.03,0.00,24.1,71
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.0,09-15-2019,16:00:00,992.70,000,22.80,10.00,34.0,1003.71,29.87,0.00,24.0,56
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,3.7,09-15-2019,16:00:00,1002.80,040,0.00,12.00,36.0,1003.78,31.19,0.00,24.7,52
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,5.6,09-15-2019,16:00:00,1002.22,190,3.20,9.00,32.3,1004.01,31.27,0.00,24.8,65
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.0,09-15-2019,16:00:00,1002.94,000,1.00,9.00,34.6,1003.69,28.80,0.00,23.4,52
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,14.8,09-15-2019,16:00:00,1003.28,190,10.00,10.00,31.4,1003.97,31.72,0.00,25.0,69
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,3.7,09-15-2019,16:00:00,1003.24,330,7.50,9.00,30.5,1003.93,30.18,0.01,24.2,69
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,11.1,09-15-2019,16:00:00,983.47,100,0.00,12.00,32.1,1004.22,27.46,0.00,22.6,57
