WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,Rainfall,StationPressure,Rainfall24Hr,WindDirection,DewPoint,WindSpeed,MeanSeaLevelPressure,VaporPressure,LandVisibility,RelativeHumidity
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.0,08-24-2019,22:00:00,22.60,976.64,40.20,000,23.7,0.0,1007.68,29.26,7.00,92
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,19.0,08-24-2019,22:00:00,0.00,844.83,30.00,140,18.8,1.9,1005.80,21.73,5.00,99
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,26.4,08-24-2019,22:00:00,0.00,962.72,6.10,000,24.2,0.0,1006.19,30.24,10.00,88
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.0,08-24-2019,22:00:00,0.00,960.60,13.00,000,23.2,0.0,1006.17,28.48,15.00,90
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,24.0,08-24-2019,22:00:00,0.00,969.35,63.70,000,23.3,0.0,1007.20,28.53,6.00,96
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.2,08-24-2019,22:00:00,0.00,961.70,20.00,000,24.8,0.0,1006.68,31.22,10.00,92
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.3,08-24-2019,22:00:00,0.00,980.63,45.90,000,25.3,0.0,1007.34,32.23,7.00,94
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,25.2,08-24-2019,22:00:00,0.00,985.48,4.90,000,24.6,0.0,1007.33,30.96,10.00,97
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,08-24-2019,22:00:00,0.70,984.47,5.60,000,23.8,0.0,1008.71,29.52,8.00,93
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.3,08-24-2019,22:00:00,2.40,973.49,6.70,000,23.7,0.0,1008.12,29.28,10.00,91
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,25.7,08-24-2019,22:00:00,0.00,980.05,24.70,000,23.8,0.0,1007.65,29.48,10.00,89
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,24.7,08-24-2019,22:00:00,0.30,974.01,1.60,000,23.7,0.0,1007.75,29.25,10.00,94
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,26.6,08-24-2019,22:00:00,0.70,988.28,35.70,000,25.7,0.0,1006.77,33.10,3.00,95
48331,NAN,น่าน,น่าน,18.77972,100.77778,26.0,08-24-2019,22:00:00,0.00,984.32,0.00,000,24.6,0.0,1007.18,30.84,10.00,92
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,25.0,08-24-2019,22:00:00,0.00,977.41,10.50,000,24.1,0.0,1007.43,30.05,7.00,95
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,25.0,08-24-2019,22:00:00,0.00,971.89,0.80,000,22.0,0.0,1007.54,26.43,5.00,83
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,25.0,08-24-2019,22:00:00,0.00,976.51,0.00,000,24.0,0.0,1006.33,29.79,12.00,94
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,26.5,08-24-2019,22:00:00,0.00,999.82,3.20,000,24.3,0.0,1007.14,30.43,10.00,88
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,27.5,08-24-2019,22:00:00,0.00,986.65,124.20,050,25.7,5.6,1006.49,32.93,11.00,90
48353,LOEI,เลย,เลย,17.45000,101.73333,25.8,08-24-2019,22:00:00,0.00,977.79,0.00,000,23.9,0.0,1006.50,29.66,12.00,89
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,28.0,08-24-2019,22:00:00,0.00,985.92,18.80,000,25.1,0.0,1005.98,31.95,12.00,85
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,25.4,08-24-2019,22:00:00,0.50,984.77,40.50,000,24.7,0.0,1006.59,31.06,12.00,96
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,25.5,08-24-2019,22:00:00,0.40,986.70,51.20,120,24.9,1.9,1006.25,31.52,10.00,97
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,24.5,08-24-2019,22:00:00,7.50,990.27,53.00,000,23.8,0.0,1007.15,29.41,6.00,96
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,25.0,08-24-2019,22:00:00,4.60,990.01,76.10,000,24.3,0.0,1007.53,30.32,5.00,96
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,26.0,08-24-2019,22:00:00,0.00,979.26,9.00,000,24.0,0.0,1005.05,29.76,10.00,89
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,26.8,08-24-2019,22:00:00,0.70,1001.39,3.10,120,26.7,5.6,1007.18,34.93,8.00,99
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,26.3,08-24-2019,22:00:00,0.80,1000.80,12.30,000,25.9,0.0,1007.00,33.35,7.00,98
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,25.7,08-24-2019,22:00:00,6.80,991.47,32.30,000,24.7,0.0,1007.99,31.08,7.00,94
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,24.5,08-24-2019,22:00:00,0.00,984.27,19.20,000,23.8,0.0,1006.76,29.41,8.00,96
48376,TAK,ตาก,ตาก,16.87833,99.14333,27.3,08-24-2019,22:00:00,0.00,993.30,0.00,280,22.7,7.4,1007.68,27.63,7.00,76
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,25.0,08-24-2019,22:00:00,0.00,990.69,1.80,000,24.3,0.0,1007.18,30.32,7.00,96
