WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,DewPoint,MeanSeaLevelPressure,RelativeHumidity,StationPressure,AirTemperature,VaporPressure,WindSpeed,Rainfall24Hr,WindDirection,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,08-30-2019,22:00:00,24.4,1001.49,91,970.74,26.0,30.57,0.0,0.10,000,10.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,08-30-2019,22:00:00,17.4,1000.33,78,841.45,21.5,19.91,0.0,0.00,000,8.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,08-30-2019,22:00:00,23.7,999.48,73,956.67,29.1,29.38,5.6,0.01,010,12.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,08-30-2019,22:00:00,24.5,999.60,82,954.73,27.8,30.72,0.0,1.80,000,12.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,08-30-2019,22:00:00,24.9,1001.46,100,963.94,24.9,31.47,0.0,16.60,000,6.00,5.30
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,08-30-2019,22:00:00,23.9,1000.85,95,955.93,24.8,29.69,0.0,27.80,000,10.00,25.50
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,08-30-2019,22:00:00,25.0,1001.49,95,974.90,25.9,31.74,0.0,14.60,000,6.00,11.30
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,08-30-2019,22:00:00,26.7,1000.74,97,979.19,27.3,35.10,0.0,21.60,000,5.00,14.10
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,08-30-2019,22:00:00,26.0,1001.68,90,977.82,27.8,33.53,0.0,0.01,000,8.00,0.00
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,08-30-2019,22:00:00,24.5,1001.29,90,967.00,26.2,30.67,0.0,7.20,000,8.00,2.60
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,08-30-2019,22:00:00,24.4,1001.40,95,973.94,25.3,30.60,0.0,23.80,000,10.00,17.50
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,08-30-2019,22:00:00,24.8,1001.10,96,967.67,25.5,31.25,0.0,8.80,000,8.00,7.80
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,08-30-2019,22:00:00,24.7,1000.70,95,982.26,25.6,31.17,0.0,66.70,000,5.00,14.20
48331,NAN,น่าน,น่าน,18.77972,100.77778,08-30-2019,22:00:00,24.7,1000.31,92,977.62,26.1,31.03,0.0,3.70,000,10.00,0.00
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,08-30-2019,22:00:00,24.2,1000.73,95,970.91,25.1,30.23,0.0,17.00,000,6.00,2.50
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,08-30-2019,22:00:00,24.3,1001.02,96,965.60,25.0,30.32,0.0,24.60,000,5.00,22.80
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,08-30-2019,22:00:00,22.9,1000.47,98,970.65,23.2,27.91,0.0,51.70,000,6.00,0.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,08-30-2019,22:00:00,24.8,1000.61,96,993.31,25.5,31.25,0.0,36.60,000,7.00,34.60
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,08-30-2019,22:00:00,23.4,999.65,98,979.70,23.7,28.77,18.5,3.60,080,3.00,0.80
48353,LOEI,เลย,เลย,17.45000,101.73333,08-30-2019,22:00:00,22.5,1001.31,96,972.51,23.3,27.33,5.6,17.40,310,6.00,1.20
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,08-30-2019,22:00:00,23.0,998.80,97,978.58,23.5,28.17,13.0,23.00,020,5.00,4.80
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,08-30-2019,22:00:00,22.9,1001.16,98,979.30,23.2,27.91,7.4,38.70,120,5.00,7.90
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,08-30-2019,22:00:00,23.5,1001.16,100,981.57,23.5,28.94,9.3,43.00,070,6.00,6.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,08-30-2019,22:00:00,21.9,1003.54,81,986.77,25.3,26.19,7.4,18.40,120,10.00,0.01
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,08-30-2019,22:00:00,22.8,1003.80,93,986.28,24.0,27.76,7.4,39.50,080,10.00,0.50
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,08-30-2019,22:00:00,22.9,998.03,92,972.27,24.2,27.85,13.0,23.80,340,7.00,2.00
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,08-30-2019,22:00:00,26.0,1001.58,99,995.81,26.2,33.71,0.0,11.10,000,6.00,10.00
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,08-30-2019,22:00:00,25.5,1000.73,100,994.54,25.5,32.62,0.0,39.90,000,6.00,37.70
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,08-30-2019,22:00:00,23.7,1001.39,95,984.91,24.6,29.33,0.0,106.40,000,10.00,0.50
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,08-30-2019,22:00:00,23.3,1001.68,88,979.37,25.5,28.59,0.0,3.70,000,6.00,3.00
48376,TAK,ตาก,ตาก,16.87833,99.14333,08-30-2019,22:00:00,24.4,1002.13,93,987.75,25.7,30.54,7.4,21.20,230,4.00,20.20
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,08-30-2019,22:00:00,24.3,1001.34,90,985.00,26.0,30.30,0.0,17.70,000,6.00,17.20
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,08-30-2019,22:00:00,25.1,1001.52,97,996.30,25.5,31.79,3.7,23.60,230,5.00,5.00
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,08-30-2019,22:00:00,23.9,999.28,96,986.08,24.6,29.59,0.0,35.80,000,10.00,0.00
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,08-30-2019,22:00:00,25.4,1001.89,97,992.59,26.0,32.48,5.6,23.90,100,4.00,19.50
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,08-30-2019,22:00:00,23.5,1000.02,100,978.24,23.5,28.94,9.3,44.10,240,4.00,15.20
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,08-30-2019,22:00:00,23.5,1001.35,100,983.75,23.5,28.94,0.0,228.20,000,4.00,25.80
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,08-30-2019,22:00:00,23.6,1002.12,92,986.26,24.9,29.08,9.3,184.00,090,10.00,1.00
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,08-30-2019,22:00:00,23.3,998.91,99,979.96,23.5,28.68,11.1,62.30,180,5.00,13.80
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,08-30-2019,22:00:00,22.8,1004.41,93,953.04,24.0,27.76,0.0,2.90,000,7.00,0.00
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,08-30-2019,22:00:00,24.8,1000.97,98,997.01,25.1,31.31,9.3,65.20,160,4.00,9.00
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,08-30-2019,22:00:00,20.7,1003.23,95,908.49,21.5,24.44,11.1,26.00,280,.30,22.10
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,08-30-2019,22:00:00,23.6,1000.34,99,984.29,23.8,29.20,5.6,234.10,180,3.00,15.10
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,08-30-2019,22:00:00,25.3,1001.51,96,997.49,26.0,32.20,0.0,46.40,000,5.00,12.40
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,08-30-2019,22:00:00,25.1,1003.06,97,992.37,25.5,31.79,3.7,34.50,190,3.00,12.70
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,08-30-2019,22:00:00,25.8,1002.80,96,1000.88,26.5,33.19,0.0,6.10,000,4.00,0.30
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,08-30-2019,22:00:00,23.7,1000.95,97,980.02,24.1,29.22,7.4,56.60,220,4.00,1.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,08-30-2019,22:00:00,23.3,1001.09,96,983.36,24.0,28.53,18.5,356.20,200,6.00,6.70
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,08-30-2019,22:00:00,23.9,1000.62,99,984.41,24.1,29.74,11.1,325.90,200,7.00,5.30
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,08-30-2019,22:00:00,23.5,1003.89,94,989.78,24.5,28.89,9.3,60.20,150,10.00,0.10
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,08-30-2019,22:00:00,23.5,1004.63,97,989.70,24.1,28.96,0.0,53.40,000,5.00,0.40
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,08-30-2019,22:00:00,24.6,1003.39,97,988.69,25.2,30.96,3.7,43.70,160,4.00,0.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,08-30-2019,22:00:00,25.8,1001.66,97,998.65,26.4,33.27,0.0,15.70,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",5.00,5.60
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,08-30-2019,22:00:00,24.2,1001.29,95,993.34,25.1,30.23,0.0,39.60,000,5.00,2.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-30-2019,22:00:00,24.6,1002.24,85,1001.14,27.3,30.86,7.4,3.20,220,5.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-30-2019,22:00:00,24.1,1002.82,97,988.08,24.5,29.93,3.7,122.50,180,3.00,2.20
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-30-2019,22:00:00,20.2,1003.29,99,869.18,20.4,23.72,5.6,36.00,180,.10,13.40
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-30-2019,22:00:00,25.2,1001.99,99,996.11,25.4,32.15,0.0,45.40,000,5.00,8.80
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-30-2019,22:00:00,25.8,1002.52,92,1001.72,27.2,33.17,0.0,1.50,000,8.00,0.20
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-30-2019,22:00:00,25.2,1002.69,80,1002.25,29.0,31.98,18.5,0.80,230,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-30-2019,22:00:00,24.3,1004.04,92,992.73,25.8,30.46,0.0,0.00,000,5.00,0.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-30-2019,22:00:00,24.3,1002.53,80,1001.52,28.0,30.28,3.7,0.40,200,10.00,0.01
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-30-2019,22:00:00,25.0,1002.49,91,1000.67,26.6,31.71,0.0,2.70,000,7.00,0.20
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-30-2019,22:00:00,23.6,1002.51,81,1001.75,27.1,29.13,0.0,0.20,000,6.00,0.01
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-30-2019,22:00:00,23.6,1002.70,75,1002.00,28.5,29.05,11.1,0.60,210,10.00,0.01
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-30-2019,22:00:00,25.2,1002.68,89,1001.98,27.2,32.05,0.0,7.20,000,7.00,0.00
