WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,WindSpeed,VaporPressure,LandVisibility,Rainfall24Hr,RelativeHumidity,DewPoint,MinimumTemperature,MeanSeaLevelPressure,StationPressure,WindDirection,AirTemperature
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-02-2019,07:00:00,0.0,28.62,7.00,9.20,95,23.3,24.1,1007.02,1002.04,000,24.2
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.01,08-02-2019,07:00:00,7.4,26.47,9.00,0.01,77,22.0,24.0,1007.10,1003.80,250,26.5
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.01,08-02-2019,07:00:00,0.0,27.96,5.00,0.01,88,22.9,24.5,1006.96,1005.84,000,25.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.00,08-02-2019,07:00:00,0.0,27.69,10.00,0.01,80,22.8,26.1,1007.14,1006.84,000,26.6
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-02-2019,07:00:00,0.0,27.36,10.00,0.80,77,22.6,26.5,1007.96,1007.27,000,27.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-02-2019,07:00:00,7.4,26.47,10.00,0.50,77,22.0,26.1,1007.04,1006.55,240,26.5
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,0.00,08-02-2019,07:00:00,13.0,26.30,10.00,0.20,76,21.9,25.1,1007.41,1006.00,220,26.4
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-02-2019,07:00:00,22.2,28.06,10.00,0.00,78,23.0,26.8,1007.28,1005.60,250,27.1
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.01,08-02-2019,07:00:00,0.0,29.23,8.00,2.70,96,23.7,24.0,1008.15,1000.07,000,24.4
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-02-2019,07:00:00,0.0,31.28,10.00,2.20,84,24.8,26.7,1006.76,1006.47,000,27.8
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-02-2019,07:00:00,5.6,31.46,10.00,0.00,80,24.9,28.0,1007.03,1003.91,200,28.6
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-02-2019,07:00:00,11.1,29.98,10.00,0.00,76,24.1,27.9,1007.20,1000.29,250,28.7
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.30,08-02-2019,07:00:00,0.0,29.08,6.00,14.50,92,23.6,24.3,1006.96,1001.33,000,24.9
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.01,08-02-2019,07:00:00,9.3,28.78,9.00,3.00,74,23.4,27.8,1007.92,998.65,280,28.5
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.01,08-02-2019,07:00:00,7.4,28.66,8.00,0.01,90,23.3,24.6,1007.83,1006.56,230,25.1
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-02-2019,07:00:00,0.0,27.37,11.00,0.00,75,22.6,26.6,1006.91,1006.48,000,27.3
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,0.60,08-02-2019,07:00:00,0.0,29.41,8.00,10.10,96,23.8,23.8,1007.53,995.16,000,24.5
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,0.00,08-02-2019,07:00:00,0.0,31.08,10.00,3.60,89,24.7,26.2,1007.31,1006.59,000,26.7
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,0.00,08-02-2019,07:00:00,11.1,26.87,10.00,0.01,66,22.3,28.3,1007.73,1005.31,250,29.2
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,0.00,08-02-2019,07:00:00,14.8,30.80,10.00,0.01,75,24.5,28.9,1006.54,1006.02,250,29.4
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,0.00,08-02-2019,07:00:00,3.7,28.71,10.00,0.00,78,23.4,26.9,1006.77,1001.63,270,27.6
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,0.10,08-02-2019,07:00:00,0.0,31.49,7.00,5.50,87,24.9,25.8,1007.11,1006.70,000,27.2
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,0.00,08-02-2019,07:00:00,3.7,30.84,8.00,1.50,92,24.6,25.0,1007.48,1004.70,220,26.0
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,1.90,08-02-2019,07:00:00,0.0,29.82,8.00,4.70,91,24.0,23.1,1008.09,1007.30,000,25.6
48501,TRAD,ตราด,ตราด,11.76667,102.88333,10.50,08-02-2019,07:00:00,5.6,31.52,7.00,22.90,91,24.9,25.7,1007.65,1007.19,320,26.5
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.80,08-02-2019,07:00:00,3.7,30.24,6.00,4.80,88,24.2,25.8,1008.69,1008.00,160,26.4
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,4.20,08-02-2019,07:00:00,0.0,30.25,8.00,10.00,93,24.2,25.2,1008.57,1007.03,000,25.4
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,4.10,08-02-2019,07:00:00,5.6,32.45,10.00,17.90,89,25.4,26.3,1009.11,1008.19,210,27.4
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,08-02-2019,07:00:00,0.0,30.23,10.00,0.00,78,24.2,27.0,1009.06,1008.38,000,28.4
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,08-02-2019,07:00:00,1.9,30.32,9.00,0.00,96,24.3,24.8,1009.24,1008.43,180,25.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,08-02-2019,07:00:00,0.0,30.44,10.00,5.70,93,24.3,24.5,1009.10,1008.46,000,25.5
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,08-02-2019,07:00:00,0.0,30.71,8.00,1.10,94,24.5,24.8,1009.43,1009.03,000,25.5
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,08-02-2019,07:00:00,0.0,29.00,5.00,0.00,92,23.5,24.5,1010.80,1006.55,000,25.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,08-02-2019,07:00:00,0.0,30.38,4.00,1.40,98,24.3,23.0,1009.47,1007.85,000,24.6
