WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall24Hr,Date,Time,MaximumTemperature,DewPoint,MeanSeaLevelPressure,StationPressure,AirTemperature,LandVisibility,Rainfall,VaporPressure,RelativeHumidity,WindDirection,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.00,09-26-2019,19:00:00,32.3,23.4,1012.74,981.76,27.1,10.00,0.00,28.86,81,000,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.00,09-26-2019,19:00:00,20.4,15.7,1013.55,850.69,17.7,8.00,0.00,17.77,88,120,14.8
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.00,09-26-2019,19:00:00,30.8,20.3,1013.61,969.86,26.7,10.00,0.00,23.79,68,020,1.9
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.00,09-26-2019,19:00:00,31.5,19.0,1013.33,967.66,26.5,15.00,0.00,22.01,64,000,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.00,09-26-2019,19:00:00,33.2,23.5,1013.49,975.70,26.4,8.00,0.00,28.90,84,000,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,0.00,09-26-2019,19:00:00,31.8,22.5,1013.26,968.25,28.0,10.00,0.00,27.32,72,000,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,0.00,09-26-2019,19:00:00,33.5,24.1,1013.29,986.62,28.6,10.00,0.00,30.07,77,180,3.7
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,09-26-2019,19:00:00,34.1,23.5,1012.48,990.75,28.3,7.00,0.00,28.95,75,090,9.3
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,8.50,09-26-2019,19:00:00,35.3,23.8,1013.47,989.07,24.5,8.00,8.50,29.41,96,000,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,09-26-2019,19:00:00,33.4,21.9,1012.75,978.38,29.0,10.00,0.00,26.24,66,000,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,09-26-2019,19:00:00,33.5,23.6,1012.96,985.42,28.0,10.00,0.00,29.19,77,000,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,09-26-2019,19:00:00,32.5,23.4,1012.56,979.04,28.2,10.00,0.00,28.76,75,000,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,09-26-2019,19:00:00,34.3,24.1,1012.23,993.70,27.7,5.00,0.00,29.98,81,000,0.0
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.00,09-26-2019,19:00:00,33.6,21.9,1012.83,990.05,28.7,10.00,0.00,26.22,67,000,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.00,09-26-2019,19:00:00,33.0,22.8,1013.42,983.37,26.5,10.00,0.00,27.77,80,000,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,09-26-2019,19:00:00,31.5,24.4,1013.60,978.08,28.0,7.00,0.00,30.56,81,000,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,09-26-2019,19:00:00,32.6,22.2,1012.78,982.86,25.9,5.00,0.00,26.71,80,000,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,09-26-2019,19:00:00,36.0,23.8,1011.71,1004.47,31.0,9.00,0.00,29.48,66,000,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,09-26-2019,19:00:00,34.2,23.2,1012.75,993.01,31.0,6.00,0.00,28.37,63,130,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,09-26-2019,19:00:00,33.5,23.3,1012.65,984.04,28.8,5.00,0.00,28.54,72,000,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,09-26-2019,19:00:00,33.6,21.4,1012.86,992.81,30.3,8.00,0.00,25.43,59,090,3.7
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.00,09-26-2019,19:00:00,32.7,24.1,1014.03,992.24,28.0,7.00,0.00,30.01,79,000,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,09-26-2019,19:00:00,32.3,22.3,1012.87,993.42,29.2,10.00,0.00,26.87,66,170,5.6
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.00,09-26-2019,19:00:00,34.2,18.2,1014.41,997.65,28.8,11.00,0.00,20.85,53,090,5.6
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.00,09-26-2019,19:00:00,34.5,20.5,1014.51,997.00,27.2,10.00,0.00,24.13,67,000,0.0
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.00,09-26-2019,19:00:00,33.5,21.2,1011.88,986.15,28.8,9.00,0.00,25.10,63,000,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,09-26-2019,19:00:00,34.5,25.2,1011.58,1005.82,29.7,7.00,0.00,31.97,77,000,0.0
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,09-26-2019,19:00:00,34.2,25.2,1011.73,1005.57,29.5,7.00,0.00,32.13,78,000,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.00,09-26-2019,19:00:00,35.5,22.7,1014.26,997.91,30.7,12.00,0.00,27.52,62,000,0.0
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,0.00,09-26-2019,19:00:00,34.5,22.1,1010.21,988.01,29.5,10.00,0.00,26.62,65,000,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,09-26-2019,19:00:00,33.7,24.7,1012.72,998.37,29.3,7.00,0.00,31.16,76,000,0.0
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.00,09-26-2019,19:00:00,33.0,23.2,1012.86,996.40,27.2,7.00,0.00,28.51,79,000,0.0
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,09-26-2019,19:00:00,34.0,23.7,1013.35,1008.13,29.2,10.00,0.00,29.30,72,000,0.0
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,0.00,09-26-2019,19:00:00,35.4,23.5,1010.73,997.64,30.6,10.00,0.00,28.97,66,000,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,09-26-2019,19:00:00,33.6,25.1,1012.04,1002.77,30.2,8.00,0.00,31.84,74,000,0.0
48381,KHON KAEN,ขอนแก่น,ขอนแก่น,16.46111,102.78972,0.00,09-26-2019,19:00:00,34.2,22.1,1012.70,991.10,29.8,9.00,0.00,26.64,64,070,3.7
48382,MAHASARAKHAM,มหาสารคาม,มหาสารคาม,16.24722,103.06805,0.00,09-26-2019,19:00:00,33.5,24.0,1013.52,996.11,30.5,10.00,0.00,29.89,68,000,0.0
48383,MUKDAHAN,มุกดาหาร,มุกดาหาร,16.54139,104.72889,0.00,09-26-2019,19:00:00,33.5,21.2,1012.88,997.06,29.0,10.00,0.00,25.19,63,080,3.7
48384,THA PHRA AGROMET.,ท่าพระ สกษ.,ขอนแก่น,16.33333,102.81667,0.00,09-26-2019,19:00:00,33.5,24.6,1011.96,993.10,28.8,8.00,0.00,31.01,78,000,0.0
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,0.00,09-26-2019,19:00:00,33.0,21.3,1011.85,960.30,25.2,9.00,0.00,25.27,79,000,0.0
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,0.00,09-26-2019,19:00:00,34.0,25.0,1011.77,1007.84,30.5,3.00,0.00,31.60,72,000,0.0
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,0.00,09-26-2019,19:00:00,26.7,20.4,1013.60,918.07,22.1,8.00,0.00,23.95,90,050,5.6
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,0.00,09-26-2019,19:00:00,33.6,24.7,1012.92,996.95,29.0,10.00,0.00,31.13,78,000,0.0
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,0.00,09-26-2019,19:00:00,34.5,23.5,1011.73,1007.72,30.4,7.00,0.00,28.86,66,000,0.0
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,0.00,09-26-2019,19:00:00,34.0,21.7,1012.82,1002.19,30.0,8.00,0.00,25.94,61,030,3.7
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,0.00,09-26-2019,19:00:00,34.1,25.3,1012.29,1010.37,29.7,6.00,0.00,32.26,77,000,0.0
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,0.00,09-26-2019,19:00:00,35.2,22.9,1013.10,992.26,29.2,10.00,0.00,27.94,69,000,0.0
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,0.00,09-26-2019,19:00:00,32.5,24.8,1012.91,995.21,28.1,10.00,0.00,31.31,82,000,0.0
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,0.00,09-26-2019,19:00:00,34.0,23.4,1012.40,996.29,29.6,10.00,0.00,28.69,69,000,0.0
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,09-26-2019,19:00:00,33.7,22.4,1012.24,998.27,30.0,10.00,0.00,27.01,64,020,5.6
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,09-26-2019,19:00:00,34.0,21.4,1012.74,997.94,29.3,10.00,0.00,25.47,63,360,13.0
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,09-26-2019,19:00:00,32.8,24.6,1012.42,997.82,30.0,8.00,0.00,30.87,73,040,3.7
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,0.00,09-26-2019,19:00:00,34.2,24.6,1011.44,1008.45,31.6,10.00,0.00,30.98,67,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",0.0
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,09-26-2019,19:00:00,34.8,23.2,1012.05,1004.15,30.3,10.00,0.00,28.39,66,000,0.0
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,09-26-2019,19:00:00,34.5,24.6,1011.48,1010.38,30.9,7.00,0.00,30.98,69,050,9.3
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,09-26-2019,19:00:00,32.4,21.0,1013.89,999.18,28.5,8.00,0.00,24.83,64,000,0.0
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,09-26-2019,19:00:00,.0,18.8,1014.85,878.77,19.4,8.00,0.00,21.63,96,060,3.7
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,09-26-2019,19:00:00,33.4,25.2,1012.18,1006.32,29.3,10.00,0.00,32.01,79,000,0.0
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.01,09-26-2019,19:00:00,37.0,24.7,1010.98,1010.18,31.7,10.00,0.00,31.19,67,050,5.6
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,09-26-2019,19:00:00,32.1,23.9,1011.31,1010.86,30.2,10.00,0.00,29.58,69,120,3.7
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,0.00,09-26-2019,19:00:00,34.3,25.1,1011.80,1000.48,28.0,6.00,0.00,31.95,85,000,0.0
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,09-26-2019,19:00:00,34.7,24.0,1011.88,1010.88,31.0,8.00,0.00,29.76,66,000,0.0
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,0.00,09-26-2019,19:00:00,34.1,22.3,1011.70,1009.90,31.1,10.00,0.00,26.92,60,010,3.7
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,09-26-2019,19:00:00,34.3,23.2,1012.55,1011.79,31.2,8.00,0.00,28.48,63,000,0.0
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,09-26-2019,19:00:00,34.2,22.7,1011.24,1010.54,32.0,10.00,0.00,27.55,58,060,11.1
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,09-26-2019,19:00:00,35.6,25.6,1011.12,1010.42,31.9,7.00,0.00,32.77,69,000,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,09-26-2019,19:00:00,32.7,22.9,1012.89,991.79,29.5,8.00,0.00,27.96,68,060,5.6
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,09-26-2019,19:00:00,32.5,24.4,1012.71,996.03,29.3,8.00,0.00,30.60,75,000,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,09-26-2019,19:00:00,32.8,24.6,1013.27,996.80,28.2,8.00,0.00,30.95,81,000,0.0
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,09-26-2019,19:00:00,33.1,23.9,1012.45,990.66,29.5,10.00,0.00,29.60,72,000,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,09-26-2019,19:00:00,31.2,22.8,1012.72,969.17,26.5,8.00,0.00,27.77,80,090,3.7
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,09-26-2019,19:00:00,33.0,23.9,1012.83,992.23,28.1,12.00,0.00,29.65,78,020,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,09-26-2019,19:00:00,31.7,25.3,1014.79,993.76,26.2,8.00,0.00,32.32,95,000,0.0
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,13.00,09-26-2019,19:00:00,33.5,25.8,1011.03,1010.60,28.1,10.00,13.00,33.29,88,000,0.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,09-26-2019,19:00:00,34.1,25.5,1011.07,1009.66,29.9,6.00,0.00,32.67,77,000,0.0
