WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,WindSpeed,DewPoint,RelativeHumidity,StationPressure,WindDirection,Rainfall24Hr,VaporPressure,MeanSeaLevelPressure,LandVisibility,Rainfall
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,25.4,09-12-2019,22:00:00,0.0,24.2,93,980.90,000,2.50,30.25,1012.03,10.00,0.00
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,18.9,09-12-2019,22:00:00,9.3,18.7,99,848.03,270,2.20,21.60,1009.67,8.00,0.00
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,25.9,09-12-2019,22:00:00,5.6,23.3,85,966.78,240,0.20,28.52,1010.51,10.00,0.00
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,25.5,09-12-2019,22:00:00,0.0,23.3,88,964.90,000,0.00,28.59,1010.60,12.00,0.00
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,25.5,09-12-2019,22:00:00,0.0,24.0,92,973.55,000,3.20,29.91,1011.37,6.00,0.00
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,26.0,09-12-2019,22:00:00,9.3,23.5,86,964.64,150,0.00,28.97,1009.79,10.00,0.00
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,26.6,09-12-2019,22:00:00,0.0,25.0,91,984.45,000,0.00,31.71,1011.24,9.00,0.00
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,26.7,09-12-2019,22:00:00,0.0,24.8,90,989.66,000,0.01,31.35,1011.48,12.00,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,25.0,09-12-2019,22:00:00,0.0,24.3,96,989.17,000,4.30,30.32,1013.53,6.00,2.30
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,25.2,09-12-2019,22:00:00,3.7,23.4,90,976.86,200,20.80,28.83,1011.62,10.00,0.00
