WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MeanSeaLevelPressure,WindDirection,StationPressure,DewPoint,LandVisibility,RelativeHumidity,Rainfall24Hr,VaporPressure,AirTemperature,WindSpeed
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,0.80,09-02-2019,22:00:00,1009.19,000,1008.40,22.4,6.00,87,3.00,27.10,24.8,0.0
48501,TRAD,ตราด,ตราด,11.76667,102.88333,1.40,09-02-2019,22:00:00,1008.73,270,1008.27,24.9,5.00,92,5.50,31.41,26.3,11.1
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,0.01,09-02-2019,22:00:00,1009.61,000,1008.92,24.6,9.00,89,2.60,30.89,26.6,0.0
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,0.00,09-02-2019,22:00:00,1010.09,000,1008.55,24.3,8.00,90,1.00,30.30,26.0,0.0
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-02-2019,22:00:00,1010.47,000,1009.55,24.6,10.00,89,0.00,30.89,26.6,0.0
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-02-2019,22:00:00,1009.72,000,1009.03,23.9,10.00,79,0.01,29.74,28.0,0.0
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-02-2019,22:00:00,1010.08,000,1009.28,24.8,9.00,96,0.00,31.25,25.5,0.0
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-02-2019,22:00:00,1009.79,000,1009.16,24.3,10.00,84,0.00,30.39,27.2,0.0
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-02-2019,22:00:00,1010.09,000,1009.68,24.6,10.00,89,0.00,30.89,26.6,0.0
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-02-2019,22:00:00,1011.67,000,1007.43,23.9,6.00,88,0.01,29.68,26.1,0.0
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-02-2019,22:00:00,1009.93,000,1008.31,24.0,10.00,91,8.20,29.82,25.6,0.0
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-02-2019,22:00:00,1010.34,000,1006.84,24.5,7.00,94,0.50,30.71,25.5,0.0
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-02-2019,22:00:00,1010.19,000,1008.83,24.6,8.00,83,0.00,31.00,27.8,0.0
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-02-2019,22:00:00,1009.64,000,1008.75,25.2,10.00,93,0.00,32.07,26.5,0.0
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,0.00,09-02-2019,22:00:00,1010.32,000,1006.74,24.8,10.00,93,0.00,31.38,26.0,0.0
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,0.00,09-02-2019,22:00:00,1010.45,000,1010.01,25.2,10.00,86,0.00,32.12,27.8,0.0
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,0.00,09-02-2019,22:00:00,1009.69,000,1008.69,25.2,10.00,95,0.00,32.12,26.1,0.0
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,0.00,09-02-2019,22:00:00,1010.02,000,1009.21,24.5,10.00,90,0.00,30.67,26.2,0.0
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,0.00,09-02-2019,22:00:00,1010.73,000,1008.91,25.0,10.00,89,0.00,31.66,27.0,0.0
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,0.00,09-02-2019,22:00:00,1010.54,230,1009.79,23.5,10.00,76,0.00,29.03,28.2,7.4
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,0.00,09-02-2019,22:00:00,1010.70,110,1006.68,23.9,10.00,85,0.01,29.72,26.7,5.6
48570,SATUN,สตูล,สตูล,6.65000,100.08333,0.00,09-02-2019,22:00:00,1010.71,000,1010.02,24.7,10.00,90,0.50,31.05,26.4,0.0
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,0.00,09-02-2019,22:00:00,1010.31,000,1009.19,24.3,10.00,85,0.00,30.29,27.0,0.0
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,0.00,09-02-2019,22:00:00,1010.89,000,1007.96,25.5,10.00,93,0.00,32.66,26.8,0.0
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,0.00,09-02-2019,22:00:00,1010.44,000,1009.75,26.4,8.00,92,0.00,34.40,27.8,0.0
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,0.00,09-02-2019,22:00:00,1011.03,000,1006.87,24.1,6.00,93,0.00,30.07,25.3,0.0
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,0.00,09-02-2019,22:00:00,1010.58,000,1009.99,25.2,10.00,89,0.00,32.05,27.2,0.0
