WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,RelativeHumidity,DewPoint,StationPressure,AirTemperature,VaporPressure,Rainfall24Hr,WindDirection,LandVisibility,WindSpeed,MeanSeaLevelPressure
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,0.00,09-21-2019,10:00:00,71,23.2,1009.95,29.0,28.37,0.00,250,10.00,5.6,1010.87
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,0.00,09-21-2019,10:00:00,72,24.5,1009.78,30.2,30.70,0.00,240,12.00,5.6,1010.47
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,0.00,09-21-2019,10:00:00,68,24.0,1009.71,30.5,29.89,0.00,210,10.00,3.7,1010.50
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,0.00,09-21-2019,10:00:00,72,25.4,1009.79,31.0,32.34,8.30,120,10.00,5.6,1010.41
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,0.00,09-21-2019,10:00:00,73,25.8,1009.84,31.1,33.14,4.00,000,10.00,0.0,1010.24
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,0.00,09-21-2019,10:00:00,59,21.6,1008.07,30.6,25.72,0.00,260,7.00,9.3,1012.25
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,0.00,09-21-2019,10:00:00,64,23.1,1009.00,30.8,28.26,7.60,000,10.00,0.0,1010.59
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,0.00,09-21-2019,10:00:00,67,24.1,1006.93,31.0,30.05,0.00,210,12.00,9.3,1010.37
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,0.00,09-21-2019,10:00:00,68,23.7,1009.24,30.2,29.30,1.10,060,9.00,3.7,1010.59
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,0.00,09-21-2019,10:00:00,71,23.7,1009.64,29.5,29.33,0.00,260,12.00,5.6,1010.52
