WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindDirection,Date,Time,MeanSeaLevelPressure,LandVisibility,Rainfall,DewPoint,StationPressure,RelativeHumidity,Rainfall24Hr,WindSpeed,AirTemperature,VaporPressure
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,000,07-24-2019,16:00:00,1005.32,7.00,2.40,26.8,1004.63,77,2.80,0.0,31.2,35.15
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,250,07-24-2019,16:00:00,1004.17,11.00,0.00,23.8,983.59,54,0.01,7.4,34.5,29.46
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,270,07-24-2019,16:00:00,1004.40,13.00,0.00,22.9,988.05,55,0.00,9.3,33.0,27.84
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,270,07-24-2019,16:00:00,1004.72,9.00,0.00,23.5,988.67,56,0.70,7.4,33.4,28.92
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,240,07-24-2019,16:00:00,1004.37,10.00,0.00,21.5,983.07,48,0.01,13.0,34.0,25.63
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,250,07-24-2019,16:00:00,1005.12,10.00,0.00,21.2,962.42,58,0.10,18.5,30.3,25.17
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,230,07-24-2019,16:00:00,1004.50,10.00,0.00,22.6,984.42,53,0.20,14.8,33.5,27.43
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,260,07-24-2019,16:00:00,1005.99,10.00,0.00,25.1,985.51,69,0.00,7.4,31.6,31.85
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,110,07-24-2019,16:00:00,1006.47,10.00,25.80,24.7,1006.03,92,25.80,3.7,26.1,31.03
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,000,07-24-2019,16:00:00,1005.63,9.00,9.70,27.2,1004.22,93,11.70,0.0,28.5,36.17
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,000,07-24-2019,16:00:00,1006.36,7.00,8.40,25.7,1001.43,95,8.90,0.0,26.6,33.10
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,320,07-24-2019,16:00:00,1005.59,12.00,0.00,24.0,1002.36,62,0.20,7.4,32.3,29.83
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,210,07-24-2019,16:00:00,1005.97,10.00,0.00,25.4,1004.88,69,3.70,3.7,31.9,32.48
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,200,07-24-2019,16:00:00,1006.90,7.00,15.60,24.4,1006.60,89,36.30,11.1,26.4,30.51
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,250,07-24-2019,16:00:00,1006.98,7.00,3.80,24.5,1006.29,87,10.80,14.8,27.0,30.83
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,260,07-24-2019,16:00:00,1006.87,8.00,0.20,23.8,1006.39,72,5.50,11.1,29.3,29.49
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,250,07-24-2019,16:00:00,1006.10,10.00,0.00,22.7,1004.72,58,21.80,24.1,32.0,27.55
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,290,07-24-2019,16:00:00,1006.50,10.00,0.00,25.6,1004.84,83,0.00,13.0,28.7,32.79
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,180,07-24-2019,16:00:00,1007.47,10.00,0.01,23.0,999.57,63,0.01,3.7,31.0,28.09
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,000,07-24-2019,16:00:00,1005.77,12.00,0.00,25.7,1005.49,69,15.50,0.0,32.0,32.99
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,270,07-24-2019,16:00:00,1006.04,10.00,0.00,26.6,1002.95,80,0.00,9.3,30.5,34.82
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,240,07-24-2019,16:00:00,1006.17,12.00,0.00,23.7,999.33,65,0.00,5.6,31.2,29.32
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,250,07-24-2019,16:00:00,1005.81,8.00,0.00,24.7,1000.27,76,1.80,3.7,29.3,31.16
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,240,07-24-2019,16:00:00,1006.73,8.00,0.00,23.9,997.54,66,0.00,11.1,30.9,29.56
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,000,07-24-2019,16:00:00,1007.94,14.00,31.50,26.5,1006.68,92,31.50,0.0,27.9,34.60
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,060,07-24-2019,16:00:00,1006.62,11.00,31.80,23.6,1006.19,89,31.80,5.6,25.5,29.11
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,360,07-24-2019,16:00:00,1005.95,10.00,0.00,20.8,993.97,47,0.00,11.1,33.7,24.51
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,120,07-24-2019,16:00:00,1006.05,10.00,0.00,27.4,1005.35,79,0.00,7.4,31.4,36.51
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,240,07-24-2019,16:00:00,1006.57,10.00,0.00,22.5,1004.18,55,0.00,11.1,32.7,27.25
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,250,07-24-2019,16:00:00,1006.40,10.00,0.00,25.3,1005.89,71,0.00,14.8,31.2,32.18
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,250,07-24-2019,16:00:00,1005.81,11.00,0.00,23.3,1000.74,61,0.00,7.4,31.7,28.63
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,240,07-24-2019,16:00:00,1006.62,8.00,0.00,24.1,1006.22,64,27.50,9.3,31.8,29.96
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,230,07-24-2019,16:00:00,1006.82,10.00,0.00,24.5,1004.09,68,54.60,3.7,31.2,30.73
