WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,LandVisibility,DewPoint,WindDirection,MeanSeaLevelPressure,StationPressure,RelativeHumidity,AirTemperature,Rainfall24Hr,VaporPressure,WindSpeed
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.40,07-26-2019,01:00:00,6.00,23.2,000,1008.80,977.65,94,24.2,16.00,28.36,0.0
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,0.80,07-26-2019,01:00:00,4.00,17.3,300,1005.82,844.10,99,17.5,2.50,19.77,50.0
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.01,07-26-2019,01:00:00,10.00,22.9,000,1006.24,962.57,88,25.0,2.20,27.96,0.0
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.40,07-26-2019,01:00:00,1.00,23.7,000,1006.26,960.62,95,24.6,2.90,29.33,0.0
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.90,07-26-2019,01:00:00,6.00,23.5,000,1007.78,969.85,100,23.5,25.50,28.94,0.0
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,6.00,07-26-2019,01:00:00,10.00,22.8,000,1007.02,961.63,96,23.5,6.40,27.66,0.0
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.30,07-26-2019,01:00:00,8.00,23.8,000,1008.00,981.11,96,24.5,14.70,29.41,0.0
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,0.00,07-26-2019,01:00:00,11.00,21.1,280,1008.50,986.67,75,25.8,0.20,25.03,1.9
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.00,07-26-2019,01:00:00,5.00,22.5,000,1009.46,985.06,96,23.3,7.20,27.33,0.0
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,0.00,07-26-2019,01:00:00,10.00,23.6,000,1007.93,973.33,89,25.5,2.70,29.11,0.0
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.00,07-26-2019,01:00:00,10.00,23.7,000,1008.04,980.41,90,25.5,8.90,29.38,0.0
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.00,07-26-2019,01:00:00,10.00,20.6,000,1007.59,974.11,68,27.0,0.00,24.29,0.0
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,0.00,07-26-2019,01:00:00,10.00,23.3,220,1007.85,989.28,87,25.7,0.30,28.69,9.3
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.70,07-26-2019,01:00:00,10.00,24.3,000,1007.51,984.58,96,25.0,2.30,30.32,0.0
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.80,07-26-2019,01:00:00,7.00,23.4,000,1007.77,977.64,97,24.0,2.00,28.78,0.0
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.00,07-26-2019,01:00:00,7.00,24.1,000,1007.84,972.22,92,25.4,11.00,29.99,0.0
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.00,07-26-2019,01:00:00,10.00,21.2,000,1007.38,977.53,80,25.0,0.20,25.19,0.0
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.00,07-26-2019,01:00:00,8.00,23.3,000,1008.19,1000.85,88,25.5,16.20,28.59,0.0
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.00,07-26-2019,01:00:00,11.00,23.7,040,1007.75,987.84,83,26.8,0.20,29.37,3.7
48353,LOEI,เลย,เลย,17.45000,101.73333,0.00,07-26-2019,01:00:00,12.00,22.5,000,1007.15,978.39,84,25.5,0.40,27.29,0.0
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,0.00,07-26-2019,01:00:00,12.00,23.6,000,1007.68,987.48,84,26.5,8.90,29.08,0.0
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,0.80,07-26-2019,01:00:00,10.00,23.5,000,1008.13,986.25,92,25.0,2.90,29.00,0.0
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,0.00,07-26-2019,01:00:00,11.00,23.9,000,1007.88,988.27,92,25.2,3.10,29.62,0.0
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,0.10,07-26-2019,01:00:00,10.00,24.1,000,1008.24,991.38,95,25.0,42.90,30.05,0.0
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.10,07-26-2019,01:00:00,9.00,24.5,000,1008.82,991.29,95,25.4,13.90,30.79,0.0
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,0.00,07-26-2019,01:00:00,10.00,22.0,260,1008.51,1002.71,75,26.8,5.20,26.48,5.6
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,0.00,07-26-2019,01:00:00,10.00,24.1,000,1007.58,1001.34,95,25.0,25.80,30.05,0.0
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,5.80,07-26-2019,01:00:00,5.00,23.3,180,1010.20,993.55,96,24.0,27.60,28.53,5.6
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,1.30,07-26-2019,01:00:00,10.00,22.2,000,1008.32,985.68,96,23.0,25.60,26.83,0.0
48376,TAK,ตาก,ตาก,16.87833,99.14333,0.00,07-26-2019,01:00:00,8.00,21.3,270,1009.48,995.02,75,26.0,1.00,25.36,9.3
48378,PHITSANULOK,พิษณุโลก,พิษณุโลก,16.79481,100.27930,0.00,07-26-2019,01:00:00,10.00,23.6,120,1007.73,1002.46,96,24.3,3.10,29.05,3.7
48379,PHETCHABUN,เพชรบูรณ์,เพชรบูรณ์,16.43333,101.15000,18.70,07-26-2019,01:00:00,6.00,23.8,000,1008.47,995.15,96,24.5,28.40,29.41,0.0
48380,KAMPHAENG PHET,กำแพงเพชร,กำแพงเพชร,16.48681,99.52697,0.00,07-26-2019,01:00:00,10.00,23.9,110,1008.85,999.48,89,25.9,0.90,29.58,3.7
