WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,AirTemperature,MeanSeaLevelPressure,RelativeHumidity,MinimumTemperature,Rainfall24Hr,WindDirection,VaporPressure,DewPoint,StationPressure,Rainfall,WindSpeed
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,8.00,09-04-2019,07:00:00,26.0,1007.10,92,25.6,17.20,000,30.84,24.6,1006.80,0.00,0.0
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,8.00,09-04-2019,07:00:00,25.8,1006.64,93,25.0,5.20,000,31.00,24.6,1005.95,1.00,0.0
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,10.00,09-04-2019,07:00:00,25.5,1007.18,96,25.5,5.20,210,31.25,24.8,1006.69,0.00,1.9
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,10.00,09-04-2019,07:00:00,26.0,1006.90,91,25.8,0.60,200,30.57,24.4,1005.48,0.00,11.1
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,10.00,09-04-2019,07:00:00,27.1,1007.25,87,26.0,3.20,220,31.30,24.8,1005.57,0.00,14.8
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,.50,09-04-2019,07:00:00,24.9,1008.68,99,24.2,6.30,000,31.20,24.7,1000.61,0.80,0.0
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,10.00,09-04-2019,07:00:00,26.6,1006.94,90,26.0,6.20,000,31.16,24.7,1006.65,0.00,0.0
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,10.00,09-04-2019,07:00:00,27.5,1007.24,81,25.5,10.00,000,29.60,23.9,1004.11,0.00,0.0
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,12.00,09-04-2019,07:00:00,27.0,1007.41,80,25.0,1.20,240,28.67,23.3,1000.47,0.00,9.3
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,5.00,09-04-2019,07:00:00,24.5,1007.58,100,23.9,33.60,000,30.73,24.5,1001.93,8.00,0.0
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,10.00,09-04-2019,07:00:00,26.9,1008.05,82,25.5,9.00,260,29.02,23.5,998.72,0.00,14.8
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,10.00,09-04-2019,07:00:00,25.0,1007.64,98,24.4,2.00,000,31.12,24.7,1006.36,0.00,0.0
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,11.00,09-04-2019,07:00:00,25.5,1006.82,93,24.5,2.80,000,30.17,24.2,1006.39,0.00,0.0
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,8.00,09-04-2019,07:00:00,24.5,1007.26,96,23.0,3.50,000,29.41,23.8,994.90,0.10,0.0
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,10.00,09-04-2019,07:00:00,27.0,1006.89,81,25.2,0.60,000,28.94,23.5,1006.18,0.00,0.0
