WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Date,Time,AirTemperature,Rainfall,RelativeHumidity,DewPoint,VaporPressure,StationPressure,WindSpeed,MeanSeaLevelPressure,WindDirection,LandVisibility,Rainfall24Hr
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,08-19-2019,01:00:00,28.1,0.00,85,25.4,32.43,1008.29,5.6,1009.40,210,6.00,0.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,08-19-2019,01:00:00,27.6,0.00,76,23.1,28.18,993.82,0.0,1008.50,000,8.00,0.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,08-19-2019,01:00:00,20.3,0.00,99,20.1,23.57,875.86,3.7,1011.05,210,.10,14.20
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,08-19-2019,01:00:00,27.7,0.00,83,24.5,30.81,1003.25,0.0,1009.13,000,10.00,0.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,08-19-2019,01:00:00,28.5,0.00,87,26.1,33.82,1009.03,0.0,1009.83,000,8.00,0.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,08-19-2019,01:00:00,29.0,0.00,84,26.0,33.70,1008.59,14.8,1009.03,210,10.00,0.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,08-19-2019,01:00:00,24.9,0.00,96,24.2,30.13,999.34,0.0,1010.76,000,4.00,3.10
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,08-19-2019,01:00:00,28.0,0.00,77,23.6,29.19,1008.42,3.7,1009.44,190,10.00,0.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,08-19-2019,01:00:00,27.5,0.00,88,25.4,32.36,1007.62,7.4,1009.44,190,7.00,0.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,08-19-2019,01:00:00,27.1,0.00,76,22.5,27.27,1008.44,0.0,1009.21,000,7.00,0.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,08-19-2019,01:00:00,28.1,0.00,85,25.4,32.43,1009.04,9.3,1009.75,190,10.00,0.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,08-19-2019,01:00:00,28.1,0.00,89,26.1,33.86,1008.86,0.0,1009.56,000,7.00,0.90
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,08-19-2019,01:00:00,27.9,0.00,74,22.9,27.93,988.19,1.9,1009.32,220,10.00,0.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,08-19-2019,01:00:00,26.8,0.00,90,24.9,31.55,992.03,0.0,1008.78,000,7.00,3.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,08-19-2019,01:00:00,26.0,0.00,93,24.8,31.38,992.56,0.0,1009.07,000,6.00,4.30
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,08-19-2019,01:00:00,28.0,0.00,79,23.9,29.74,987.37,0.0,1009.20,000,10.00,0.01
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,08-19-2019,01:00:00,26.3,0.00,81,22.8,27.67,965.76,5.6,1009.19,250,12.00,0.01
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,08-19-2019,01:00:00,27.3,0.00,81,23.7,29.23,988.65,0.0,1009.23,000,10.00,0.40
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,08-19-2019,01:00:00,26.5,0.00,93,25.4,32.35,989.22,9.3,1010.13,220,8.00,0.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,08-19-2019,01:00:00,27.9,0.00,80,24.1,30.09,1009.81,3.7,1010.24,310,10.00,0.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,08-19-2019,01:00:00,27.7,0.00,89,25.7,33.05,1008.37,0.0,1009.79,000,6.00,0.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,08-19-2019,01:00:00,26.3,0.00,94,25.3,32.23,1005.16,0.0,1010.12,000,7.00,0.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,08-19-2019,01:00:00,27.2,0.00,79,23.2,28.51,1006.34,0.0,1009.64,000,10.00,0.01
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,08-19-2019,01:00:00,26.5,0.00,88,24.3,30.43,1008.35,0.0,1009.46,000,10.00,0.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,08-19-2019,01:00:00,29.2,0.00,79,25.1,31.81,1009.37,5.6,1009.67,200,10.00,0.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,08-19-2019,01:00:00,28.4,0.00,85,25.7,33.04,1009.56,0.0,1010.05,000,10.00,0.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,08-19-2019,01:00:00,28.3,0.00,83,25.2,31.99,1008.15,11.1,1009.55,210,10.00,0.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,08-19-2019,01:00:00,26.0,0.00,92,24.6,30.84,1003.67,0.0,1011.74,000,10.00,0.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,08-19-2019,01:00:00,28.3,0.00,82,25.0,31.70,1009.57,0.0,1009.86,000,10.00,0.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,08-19-2019,01:00:00,28.5,0.00,74,23.4,28.78,1006.76,0.0,1009.89,000,10.00,0.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,08-19-2019,01:00:00,27.7,0.00,91,26.0,33.62,1003.28,0.0,1010.23,000,10.00,0.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,08-19-2019,01:00:00,27.0,0.00,88,24.8,31.38,1004.53,7.4,1010.15,280,8.00,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,08-19-2019,01:00:00,25.5,0.00,92,24.0,29.91,1009.20,3.7,1010.48,230,10.00,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,08-19-2019,01:00:00,27.5,0.00,76,22.9,28.00,1009.30,18.5,1009.73,270,11.00,1.10
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,08-19-2019,01:00:00,24.5,0.00,89,22.6,27.35,998.51,5.6,1010.92,260,10.00,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,08-19-2019,01:00:00,27.5,0.00,78,23.4,28.80,1009.93,0.0,1010.64,000,10.00,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,08-19-2019,01:00:00,28.0,0.00,81,24.4,30.56,1008.66,3.7,1011.09,240,10.00,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,08-19-2019,01:00:00,28.8,0.00,87,26.4,34.45,1010.06,9.3,1010.58,210,10.00,0.00
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,08-19-2019,01:00:00,27.8,0.00,83,24.6,31.00,1005.01,0.0,1010.16,000,9.00,0.00
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,08-19-2019,01:00:00,27.2,0.00,90,25.3,32.33,1010.10,0.0,1010.52,000,7.00,2.90
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,08-19-2019,01:00:00,26.4,0.00,93,25.1,31.88,1007.91,0.0,1010.70,000,8.00,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,08-19-2019,01:00:00,27.2,0.00,81,23.7,29.31,1010.34,0.0,1011.13,000,10.00,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,08-19-2019,01:00:00,25.0,0.00,93,23.8,29.52,1010.51,7.4,1010.98,050,7.00,0.00
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,08-19-2019,01:00:00,26.2,0.00,88,24.0,29.86,1010.93,0.0,1011.62,000,10.00,1.50
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,08-19-2019,01:00:00,24.8,0.00,93,23.6,29.16,1009.94,0.0,1011.49,000,8.00,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,08-19-2019,01:00:00,25.2,0.00,89,23.3,28.57,1010.94,0.0,1011.86,000,10.00,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,08-19-2019,01:00:00,27.0,0.00,88,24.8,31.38,1011.24,0.0,1011.93,000,10.00,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,08-19-2019,01:00:00,24.3,0.00,96,23.6,29.05,1010.72,0.0,1011.53,000,8.00,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,08-19-2019,01:00:00,26.0,0.00,92,24.6,30.84,1010.62,0.0,1011.25,000,10.00,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,08-19-2019,01:00:00,26.2,0.00,92,24.8,31.22,1011.28,0.0,1011.69,000,10.00,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,08-19-2019,01:00:00,25.9,0.00,89,23.9,29.58,1009.07,0.0,1013.32,000,6.00,0.00
