WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,Rainfall,Date,Time,MaximumTemperature,DewPoint,MeanSeaLevelPressure,WindDirection,WindSpeed,RelativeHumidity,AirTemperature,VaporPressure,Rainfall24Hr,StationPressure,LandVisibility
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,0.00,08-19-2019,19:00:00,34.4,25.1,1005.08,000,0.0,69,31.5,31.93,0.00,991.28,10.00
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,0.00,08-19-2019,19:00:00,34.6,26.6,1005.75,000,0.0,82,30.1,34.85,0.00,991.09,9.00
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,0.00,08-19-2019,19:00:00,34.5,25.4,1006.02,000,0.0,72,31.0,32.34,0.00,991.56,8.00
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,36.10,08-19-2019,19:00:00,34.9,25.0,1006.15,"{'0': '   ', '@attributes': {'Unit': 'degree'}}",0.0,97,25.6,31.71,36.10,1003.12,7.00
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,0.00,08-19-2019,19:00:00,34.6,25.6,1004.98,000,0.0,72,31.2,32.76,0.01,997.16,10.00
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,0.00,08-19-2019,19:00:00,33.7,25.7,1006.63,230,7.4,72,31.3,32.97,0.00,1005.54,8.00
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,0.00,08-19-2019,19:00:00,35.4,27.4,1005.09,000,0.0,79,31.5,36.42,0.00,990.65,8.00
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,0.00,08-19-2019,19:00:00,25.3,20.6,1007.66,270,5.6,97,21.1,24.30,0.01,873.26,8.00
48418,BUA CHUM,บัวชุม  ,ลพบุรี,15.26667,101.18736,0.00,08-19-2019,19:00:00,33.6,25.4,1005.53,000,0.0,73,30.9,32.42,0.00,999.73,10.00
48419,PATHUMTHANI,ปทุมธานี สกษ.,ปทุมธานี,14.10000,100.61667,0.00,08-19-2019,19:00:00,36.0,24.5,1005.69,240,31.5,62,32.9,30.78,0.00,1004.90,8.00
48420,Samut Prakarn,สมุทรปราการ สกษ.,สมุทรปราการ,13.51667,100.76167,0.00,08-19-2019,19:00:00,32.5,24.2,1006.70,230,13.0,67,30.9,30.13,0.00,1006.26,10.00
48421,THONG PHAPHUM,ทองผาภูมิ,กาญจนบุรี,14.74222,98.63639,1.80,08-19-2019,19:00:00,30.5,24.4,1008.19,000,0.0,96,25.1,30.50,3.60,996.80,3.00
48425,SUPHAN BURI,สุพรรณบุรี,สุพรรณบุรี,14.47444,100.13889,0.00,08-19-2019,19:00:00,34.9,23.6,1006.50,170,3.7,77,28.1,29.11,0.00,1005.49,10.00
48426,LOP BURI,ลพบุรี,ลพบุรี,14.79972,100.64500,7.60,08-19-2019,19:00:00,34.5,23.8,1006.79,090,3.7,89,25.7,29.48,7.60,1004.96,7.00
48427,U THONG AGROMET.,อู่ทอง สกษ.,สุพรรณบุรี,14.30361,99.86472,0.00,08-19-2019,19:00:00,34.0,24.7,1007.50,000,0.0,75,29.6,31.20,0.00,1006.74,7.00
48429,SUVARNABHUMI AIRPORT,สนามบินสุวรรณภูมิ,สมุทรปราการ,13.68639,100.76750,0.00,08-19-2019,19:00:00,33.5,24.2,1006.35,190,11.1,70,30.2,30.14,0.00,1005.65,10.00
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,0.00,08-19-2019,19:00:00,35.3,26.3,1005.83,000,0.0,70,32.4,34.16,0.90,1005.14,7.00
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,0.00,08-19-2019,19:00:00,34.7,23.1,1005.34,280,9.3,61,31.5,28.23,0.00,984.53,10.00
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,0.00,08-19-2019,19:00:00,34.0,25.5,1005.00,000,0.0,69,31.8,32.56,0.10,988.58,10.00
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,0.00,08-19-2019,19:00:00,34.2,25.5,1005.50,000,0.0,77,30.0,32.59,1.30,989.25,7.00
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,0.00,08-19-2019,19:00:00,36.0,24.1,1004.73,000,0.0,63,32.0,30.08,0.00,983.28,10.00
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,0.00,08-19-2019,19:00:00,30.1,23.1,1005.35,170,7.4,74,28.2,28.22,0.01,962.35,10.00
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,0.00,08-19-2019,19:00:00,36.3,22.9,1004.87,230,9.3,58,32.2,27.94,0.00,984.71,10.00
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,0.00,08-19-2019,19:00:00,34.4,25.2,1006.50,000,0.0,80,29.0,31.98,0.00,985.84,9.00
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,0.00,08-19-2019,19:00:00,33.8,25.4,1005.97,190,20.4,76,30.1,32.50,0.00,1005.54,10.00
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,0.00,08-19-2019,19:00:00,34.8,26.0,1005.53,000,0.0,74,31.2,33.65,0.00,1004.13,8.00
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,0.00,08-19-2019,19:00:00,34.4,26.3,1005.74,000,0.0,78,30.5,34.22,0.00,1000.87,8.00
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,0.40,08-19-2019,19:00:00,34.2,24.7,1006.64,000,0.0,85,27.4,31.05,0.40,1003.35,12.00
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,0.00,08-19-2019,19:00:00,34.8,23.1,1006.63,290,3.7,76,27.6,28.18,0.00,1005.52,10.00
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,0.01,08-19-2019,19:00:00,35.1,24.8,1006.14,200,5.6,69,31.2,31.31,0.01,1005.84,10.00
48454,BANGKOK PORT (KLONG TOEI),กรุงเทพฯ ท่าเรือคลองเตย,กรุงเทพมหานคร,13.70694,100.56805,0.00,08-19-2019,19:00:00,35.6,24.5,1006.71,210,3.7,71,30.4,30.82,0.00,1006.03,10.00
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,0.00,08-19-2019,19:00:00,35.3,25.1,1005.39,000,0.0,69,31.5,31.93,0.00,1004.91,10.00
48456,DON MUANG AIRPORT,สนามบินดอนเมือง,กรุงเทพมหานคร,13.91917,100.60500,4.20,08-19-2019,19:00:00,33.5,26.5,1006.12,140,9.3,88,28.6,34.61,4.20,1004.72,7.00
48457,PILOT STATION,นำร่อง,สมุทรปราการ,13.39389,100.59944,0.00,08-19-2019,19:00:00,31.1,26.5,1007.03,210,25.9,82,30.0,34.64,0.00,1005.37,12.00
48458,CHACHOENGSAO,ฉะเชิงเทรา,ฉะเชิงเทรา,13.51556,101.45833,0.00,08-19-2019,19:00:00,35.5,24.6,1007.44,000,0.0,70,30.7,30.86,0.00,999.53,10.00
48459,CHON BURI,ชลบุรี,ชลบุรี,13.36667,100.98333,0.00,08-19-2019,19:00:00,35.1,24.8,1006.15,000,0.0,66,31.9,31.31,0.00,1005.87,10.00
48460,KO SICHANG,เกาะสีชัง,ชลบุรี,13.16167,100.80194,0.00,08-19-2019,19:00:00,32.2,24.4,1006.53,270,9.3,73,29.8,30.47,0.00,1003.43,10.00
48461,PHATTHAYA,พัทยา,ชลบุรี,12.92000,100.86944,0.00,08-19-2019,19:00:00,32.4,24.6,1006.45,250,7.4,75,29.6,30.92,0.00,999.58,10.00
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,0.00,08-19-2019,19:00:00,35.4,25.8,1005.70,270,7.4,71,31.8,33.15,0.00,1000.20,8.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,0.00,08-19-2019,19:00:00,33.8,22.9,1007.78,230,18.5,68,29.5,27.96,0.00,998.54,10.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,0.00,08-19-2019,19:00:00,34.9,25.7,1006.99,000,0.0,75,30.6,32.96,0.00,1005.74,10.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,0.00,08-19-2019,19:00:00,35.1,26.3,1005.92,160,9.3,79,30.4,34.31,0.00,1005.49,11.00
