WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,RelativeHumidity,LandVisibility,VaporPressure,WindSpeed,WindDirection,StationPressure,Rainfall,AirTemperature,Rainfall24Hr,MeanSeaLevelPressure
48385,UMPHANG,อุ้มผาง,ตาก,16.02472,98.86444,21.9,09-21-2019,16:00:00,66,10.00,26.24,0.0,000,956.37,0.00,29.0,11.40,1007.04
48386,PICHIT AGROMET.,พิจิตร สกษ.,พิจิตร,16.43806,100.29250,26.1,09-21-2019,16:00:00,71,7.00,33.88,3.7,320,1001.57,0.00,32.0,4.00,1005.46
48387,DOI MU SOE AGROMET.,ดอยมูเซอร์ สกษ.,ตาก,16.75000,98.93333,21.6,09-21-2019,16:00:00,92,8.00,25.84,7.4,070,912.81,3.50,23.0,5.30,1007.49
48390,KALASIN,กาฬสินธุ์,กาฬสินธุ์,16.33250,103.58833,23.8,09-21-2019,16:00:00,64,10.00,29.55,9.3,110,990.39,0.00,31.6,17.50,1006.12
48400,NAKHON SAWAN,นครสวรรค์ ,นครสวรรค์,15.67183,100.13236,25.0,09-21-2019,16:00:00,80,7.00,31.66,5.6,210,1002.50,6.90,28.7,29.90,1006.51
48401,TAKFA AGROMET.,ตากฟ้า สกษ.,นครสวรรค์,15.34944,100.53028,24.5,09-21-2019,16:00:00,90,10.00,30.67,0.0,000,996.58,0.60,26.2,62.60,1007.28
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,25.2,09-21-2019,16:00:00,82,4.00,32.02,3.7,180,1004.63,1.80,28.6,14.30,1006.54
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,23.1,09-21-2019,16:00:00,62,10.00,28.20,7.4,030,985.48,0.00,31.2,16.60,1006.03
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,23.2,09-21-2019,16:00:00,60,10.00,28.46,13.0,070,988.43,0.00,31.9,23.50,1005.79
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,23.1,09-21-2019,16:00:00,58,10.00,28.25,9.3,050,989.73,0.00,32.5,15.10,1005.58
