WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,VaporPressure,RelativeHumidity,WindDirection,WindSpeed,MeanSeaLevelPressure,Rainfall,StationPressure,AirTemperature,DewPoint,Rainfall24Hr
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,7.00,08-30-2019,10:00:00,32.01,96,290,7.4,1006.93,1.40,1006.25,25.9,25.2,7.90
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,6.00,08-30-2019,10:00:00,31.22,87,300,1.9,1006.45,0.40,1004.93,27.2,24.8,22.80
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,7.00,08-30-2019,10:00:00,30.05,95,230,7.4,1007.77,16.90,1006.84,25.0,24.1,66.40
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,10.00,08-30-2019,10:00:00,29.98,81,000,0.0,1007.06,0.10,1006.37,27.7,24.1,0.60
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,6.00,08-30-2019,10:00:00,31.25,96,240,7.4,1007.80,5.10,1007.00,25.5,24.8,12.80
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,9.00,08-30-2019,10:00:00,30.81,88,000,0.0,1007.35,0.01,1006.71,26.7,24.5,10.60
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,10.00,08-30-2019,10:00:00,31.11,82,190,11.1,1007.77,0.00,1007.37,28.0,24.7,9.20
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,6.00,08-30-2019,10:00:00,29.22,76,260,16.7,1008.99,0.60,1004.79,28.3,23.7,5.80
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,8.00,08-30-2019,10:00:00,30.20,98,220,7.4,1008.66,4.60,1007.04,24.5,24.2,20.80
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,7.00,08-30-2019,10:00:00,31.00,83,000,0.0,1009.19,1.00,1005.72,27.8,24.6,21.60
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,10.00,08-30-2019,10:00:00,31.79,92,190,7.4,1008.19,0.50,1006.83,26.5,25.1,13.70
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,6.00,08-30-2019,10:00:00,30.69,96,240,18.5,1008.87,24.20,1007.98,25.2,24.5,89.60
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,8.00,08-30-2019,10:00:00,29.04,97,250,5.6,1008.86,5.10,1005.26,24.0,23.6,52.10
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,8.00,08-30-2019,10:00:00,30.02,84,000,0.0,1008.37,5.60,1007.93,27.0,24.1,26.20
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,3.00,08-30-2019,10:00:00,30.05,95,330,20.4,1008.30,20.00,1007.30,25.0,24.1,52.80
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,5.00,08-30-2019,10:00:00,32.56,88,270,33.3,1008.75,0.20,1007.93,27.6,25.5,19.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,12.00,08-30-2019,10:00:00,31.27,94,000,0.0,1008.50,20.50,1006.68,25.8,24.8,38.80
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,11.00,08-30-2019,10:00:00,29.06,67,220,7.4,1008.01,0.00,1007.26,30.5,23.6,1.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,10.00,08-30-2019,10:00:00,31.03,74,230,11.1,1008.35,0.00,1004.39,29.8,24.7,23.20
48570,SATUN,สตูล,สตูล,6.65000,100.08333,10.00,08-30-2019,10:00:00,31.84,74,000,0.0,1008.52,0.00,1007.85,30.2,25.1,21.90
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,10.00,08-30-2019,10:00:00,30.54,70,000,0.0,1007.88,0.00,1006.78,30.4,24.4,8.80
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,10.00,08-30-2019,10:00:00,33.13,76,210,7.4,1008.23,0.00,1005.34,30.4,25.8,18.60
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,11.00,08-30-2019,10:00:00,33.48,73,000,0.0,1007.24,0.00,1006.56,31.4,25.9,11.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,8.00,08-30-2019,10:00:00,28.21,70,210,5.6,1008.56,0.00,1004.46,29.2,23.1,7.50
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,10.00,08-30-2019,10:00:00,28.86,75,240,9.3,1008.17,0.00,1007.59,28.4,23.5,0.30
