WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,MeanSeaLevelPressure,Date,Time,WindDirection,MinimumTemperature,StationPressure,Rainfall24Hr,LandVisibility,DewPoint,Rainfall,AirTemperature,WindSpeed,RelativeHumidity,VaporPressure
48402,CHAINAT AGROMET.,ชัยนาท สกษ.,ชัยนาท,15.15000,100.18333,1008.85,08-23-2019,07:00:00,150,25.8,1006.91,6.70,9.00,24.6,0.00,26.0,3.7,92,30.84
48403,CHAIYAPHUM,ชัยภูมิ,ชัยภูมิ,15.80000,102.03333,1008.67,08-23-2019,07:00:00,000,23.5,987.64,1.80,10.00,23.5,0.40,25.0,0.0,92,29.00
48404,ROI ET AGROMET.,ร้อยเอ็ด สกษ.,ร้อยเอ็ด,16.07322,103.60844,1008.88,08-23-2019,07:00:00,000,24.5,991.08,6.90,10.00,24.8,1.10,25.2,0.0,97,31.22
48405,ROI ET,ร้อยเอ็ด,ร้อยเอ็ด,16.02000,103.74389,1008.60,08-23-2019,07:00:00,000,25.0,992.35,11.00,8.00,25.4,1.70,25.8,0.0,97,32.37
48407,UBON RATCHATHANI,อุบลราชธานี (ศูนย์ฯ),อุบลราชธานี,15.25000,104.86667,1009.60,08-23-2019,07:00:00,000,24.1,995.44,27.70,9.00,24.6,1.20,25.2,0.0,97,30.96
48408,UBON RATCHATHANI AGROMET.,อุบลราชธานี สกษ.,อุบลราชธานี,15.23914,105.02350,1010.16,08-23-2019,07:00:00,000,24.5,995.19,26.40,8.00,24.7,1.00,25.0,0.0,98,31.12
48409,SI SAKET AGROMET.,ศรีสะเกษ,ศรีสะเกษ,15.00000,104.05000,1009.62,08-23-2019,07:00:00,000,23.9,994.85,4.60,7.00,25.7,0.01,25.9,0.0,99,33.12
48410,UTHAITHANI,อุทัยธานี,อุทัยธานี,15.37417,100.03889,1007.52,08-23-2019,07:00:00,"{'@attributes': {'Unit': 'degree'}, '0': '   '}",24.4,1004.49,2.60,10.00,25.4,0.20,26.3,0.0,95,32.51
48413,WICHIAN BURI,วิเชียรบุรี,เพชรบูรณ์,15.65700,101.10800,1008.54,08-23-2019,07:00:00,000,24.8,1000.53,3.20,10.00,24.4,0.60,25.3,0.0,95,30.60
48415,AYUTTHAYA,พระนครศรีอยุธยา,พระนครศรีอยุธยา,14.53472,100.72500,1009.24,08-23-2019,07:00:00,120,25.0,1008.12,2.90,8.00,24.8,0.00,26.2,5.6,92,31.22
48416,THA TUM,ท่าตูม,สุรินทร์,15.31667,103.68333,1006.22,08-23-2019,07:00:00,000,25.5,991.49,5.50,8.00,24.2,0.90,25.9,0.0,90,30.11
48417,NAKORNNAYOK,นครนายก,นครนายก,14.36222,101.39278,1010.62,08-23-2019,07:00:00,200,18.2,875.02,48.00,.05,19.0,1.20,19.2,5.6,99,22.01
