WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,AirTemperature,Date,Time,RelativeHumidity,DewPoint,MeanSeaLevelPressure,WindDirection,StationPressure,WindSpeed,LandVisibility,MaximumTemperature,Rainfall24Hr,VaporPressure,Rainfall
48462,ARANYA PRATHET,อรัญประเทศ,สระแก้ว,13.70000,102.58333,28.6,10-10-2019,19:00:00,78,24.3,1009.32,000,1003.74,0.0,10.00,31.1,0.01,30.34,0.00
48463,LAEM CHABANG,แหลมฉบัง,ชลบุรี,13.07694,100.87583,26.5,10-10-2019,19:00:00,87,24.2,1010.29,130,1000.93,13.0,3.00,34.0,0.00,30.16,0.00
48464,RATCHA BURI,ราชบุรี,ราชบุรี,13.48931,99.79239,29.0,10-10-2019,19:00:00,84,26.0,1010.07,000,1008.81,0.0,8.00,33.7,0.01,33.70,0.00
48465,PHETCHA BURI,เพชรบุรี,เพชรบุรี,12.99944,100.06056,30.2,10-10-2019,19:00:00,76,25.4,1009.47,180,1009.04,5.6,11.00,34.4,0.00,32.42,0.00
48474,NONG PHLUB AGROMET.,หนองพลับ สกษ.,ประจวบคีรีขันธ์,12.58333,99.73333,27.5,10-10-2019,19:00:00,84,24.6,1009.48,000,997.21,0.0,8.00,32.8,0.00,30.97,0.00
48475,HUA HIN,หัวหิน,ประจวบคีรีขันธ์,12.58611,99.96250,29.0,10-10-2019,19:00:00,82,25.6,1009.50,000,1008.79,0.0,7.00,31.2,0.00,32.83,0.00
48477,SATTAHIP,สัตหีบ,ชลบุรี,12.68333,100.98333,27.7,10-10-2019,19:00:00,86,25.1,1009.90,000,1007.47,0.0,6.00,33.3,6.30,31.92,0.00
48478,RAYONG,ระยอง,ระยอง,12.63222,101.34361,27.0,10-10-2019,19:00:00,92,25.6,1009.96,000,1009.44,0.0,8.00,32.0,0.50,32.77,0.50
48479,HUAI PONG AGROMET.,ห้วยโป่ง สกษ.,ระยอง,12.73333,101.13333,25.9,10-10-2019,19:00:00,91,24.3,1009.01,000,1003.83,0.0,8.00,33.1,1.50,30.38,1.50
48480,CHANTHA BURI,จันทบุรี,จันทบุรี,12.61667,102.11333,27.5,10-10-2019,19:00:00,88,25.4,1009.57,000,1009.15,0.0,7.00,31.7,0.30,32.36,0.00
48481,PHLIU  AGROMET.,พลิ้ว สกษ.,จันทบุรี,12.50861,102.17305,27.0,10-10-2019,19:00:00,90,25.1,1009.58,000,1006.80,0.0,8.00,31.3,3.20,31.94,0.00
48500,PRACHUAP KHIRIKHAN,ประจวบคีรีขันธ์,ประจวบคีรีขันธ์,11.83333,99.83333,28.9,10-10-2019,19:00:00,77,24.5,1009.33,000,1008.55,0.0,10.00,32.5,0.00,30.65,0.00
48501,TRAD,ตราด,ตราด,11.76667,102.88333,24.7,10-10-2019,19:00:00,95,23.8,1009.77,000,1009.30,0.0,6.00,33.3,16.90,29.51,0.70
48517,CHUMPHON,ชุมพร,ชุมพร,10.49875,99.18847,27.1,10-10-2019,19:00:00,78,23.0,1009.83,000,1009.15,0.0,8.00,32.3,0.00,28.06,0.00
48520,SAWI AGROMET.,สวี สกษ.,ชุมพร,10.33333,99.10000,27.8,10-10-2019,19:00:00,80,24.0,1009.28,000,1007.76,0.0,7.00,32.2,0.40,29.90,0.00
48532,RANONG,ระนอง,ระนอง,9.98333,98.61667,26.6,10-10-2019,19:00:00,90,24.7,1010.57,020,1009.65,3.7,10.00,30.8,11.70,31.16,0.00
48550,KO SAMUI,เกาะสมุย,สุราษฎร์ธานี,9.46667,100.05000,26.7,10-10-2019,19:00:00,86,24.2,1010.13,000,1009.44,0.0,10.00,29.8,5.40,30.26,0.00
48551,SURAT THANI,สุราษฎร์ธานี,สุราษฎร์ธานี,9.13556,99.15194,27.0,10-10-2019,19:00:00,96,26.3,1009.94,000,1009.14,0.0,8.00,32.5,0.01,34.19,0.00
48552,NAKHONSI THAMMARAT,นครศรีธรรมราช,นครศรีธรรมราช,8.53778,99.96389,28.2,10-10-2019,19:00:00,83,25.1,1009.99,000,1009.36,0.0,10.00,32.9,0.00,31.79,0.00
48554,NAKHONSI THAMMARAT AGROMET.,นครศรีธรรมราช สกษ.,นครศรีธรรมราช,8.35931,100.00000,27.3,10-10-2019,19:00:00,92,25.9,1010.98,000,1010.57,0.0,10.00,32.5,0.30,33.38,0.00
48555,SURAT THANI AGROMET.,สุราษฎร์ธานี สกษ.,สุราษฎร์ธานี,9.10000,99.63333,26.3,10-10-2019,19:00:00,93,25.0,1011.55,000,1007.31,0.0,5.00,30.3,2.40,31.68,0.00
48556,PHRA SANG,พระแสง สอท.,สุราษฎร์ธานี,8.57022,99.25825,28.0,10-10-2019,19:00:00,85,25.1,1010.30,000,1008.69,0.0,10.00,31.6,0.00,31.95,0.00
48557,CHAWANG,ฉวาง,นครศรีธรรมราช,8.43194,99.51194,25.5,10-10-2019,19:00:00,92,24.0,1010.68,000,1007.17,0.0,10.00,33.5,1.40,29.91,0.00
48560,PHATTHALUNG AGROMET.,พัทลุง สกษ.,พัทลุง,7.58333,100.16667,26.5,10-10-2019,19:00:00,93,25.2,1010.49,030,1009.13,7.4,6.00,33.0,0.30,32.07,0.30
48561,TAKUA PA,ตะกั่วป่า,พังงา,8.68417,98.25222,25.0,10-10-2019,19:00:00,96,24.3,1010.15,000,1009.26,0.0,10.00,31.8,4.90,30.32,3.00
48563,KRABI,กระบี่,กระบี่,8.10361,98.97528,24.8,10-10-2019,19:00:00,93,23.6,1010.66,150,1007.07,9.3,8.00,32.3,5.20,29.19,5.20
48564,PHUKET,ภูเก็ต,ภูเก็ต,7.88333,98.40000,28.6,10-10-2019,19:00:00,79,24.6,1009.92,000,1009.48,0.0,10.00,32.3,63.40,30.90,0.00
48565,PHUKET AIRPORT,ภูเก็ต (ศูนย์ฯ),ภูเก็ต,8.14500,98.31444,27.1,10-10-2019,19:00:00,87,24.8,1009.67,000,1008.67,0.0,8.00,32.0,3.70,31.30,0.01
48566,KO LANTA,เกาะลันตา,กระบี่,7.53333,99.05000,26.6,10-10-2019,19:00:00,80,22.8,1010.75,060,1009.93,7.4,10.00,31.5,1.20,27.69,0.00
48567,TRANG AIRPORT,ตรัง,ตรัง,7.51667,99.61667,26.5,10-10-2019,19:00:00,92,25.1,1010.81,000,1008.99,0.0,12.00,33.0,6.40,31.79,0.00
48568,SONGKHLA,สงขลา,สงขลา,7.18211,100.60769,26.2,10-10-2019,19:00:00,80,22.5,1011.20,200,1010.44,3.7,10.00,32.9,0.00,27.23,0.00
48569,HAT YAI AIRPORT,หาดใหญ่,สงขลา,6.91667,100.43333,23.6,10-10-2019,19:00:00,99,23.4,1011.66,120,1007.60,7.4,6.00,34.8,43.20,28.85,13.80
48570,SATUN,สตูล,สตูล,6.65000,100.08333,26.0,10-10-2019,19:00:00,88,23.8,1010.84,000,1010.16,0.0,10.00,31.5,0.10,29.50,0.00
48571,KHO HONG AGROMET.,คอหงษ์ สกษ.,สงขลา,7.00000,100.50000,23.2,10-10-2019,19:00:00,96,22.6,1009.38,000,1008.24,0.0,10.00,33.4,25.20,27.41,1.60
48574,SA DAO,สะเดา,สงขลา,6.79806,100.39056,24.3,10-10-2019,19:00:00,97,23.9,1011.76,180,1008.80,5.6,7.00,34.2,38.10,29.57,13.10
48580,PATTANI AIRPORT,ปัตตานี,ปัตตานี,6.78333,101.15000,24.7,10-10-2019,19:00:00,95,23.8,1011.85,000,1011.16,0.0,8.00,32.4,6.20,29.51,1.20
48581,YALA AGROMET.,ยะลา สกษ.,ยะลา,6.51667,101.28333,23.0,10-10-2019,19:00:00,96,22.4,1012.36,250,1008.16,5.6,6.00,32.6,45.60,27.07,45.60
48583,NARATHIWAT,นราธิวาส,นราธิวาส,6.41667,101.81667,26.5,10-10-2019,19:00:00,77,22.0,1010.94,240,1010.35,13.0,10.00,31.2,0.00,26.47,0.00
