WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,LandVisibility,Date,Time,RelativeHumidity,WindDirection,StationPressure,AirTemperature,WindSpeed,Rainfall,Rainfall24Hr,VaporPressure,DewPoint,MeanSeaLevelPressure
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,6.00,10-04-2019,04:00:00,93,000,979.38,25.4,0.0,0.00,0.00,30.25,24.2,1010.47
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,8.00,10-04-2019,04:00:00,96,200,847.88,17.9,7.4,0.00,0.00,19.65,17.2,1010.08
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,10.00,10-04-2019,04:00:00,89,000,966.16,23.8,0.0,0.00,0.00,26.17,21.8,1010.18
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,10.00,10-04-2019,04:00:00,95,000,964.17,23.0,0.0,0.00,0.00,26.58,22.1,1010.23
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,5.00,10-04-2019,04:00:00,100,000,972.61,22.5,0.0,0.00,0.00,27.24,22.5,1010.78
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,6.00,10-04-2019,04:00:00,95,000,964.44,23.0,0.0,0.00,0.00,26.58,22.1,1010.04
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,4.00,10-04-2019,04:00:00,94,000,983.81,24.2,0.0,0.00,0.00,28.36,23.2,1010.80
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,11.00,10-04-2019,04:00:00,98,000,987.83,24.1,0.0,0.00,0.00,29.48,23.8,1009.81
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,5.00,10-04-2019,04:00:00,93,000,986.65,24.8,0.0,0.00,0.00,29.16,23.6,1010.97
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,10.00,10-04-2019,04:00:00,83,000,976.00,25.0,0.0,0.00,0.00,26.43,22.0,1010.75
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,10.00,10-04-2019,04:00:00,92,000,983.61,25.0,0.0,0.00,0.00,29.00,23.5,1011.37
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,8.00,10-04-2019,04:00:00,92,000,977.25,24.2,0.0,0.00,0.60,27.85,22.9,1011.16
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.00,10-04-2019,04:00:00,92,000,990.84,25.0,0.0,0.00,0.00,29.00,23.5,1009.48
48331,NAN,น่าน,น่าน,18.77972,100.77778,10.00,10-04-2019,04:00:00,91,000,987.22,24.5,0.0,0.00,0.00,28.11,23.0,1010.26
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,6.00,10-04-2019,04:00:00,96,000,979.96,22.2,0.0,0.00,0.00,25.77,21.6,1010.35
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,7.00,10-04-2019,04:00:00,96,000,973.85,25.0,0.0,0.00,0.00,30.32,24.3,1009.57
