WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,DewPoint,Date,Time,Rainfall,WindDirection,RelativeHumidity,Rainfall24Hr,AirTemperature,VaporPressure,StationPressure,MeanSeaLevelPressure,LandVisibility,WindSpeed
48430,PRACHIN BURI,ปราจีนบุรี,ปราจีนบุรี,14.05842,101.36930,25.1,07-21-2019,01:00:00,0.00,000,84,0.00,28.1,31.87,1006.54,1007.24,7.00,0.0
48431,NAKHON RATCHASIMA,นครราชสีมา,นครราชสีมา,14.96830,102.08603,24.6,07-21-2019,01:00:00,0.00,210,84,0.01,27.5,30.97,985.28,1006.38,10.00,3.7
48432,SURIN,สุรินทร์,สุรินทร์,14.88333,103.50000,24.5,07-21-2019,01:00:00,0.00,000,87,0.00,27.0,30.83,990.49,1007.21,7.00,0.0
48433,SURIN AGROMET.,สุรินทร์ สกษ.,สุรินทร์,14.88333,103.45000,24.1,07-21-2019,01:00:00,0.00,230,84,0.00,27.0,30.02,991.42,1007.87,7.00,5.6
48434,CHOK CHAI,โชคชัย,นครราชสีมา,14.71889,102.16861,22.9,07-21-2019,01:00:00,0.00,000,76,0.00,27.5,28.00,984.87,1006.68,10.00,0.0
48435,PAKCHONG AGROMET.,ปากช่อง สกษ.,นครราชสีมา,14.64389,101.33194,22.9,07-21-2019,01:00:00,0.00,000,82,0.00,26.1,27.83,963.53,1006.88,12.00,0.0
48436,NANG RONG,นางรอง,บุรีรัมย์,14.58333,102.80000,23.0,07-21-2019,01:00:00,0.00,130,78,0.00,27.1,28.06,986.42,1006.97,8.00,5.6
48437,BURIRUM,บุรีรัมย์,บุรีรัมย์,15.22575,103.24808,25.4,07-21-2019,01:00:00,0.00,180,97,0.01,26.0,32.48,987.61,1008.52,8.00,11.1
48438,SAMUTSONGKRAM,สมุทรสงคราม,สมุทรสงคราม,13.40778,100.03222,24.3,07-21-2019,01:00:00,0.00,240,76,0.00,28.9,30.37,1006.23,1006.66,10.00,13.0
48439,KABIN BURI,กบินทร์บุรี,ปราจีนบุรี,13.98333,101.70722,25.1,07-21-2019,01:00:00,0.00,000,92,8.20,26.5,31.79,1006.31,1007.73,6.00,0.0
48440,SA KAEW,สระแก้ว,สระแก้ว,13.78889,102.03472,25.4,07-21-2019,01:00:00,0.00,000,97,23.90,26.0,32.48,1002.57,1007.52,7.00,0.0
48450,KANCHANA BURI,กาญจนบุรี,กาญจนบุรี,14.02250,99.53583,25.0,07-21-2019,01:00:00,0.00,200,82,1.10,28.3,31.70,1003.37,1006.65,10.00,5.6
48451,NAKHONPATHOM,นครปฐม,นครปฐม,14.01167,99.97000,25.4,07-21-2019,01:00:00,0.00,000,88,0.00,27.5,32.36,1005.66,1006.77,10.00,0.0
48453,BANG NA AGROMET.,กรุงเทพฯ บางนา สกษ.,กรุงเทพมหานคร,13.66639,100.60611,25.2,07-21-2019,01:00:00,0.00,210,77,0.00,29.6,32.05,1006.43,1006.73,10.00,11.1
48455,BANGKOK METROPOLIS,กรุงเทพมหานคร,กรุงเทพมหานคร,13.72639,100.56000,25.1,07-21-2019,01:00:00,0.00,000,80,0.00,28.8,31.86,1005.46,1005.94,10.00,0.0
