WmoStationNumber,StationNameEnglish,StationNameThai,Province,Latitude,Longitude,WindSpeed,Date,Time,VaporPressure,MeanSeaLevelPressure,StationPressure,LandVisibility,RelativeHumidity,WindDirection,DewPoint,Rainfall,AirTemperature,Rainfall24Hr
48300,MAE HONG SON,แม่ฮ่องสอน,แม่ฮ่องสอน,19.29897,97.97578,0.0,08-04-2019,04:00:00,28.57,1002.69,971.82,8.00,89,000,23.3,0.00,25.2,0.01
48302,DOI ANG KANG,ดอยอ่างขาง,เชียงใหม่,19.93139,99.04833,59.3,08-04-2019,04:00:00,21.60,998.94,839.02,7.00,99,300,18.7,1.80,18.9,4.50
48303,CHIANG RAI,เชียงราย,เชียงราย,19.96139,99.88139,0.0,08-04-2019,04:00:00,29.00,999.68,956.29,8.00,92,000,23.5,3.80,25.0,3.80
48304,CHAING RAI AGROMET.,เชียงราย สกษ.,เชียงราย,19.87083,99.78278,0.0,08-04-2019,04:00:00,28.71,999.91,954.53,6.00,94,000,23.4,2.20,24.4,2.40
48307,THUNG CHANG,ทุ่งช้าง,น่าน,19.41194,100.88353,0.0,08-04-2019,04:00:00,29.48,1001.13,963.52,6.00,98,000,23.8,0.80,24.1,1.40
48310,PHAYAO,พะเยา,พะเยา,19.13333,99.90000,3.7,08-04-2019,04:00:00,28.75,1000.14,955.32,6.00,89,110,23.4,0.40,25.3,0.40
48315,THA WANGPHA,ท่าวังผา,น่าน,19.11056,100.80250,5.6,08-04-2019,04:00:00,28.55,1000.83,974.14,6.00,92,180,23.3,0.30,24.6,1.20
48324,THOEN,เถิน,ลำปาง,17.63661,99.24475,3.7,08-04-2019,04:00:00,25.48,1001.21,979.65,14.00,70,270,21.4,0.00,27.4,0.00
48325,MAE SARIANG,แม่สะเรียง,แม่ฮ่องสอน,18.16667,97.93333,0.0,08-04-2019,04:00:00,27.60,1004.19,980.00,5.00,91,000,22.7,0.00,24.2,0.50
48327,CHIANG MAI,เชียงใหม่,เชียงใหม่,18.79000,98.97694,3.7,08-04-2019,04:00:00,26.31,1001.17,966.94,9.00,75,310,21.9,0.01,26.7,0.01
48328,LAMPANG,ลำปาง,ลำปาง,18.28333,99.51667,0.0,08-04-2019,04:00:00,26.06,1002.06,974.73,10.00,73,000,21.8,0.00,27.0,0.00
48329,LAMPHUN,ลำพูน,ลำพูน,18.56722,99.03389,0.0,08-04-2019,04:00:00,25.12,1000.82,967.52,10.00,72,000,21.2,0.01,26.6,0.01
48330,PHRAE,แพร่,แพร่,18.16667,100.16667,3.7,08-04-2019,04:00:00,26.88,1000.54,982.13,12.00,80,280,22.3,0.00,26.0,0.00
48331,NAN,น่าน,น่าน,18.77972,100.77778,0.0,08-04-2019,04:00:00,29.33,1000.58,977.77,5.00,95,000,23.7,0.70,24.6,2.10
48333,NAN AGROMET.,น่าน สกษ.,น่าน,18.86667,100.75000,0.0,08-04-2019,04:00:00,29.13,1000.69,970.78,7.00,97,000,23.6,0.40,24.2,1.60
48334,LAMPANG AGROMET.,ลำปาง สกษ.,ลำปาง,18.31667,99.28333,0.0,08-04-2019,04:00:00,26.39,1000.99,965.75,6.00,76,000,22.0,0.00,26.6,0.00
48350,LOEI AGROMET.,เลย สกษ.,เลย,17.40000,101.73333,0.0,08-04-2019,04:00:00,27.99,1000.43,970.59,7.00,99,000,22.9,5.50,23.1,6.80
48351,UTTARADIT,อุตรดิตถ์,อุตรดิตถ์,17.61667,100.10000,0.0,08-04-2019,04:00:00,27.25,1001.00,993.73,8.00,79,000,22.5,0.01,26.5,0.01
48352,NONG KHAI,หนองคาย,หนองคาย,17.86717,102.73303,0.0,08-04-2019,04:00:00,29.33,999.97,980.07,5.00,95,000,23.7,4.20,24.6,4.20
48353,LOEI,เลย,เลย,17.45000,101.73333,0.0,08-04-2019,04:00:00,27.42,1000.68,971.98,10.00,91,000,22.6,3.20,24.1,3.30
48354,UDON THANI,อุดรธานี,อุดรธานี,17.38333,102.80000,5.6,08-04-2019,04:00:00,26.54,1000.51,980.40,12.00,80,230,22.1,0.00,25.8,0.00
48355,SAKON NAKHON AGROMET.,สกลนคร สกษ.,สกลนคร,17.12503,104.06100,11.1,08-04-2019,04:00:00,25.61,1000.96,979.31,10.00,76,270,21.5,0.00,26.0,2.20
48356,SAKON NAKHON,สกลนคร,สกลนคร,17.15000,104.13333,11.1,08-04-2019,04:00:00,26.63,1000.16,980.75,10.00,79,240,22.1,0.00,26.0,1.60
48357,NAKHON PHANOM,นครพนม,นครพนม,17.41083,104.78250,3.7,08-04-2019,04:00:00,29.00,1001.52,984.76,8.00,92,080,23.5,0.01,25.0,6.00
48358,NAKHON PHANOM AGROMET.,นครพนม สกษ.,นครพนม,17.44306,104.77361,0.0,08-04-2019,04:00:00,29.41,1001.36,983.92,8.00,96,000,23.8,0.20,24.5,4.00
48360,NONG BUA LAM PHU,หนองบัวลำภู,หนองบัวลำภู,17.23250,102.42944,0.0,08-04-2019,04:00:00,27.37,1000.73,974.97,8.00,86,000,22.6,0.01,25.1,0.60
48372,SUKHOTHAI*,สุโขทัย,สุโขทัย,17.10611,99.80000,7.4,08-04-2019,04:00:00,26.80,1001.12,995.38,10.00,71,230,22.2,0.00,28.0,0.01
48373,SI SAMRONG AGROMET.,ศรีสำโรง สกษ.,สุโขทัย,17.16136,99.86167,5.6,08-04-2019,04:00:00,26.33,1000.87,994.72,10.00,73,200,21.9,0.00,27.3,0.20
48374,LOM SAK,หล่มสัก,เพชรบูรณ์,16.77361,101.24944,0.0,08-04-2019,04:00:00,25.30,1001.49,985.14,8.00,71,000,21.3,0.00,27.0,0.00
48375,MAE SOT,แม่สอด,ตาก,16.65917,98.55083,7.4,08-04-2019,04:00:00,28.53,1002.86,980.41,6.00,96,240,23.3,1.00,24.0,36.70
48376,TAK,ตาก,ตาก,16.87833,99.14333,18.5,08-04-2019,04:00:00,26.00,1002.48,988.20,6.00,70,260,21.7,0.00,27.7,0.00
48377,BHUMIBOL DAM,เขื่อนภูมิพล,ตาก,17.24389,99.00250,0.0,08-04-2019,04:00:00,26.54,1001.24,985.01,7.00,70,000,22.1,0.00,28.0,0.00
